"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young","rb_x_highwfh_x_young","q1_x_highwfh_x_young","q2_x_highwfh_x_young","q3_x_highwfh_x_young","interim_x_highwfh_x_young","post_x_highwfh_x_young"
"rb_x_high_x_young",0.000751414228127326,9.04356621139319e-05,-0.000248805900915946,-3.20019081374619e-05,0.000253381851212971,0.000200650563339375,-0.000469434516853249,-8.13706343894605e-05,9.11430816658451e-05,-4.327484293806e-05,-0.000298617131380184,-0.000384954879205072
"q1_x_high_x_young",9.04356621139319e-05,0.00151683635268263,0.000241792706772034,-0.000723001955138794,0.000528442694193094,8.18534155599773e-05,-8.30536907267099e-05,-0.00098055593723873,-0.000235678436856421,0.000523580014830923,-0.000458406844759121,-0.000195240968070333
"q2_x_high_x_young",-0.000248805900915946,0.000241792706772034,0.000784637952333167,2.06325803674774e-05,-9.7600194520053e-05,2.45299072561334e-05,7.89564076850007e-05,-0.000237893610636187,-6.16063322373675e-05,0.000137634846742708,0.000103064227868882,0.000346687308448687
"q3_x_high_x_young",-3.20019081374619e-05,-0.000723001955138794,2.06325803674774e-05,0.00164368794793399,-0.000156871928359346,0.000479590141578509,-4.25907584534986e-05,0.000564116804812215,0.000140430852674669,-0.000986974549210859,8.88560367137697e-05,-0.00039828413045678
"interim_x_high_x_young",0.000253381851212971,0.000528442694193094,-9.7600194520053e-05,-0.000156871928359346,0.000884331163191795,0.000914028373949003,-0.000298130138617702,-0.000459256113659665,0.000105997561292047,6.48149134027897e-05,-0.000733608558096933,-0.000706949927856125
"post_x_high_x_young",0.000200650563339375,8.18534155599773e-05,2.45299072561334e-05,0.000479590141578509,0.000914028373949003,0.00194848199992304,-0.000388159514197221,-0.000200303352388852,0.000324150209638669,-0.000424224626494996,-0.000714036537256932,-0.000851137236150808
"rb_x_highwfh_x_young",-0.000469434516853249,-8.30536907267099e-05,7.89564076850007e-05,-4.25907584534986e-05,-0.000298130138617702,-0.000388159514197221,0.000549420304584285,9.98402882643954e-05,-0.000151467647424045,-7.41809927457272e-06,0.000210255137710226,0.000194995423670204
"q1_x_highwfh_x_young",-8.13706343894605e-05,-0.00098055593723873,-0.000237893610636187,0.000564116804812215,-0.000459256113659665,-0.000200303352388852,9.98402882643954e-05,0.00121803014586226,0.00020460161147074,-0.000441053750274629,0.00057209384731383,0.00030045344333532
"q2_x_highwfh_x_young",9.11430816658451e-05,-0.000235678436856421,-6.16063322373675e-05,0.000140430852674669,0.000105997561292047,0.000324150209638669,-0.000151467647424045,0.00020460161147074,0.000548856325837249,-9.08117134604758e-06,-8.63998815436629e-05,-6.32633202594762e-05
"q3_x_highwfh_x_young",-4.327484293806e-05,0.000523580014830923,0.000137634846742708,-0.000986974549210859,6.48149134027897e-05,-0.000424224626494996,-7.41809927457272e-06,-0.000441053750274629,-9.08117134604758e-06,0.00111693420438538,-8.74169840403361e-05,0.000353713340409965
"interim_x_highwfh_x_young",-0.000298617131380184,-0.000458406844759121,0.000103064227868882,8.88560367137697e-05,-0.000733608558096933,-0.000714036537256932,0.000210255137710226,0.00057209384731383,-8.63998815436629e-05,-8.74169840403361e-05,0.000936795601003099,0.000976681289359862
"post_x_highwfh_x_young",-0.000384954879205072,-0.000195240968070333,0.000346687308448687,-0.00039828413045678,-0.000706949927856125,-0.000851137236150808,0.000194995423670204,0.00030045344333532,-6.32633202594762e-05,0.000353713340409965,0.000976681289359862,0.00169439095795931
