outcome,score,coef,se,t,n_firms,status
hires,ai,-0.004691179239426,0.0441416130190441,-0.10627566413130565,90997,ok
hires,wfh,-0.0176173251595238,0.0411629804309565,-0.42798954242571663,90997,ok
