age_group,coef,se,pvalue,n_obs,status,measure,outcome
22-25,0.0080816930088061,0.0125571448493434,0.519839262339903,11208600,ok,daioe,stock
26-30,0.0130763471994516,0.009247331764902,0.157342215001423,11208600,ok,daioe,stock
31-34,0.0090915833507163,0.0088851029039382,0.306194881834598,11208600,ok,daioe,stock
35-40,-0.0044245878478739,0.0083428496522422,0.595872814330461,11208600,ok,daioe,stock
41-49,-0.0193200345371701,0.0089128411726142,0.0301843493653902,11208600,ok,daioe,stock
50+,0.0356706231812655,0.0143715561308941,0.0130636538785489,11208600,ok,daioe,stock
22-25,0.0016855592226373,0.0087078455844809,0.846514249299479,10232196,ok,eloundou,stock
26-30,0.0030983899373654,0.0068451961961175,0.65081006009922,10232196,ok,eloundou,stock
31-34,-0.0012132703478208,0.0065425379829339,0.85288128724858,10232196,ok,eloundou,stock
35-40,-0.0144797639385875,0.0064836811270527,0.0255316184196026,10232196,ok,eloundou,stock
41-49,-0.0320080470518124,0.0068922601466863,3.41633703731825e-06,10232196,ok,eloundou,stock
50+,0.0183635918505344,0.0128266057109707,0.15223549000945,10232196,ok,eloundou,stock
22-25,0.0175928767496201,0.0113698711552457,0.121785089932087,11208600,ok,telework,stock
26-30,0.0170028515639338,0.0081633014686661,0.0372658019918186,11208600,ok,telework,stock
31-34,0.0117065357927537,0.0079997195274733,0.143366633808212,11208600,ok,telework,stock
35-40,0.0024240172950058,0.0076648388805631,0.751811571017309,11208600,ok,telework,stock
41-49,-0.0006491158393249,0.0083063244269799,0.937710976823845,11208600,ok,telework,stock
50+,0.0388863354711546,0.0127757326518979,0.0023363710766139,11208600,ok,telework,stock
22-25,-0.0272705132577439,0.0230870330299811,0.237521391682443,11013772,ok,daioe,hires
26-30,-0.0205927742652263,0.0141866698001198,0.146624539747649,11013772,ok,daioe,hires
31-34,-0.0123271817808627,0.0135058331112409,0.361384455596833,11013772,ok,daioe,hires
35-40,-0.0235659531824699,0.0127194477470878,0.0639182407400134,11013772,ok,daioe,hires
41-49,-0.0344508327467832,0.0120713391762446,0.0043181192274634,11013772,ok,daioe,hires
50+,0.0195169617862945,0.0215810371344111,0.365806136541547,11013772,ok,daioe,hires
22-25,-0.0111425482477225,0.0177634954685916,0.530480772706549,10055276,ok,eloundou,hires
26-30,-0.0075289495906331,0.0114546129965142,0.51099743897682,10055276,ok,eloundou,hires
31-34,-0.001900562704014,0.0104546514208028,0.855746660146273,10055276,ok,eloundou,hires
35-40,-0.0102542025754592,0.010165501349896,0.313106197644596,10055276,ok,eloundou,hires
41-49,-0.0270616267583209,0.0092527525443218,0.0034477629997591,10055276,ok,eloundou,hires
50+,0.024388112504432,0.0207918313542433,0.240809416408949,10055276,ok,eloundou,hires
22-25,0.0103425782815487,0.0155787078159368,0.506759486488999,11013772,ok,telework,hires
26-30,0.0027671826305316,0.0117125875227212,0.813233129615953,11013772,ok,telework,hires
31-34,0.0028078648899215,0.0118640414508195,0.812912666487157,11013772,ok,telework,hires
35-40,-0.0051038177833295,0.0116309656537067,0.660797111401954,11013772,ok,telework,hires
41-49,-0.007148307243388,0.0117410099572623,0.542635536959392,11013772,ok,telework,hires
50+,0.0209538411253593,0.0188345319140953,0.265913548006583,11013772,ok,telework,hires
