route,fq,age_group,mean_pre,mean_post,log_change,n_firms,edu_route_shape
occupation,1,22-25,4.287831688137862,4.378366246642743,0.020894480591205154,32909,exposed employers grew in every band and grew the oldest band fastest
occupation,1,26-30,4.603854472530599,4.699963677560516,0.02066089906784673,35482,exposed employers grew in every band and grew the oldest band fastest
occupation,1,31-34,4.115021648762037,4.328479093856584,0.05057213672649605,35991,exposed employers grew in every band and grew the oldest band fastest
occupation,1,35-40,4.519970863445508,4.916377595099092,0.0840664504891485,43359,exposed employers grew in every band and grew the oldest band fastest
occupation,1,41-49,5.162964529816125,5.449006672074169,0.053922394257176855,50835,exposed employers grew in every band and grew the oldest band fastest
occupation,1,50+,6.900584441482008,7.348658846804788,0.06291171707233464,69148,exposed employers grew in every band and grew the oldest band fastest
occupation,2,22-25,10.864322938834189,11.147953642475152,0.0257716552728203,11586,exposed employers grew in every band and grew the oldest band fastest
occupation,2,26-30,12.196378969645712,12.553284725065854,0.028843260496216404,12285,exposed employers grew in every band and grew the oldest band fastest
occupation,2,31-34,11.450237900726224,12.24587261998905,0.06717844409652421,12156,exposed employers grew in every band and grew the oldest band fastest
occupation,2,35-40,12.735422475249178,14.411462454453986,0.12363661149703005,14327,exposed employers grew in every band and grew the oldest band fastest
occupation,2,41-49,15.05782844460408,16.17012934710509,0.07126765437009658,16893,exposed employers grew in every band and grew the oldest band fastest
occupation,2,50+,23.473754492496145,24.804221519857084,0.055130894335511146,22892,exposed employers grew in every band and grew the oldest band fastest
occupation,3,22-25,12.851639310259,13.48400608912812,0.04803287296613283,8342,exposed employers grew in every band and grew the oldest band fastest
occupation,3,26-30,15.465708096398592,16.14171367089433,0.04278164048425082,9301,exposed employers grew in every band and grew the oldest band fastest
occupation,3,31-34,14.266435913129735,15.376137325840967,0.0749071438936787,9543,exposed employers grew in every band and grew the oldest band fastest
occupation,3,35-40,16.852845177977585,18.940401501674508,0.11677779030660702,11076,exposed employers grew in every band and grew the oldest band fastest
occupation,3,41-49,19.317151501665567,21.299774286433973,0.09770309566583645,13560,exposed employers grew in every band and grew the oldest band fastest
occupation,3,50+,29.19723816439832,31.4353625397667,0.07385933337578408,19154,exposed employers grew in every band and grew the oldest band fastest
