part,spec,young_band,term,coef,se,t,var_post,var_interim,cov_post_interim,n_obs,n_firms,status,outcome
F,hires_indcl,22-25,hy_post,-0.0178837392557822,0.0661289758027584,-0.27043726352459596,,,,20182122,90997,ok,hires
F,hires_indcl,22-25,hy_interim,-0.0262786832175047,0.0291672342840663,-0.9009658907516103,,,,20182122,90997,ok,hires
F,hires_indcl,22-25,hy_tau,0.008394943961722499,0.04982818698354577,0.16847781285910868,0.0043730414407218,0.0008507275557816,0.0013704603892181,20182122,90997,derived,hires
F,seps_indcl,22-25,hy_post,0.0540096439428565,0.0542838577897711,0.9949485195400708,,,,20839734,93969,ok,seps
F,seps_indcl,22-25,hy_interim,0.0240591823339142,0.0270199943378681,0.8904214424721634,,,,20839734,93969,ok,seps
F,seps_indcl,22-25,hy_tau,0.029950461608942297,0.03223279111644693,0.9291923091841691,0.0029467372165401,0.0007300800940184,0.001318932243701,20839734,93969,derived,seps
