"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young"
"rb_x_high_x_young",2.50098908448434e-05,4.75516639110737e-06,-3.61403445356071e-07,4.33629951314719e-07,7.34560239795726e-06,8.02138359246663e-06
"q1_x_high_x_young",4.75516639110737e-06,1.0580197958147e-05,5.03233305426944e-06,1.10110231235523e-06,2.25378725909319e-06,5.27268053687484e-07
"q2_x_high_x_young",-3.61403445356071e-07,5.03233305426944e-06,5.59222086084463e-06,3.06275537436419e-06,-8.14394584417723e-09,-2.11163761544151e-06
"q3_x_high_x_young",4.33629951314719e-07,1.10110231235523e-06,3.06275537436419e-06,6.28884316528753e-06,3.21126304681129e-07,8.46376403396891e-08
"interim_x_high_x_young",7.34560239795726e-06,2.25378725909319e-06,-8.14394584417723e-09,3.21126304681129e-07,2.15907270291208e-05,2.73250130050397e-05
"post_x_high_x_young",8.02138359246663e-06,5.27268053687484e-07,-2.11163761544151e-06,8.46376403396891e-08,2.73250130050397e-05,5.41949977488524e-05
