ssyk4,year_month,n_ads,n_vacancies
0110,2020-01,42,45
0110,2020-02,45,48
0110,2020-03,54,59
0110,2020-04,44,103
0110,2020-05,28,30
0110,2020-06,29,31
0110,2020-07,4,4
0110,2020-08,8,9
0110,2020-09,24,26
0110,2020-10,28,29
0110,2020-11,24,25
0110,2020-12,48,52
0110,2021-01,24,28
0110,2021-02,35,40
0110,2021-03,37,41
0110,2021-04,29,35
0110,2021-05,26,27
0110,2021-06,46,48
0110,2021-07,52,63
0110,2021-08,20,21
0110,2021-09,31,31
0110,2021-10,47,56
0110,2021-11,22,30
0110,2021-12,60,61
0110,2022-01,33,33
0110,2022-02,22,22
0110,2022-03,48,82
0110,2022-04,44,62
0110,2022-05,34,45
0110,2022-06,33,38
0110,2022-07,12,12
0110,2022-08,30,50
0110,2022-09,33,36
0110,2022-10,42,46
0110,2022-11,20,21
0110,2022-12,41,60
0110,2023-01,26,27
0110,2023-02,35,41
0110,2023-03,58,62
0110,2023-04,39,89
0110,2023-05,49,54
0110,2023-06,55,76
0110,2023-07,22,30
0110,2023-08,19,19
0110,2023-09,37,42
0110,2023-10,47,53
0110,2023-11,31,41
0110,2023-12,62,67
0110,2024-01,20,20
0110,2024-02,31,38
0110,2024-03,42,43
0110,2024-04,37,38
0110,2024-05,37,49
0110,2024-06,35,39
0110,2024-07,23,25
0110,2024-08,21,22
0110,2024-09,38,45
0110,2024-10,53,73
0110,2024-11,59,82
0110,2024-12,71,93
0110,2025-01,42,45
0110,2025-02,38,43
0110,2025-03,55,64
0110,2025-04,42,48
0110,2025-05,37,45
0110,2025-06,41,69
0110,2025-07,20,27
0110,2025-08,18,18
0110,2025-09,38,44
0110,2025-10,35,47
0110,2025-11,49,51
0110,2025-12,79,94
0110,2026-01,10,10
0110,2026-02,38,39
0210,2020-01,16,20
0210,2020-02,11,13
0210,2020-03,22,30
0210,2020-04,11,14
0210,2020-05,16,16
0210,2020-06,19,20
0210,2020-07,11,12
0210,2020-08,3,4
0210,2020-09,16,16
0210,2020-10,15,15
0210,2020-11,12,12
0210,2020-12,19,22
0210,2021-01,7,7
0210,2021-02,17,20
0210,2021-03,22,22
0210,2021-04,8,8
0210,2021-05,15,15
0210,2021-06,17,17
0210,2021-07,23,23
0210,2021-08,14,14
0210,2021-09,11,12
0210,2021-10,14,14
0210,2021-11,21,33
0210,2021-12,32,38
0210,2022-01,14,14
0210,2022-02,12,13
0210,2022-03,34,39
0210,2022-04,26,27
0210,2022-05,29,31
0210,2022-06,30,36
0210,2022-07,23,23
0210,2022-08,20,23
0210,2022-09,33,35
0210,2022-10,41,53
0210,2022-11,20,22
0210,2022-12,39,51
0210,2023-01,22,24
0210,2023-02,23,26
0210,2023-03,35,46
0210,2023-04,22,27
0210,2023-05,42,48
0210,2023-06,28,33
0210,2023-07,13,13
0210,2023-08,22,25
0210,2023-09,29,39
0210,2023-10,34,38
0210,2023-11,31,33
