term,coef,se,n,source,route,outcome
const,0.9849989056553172,0.010591365515679184,1006,ai_fouoff_2019_2021,education,ai_any
high,0.007110441362286334,0.0050202936968255524,1006,ai_fouoff_2019_2021,education,ai_any
log_size,0.0014686164922538209,0.0010375726241725312,1006,ai_fouoff_2019_2021,education,ai_any
const,-0.4001255344025114,0.06346896836950527,1006,ai_fouoff_2019_2021,education,ai_spend_pos
high,0.22369161758330813,0.034858860203755865,1006,ai_fouoff_2019_2021,education,ai_spend_pos
log_size,0.07046360899920423,0.008152585130894181,1006,ai_fouoff_2019_2021,education,ai_spend_pos
const,-3.1711595946646938,0.4647098793636747,1006,ai_fouoff_2019_2021,education,ai_spend_log
high,1.5991774247922996,0.2392736193637607,1006,ai_fouoff_2019_2021,education,ai_spend_log
log_size,0.5097242972715694,0.06073471600961409,1006,ai_fouoff_2019_2021,education,ai_spend_log
const,0.9848186711501219,0.010721377216201967,1004,ai_fouoff_2019_2021,occupation,ai_any
high,0.007263384572929972,0.005130181045959392,1004,ai_fouoff_2019_2021,occupation,ai_any
log_size,0.0015191815292345911,0.001073571562462256,1004,ai_fouoff_2019_2021,occupation,ai_any
const,-0.3813206832774916,0.06761945524396173,1004,ai_fouoff_2019_2021,occupation,ai_spend_pos
high,0.21412156735428645,0.03705923721063438,1004,ai_fouoff_2019_2021,occupation,ai_spend_pos
log_size,0.06930743066562713,0.008693870858112485,1004,ai_fouoff_2019_2021,occupation,ai_spend_pos
const,-3.1259831632902415,0.508902623521666,1004,ai_fouoff_2019_2021,occupation,ai_spend_log
high,1.5844834034382131,0.26330956649175,1004,ai_fouoff_2019_2021,occupation,ai_spend_log
log_size,0.5114399487752861,0.06622529505739712,1004,ai_fouoff_2019_2021,occupation,ai_spend_log
const,0.08073063534365214,0.0207838279339357,3827,ai_fufi_2019,education,ai_any
high,0.05371396237012109,0.013580964317834529,3827,ai_fufi_2019,education,ai_any
log_size,0.01605094270424052,0.004463950809843795,3827,ai_fufi_2019,education,ai_any
const,0.08073063534365214,0.0207838279339357,3827,ai_fufi_2019,education,ai_spend_pos
high,0.05371396237012109,0.013580964317834529,3827,ai_fufi_2019,education,ai_spend_pos
log_size,0.01605094270424052,0.004463950809843795,3827,ai_fufi_2019,education,ai_spend_pos
const,-0.6773169400984357,0.1257347454588857,3827,ai_fufi_2019,education,ai_spend_log
high,0.5657125274815071,0.08761844339134146,3827,ai_fufi_2019,education,ai_spend_log
log_size,0.30747565370559315,0.03064052460293405,3827,ai_fufi_2019,education,ai_spend_log
const,0.06823923245500077,0.022438711617095933,3715,ai_fufi_2019,occupation,ai_any
high,0.04825545309774716,0.013111921689187268,3715,ai_fufi_2019,occupation,ai_any
log_size,0.01838862470525782,0.004677690278002442,3715,ai_fufi_2019,occupation,ai_any
const,0.06823923245500077,0.022438711617095933,3715,ai_fufi_2019,occupation,ai_spend_pos
high,0.04825545309774716,0.013111921689187268,3715,ai_fufi_2019,occupation,ai_spend_pos
log_size,0.01838862470525782,0.004677690278002442,3715,ai_fufi_2019,occupation,ai_spend_pos
const,-0.8089625976787054,0.13912561833247544,3715,ai_fufi_2019,occupation,ai_spend_log
high,0.5646043315970892,0.08354844600903541,3715,ai_fufi_2019,occupation,ai_spend_log
log_size,0.32832263049596644,0.032710540391331595,3715,ai_fufi_2019,occupation,ai_spend_log
const,0.9680128840409556,0.008141336257372126,3816,ai_itftg_2019,education,ai_any
high,0.008598798588132603,0.006161960723659754,3816,ai_itftg_2019,education,ai_any
log_size,-0.0007483609471583136,0.0018783654434664384,3816,ai_itftg_2019,education,ai_any
const,0.9679540259478353,0.008448630633547628,3658,ai_itftg_2019,occupation,ai_any
high,0.011308322061200492,0.005870250397954844,3658,ai_itftg_2019,occupation,ai_any
log_size,-0.0010056705328373927,0.0019155236313367252,3658,ai_itftg_2019,occupation,ai_any
