"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young"
"rb_x_high_x_young",9.96996079795941e-05,-6.34842076911616e-06,-1.98024357022622e-05,-3.98776113108103e-06,2.42532886636843e-05,3.25185787848177e-05
"q1_x_high_x_young",-6.34842076911616e-06,9.52219643741154e-05,7.35965510229136e-05,5.77309871639981e-05,-1.44753228340837e-07,4.64302828237276e-06
"q2_x_high_x_young",-1.98024357022622e-05,7.35965510229136e-05,7.32351466392888e-05,5.933946624076e-05,7.17869724617985e-07,-3.40577911999368e-06
"q3_x_high_x_young",-3.98776113108103e-06,5.77309871639981e-05,5.933946624076e-05,0.000120280366562458,1.5764447957785e-05,-1.03823067826102e-05
"interim_x_high_x_young",2.42532886636843e-05,-1.44753228340837e-07,7.17869724617985e-07,1.5764447957785e-05,7.05746382455322e-05,7.32117449213139e-05
"post_x_high_x_young",3.25185787848177e-05,4.64302828237276e-06,-3.40577911999368e-06,-1.03823067826102e-05,7.32117449213139e-05,0.000180424726768348
