young_band,term,coef,se_employer,se_industry,coef_employer_run,coef_match_4dp,n_clusters_industry
22-25,rb_x_high_x_young,0.021366036371798,0.0078271336837886,0.010777030164409,0.021366036371798,True,5545
22-25,q1_x_high_x_young,-0.125421817446921,0.0116446014339545,0.0395704491313217,-0.125421817446921,True,5545
22-25,q2_x_high_x_young,-0.121427875163481,0.0092575232754109,0.0242430401389424,-0.121427875163481,True,5545
22-25,q3_x_high_x_young,-0.0897179929924766,0.0125160082874297,0.0349336316796317,-0.0897179929924766,True,5545
22-25,interim_x_high_x_young,-0.0142520034015109,0.0094697018883657,0.0155948075317845,-0.0142520034015109,True,5545
22-25,post_x_high_x_young,-0.0407714885713275,0.0149998676676345,0.0301407876166838,-0.0407714885713275,True,5545
26-30,rb_x_high_x_young,0.0222218554957971,0.0043303173607081,0.0063509221498151,0.0222218554957971,True,9368
26-30,q1_x_high_x_young,-0.0457570415454477,0.0035098931336161,0.0114423019356159,-0.0457570415454477,True,9368
26-30,q2_x_high_x_young,-0.0518538000234015,0.002851986295499,0.0065699371680359,-0.0518538000234015,True,9368
26-30,q3_x_high_x_young,-0.0403605019423158,0.0026319203784961,0.0068084020526764,-0.0403605019423158,True,9368
26-30,interim_x_high_x_young,-0.003453508807205,0.005597789849903,0.0079215396555351,-0.003453508807205,True,9368
26-30,post_x_high_x_young,-0.0394275887173351,0.0102100969322734,0.019883192975173,-0.0394275887173351,True,9368
