band,coef,se,n_firms,status
22-25,-0.0111395373299752,0.0119897946249058,111659,ok
26-30,-0.0107121957937968,0.0084846323274208,111659,ok
31-34,0.015022276287201,0.0065208313709158,111659,ok
35-40,0.0096649365923886,0.005398943225586,111659,ok
41-49,0.0,0.0,111659,reference
50-64,0.0343001833310917,0.0037930821757211,111659,ok
65-69,0.167194837016675,0.0313426170873143,111659,ok
