Date,omxs30_idx,af_new_postings,af_idx
2020-01-01,97.8964653088567,118887.0,106.69017876373034
2020-02-01,100.0,111432.0,100.0
2020-03-01,80.23857292544847,132616.0,119.01069710675569
2020-04-01,82.11437725093508,71578.0,64.23469021466006
2020-05-01,84.89303739662583,57822.0,51.88994184794314
2020-06-01,90.87039385895788,59164.0,53.09426376624309
2020-07-01,94.663707576455,42176.0,37.84909182281571
2020-08-01,96.16006998839724,56797.0,50.970098355948025
2020-09-01,98.02007228580186,59990.0,53.835523009548425
2020-10-01,98.62374194412968,88767.0,79.66024122334697
2020-11-01,102.67507127432702,78989.0,70.88538301385599
2020-12-01,103.17401585839023,86796.0,77.89144949386173
2021-01-01,106.58775254860574,94929.0,85.19007107473617
2021-02-01,109.55314108711237,99367.0,89.17276904300381
2021-03-01,116.8057103040323,117862.0,105.77033527173523
2021-04-01,121.7934922090965,108966.0,97.78699116950249
2021-05-01,121.72536280058006,107336.0,96.32421566515902
2021-06-01,123.54279003767621,102098.0,91.62359106899275
2021-07-01,127.12465495944537,73885.0,66.30501112786274
2021-08-01,129.47474992464086,97375.0,87.38513173953622
2021-09-01,126.66561711107612,125181.0,112.33846650872282
2021-10-01,124.62382716959223,130650.0,117.24639241869481
2021-11-01,126.94505900652288,140369.0,125.96830353937827
2021-12-01,126.7107787532964,148091.0,132.89809031516978
2022-01-01,127.64610896669019,165547.0,148.56324933591787
2022-02-01,121.58776894670955,199263.0,178.82026706870556
2022-03-01,114.25064360776085,208028.0,186.68605068561993
2022-04-01,113.93194404841343,186591.0,167.4483092827913
2022-05-01,108.95925349127187,206351.0,185.18109699188742
2022-06-01,106.57267010537335,159907.0,143.50186660923254
2022-07-01,105.93982982928534,114675.0,102.91029506784406
2022-08-01,108.99570695439782,152404.0,136.7686122478283
2022-09-01,102.28596988184077,162426.0,145.76243807882832
2022-10-01,103.57278220714039,155999.0,139.99479503194775
2022-11-01,112.4544940182626,158510.0,142.24818723526457
2022-12-01,113.54963283798789,153047.0,137.3456457750018
2023-01-01,119.00213131199497,181858.0,163.20087587048604
2023-02-01,121.92240001692154,175497.0,157.49246177040706
2023-03-01,118.25381283214091,204070.0,183.13410869409145
2023-04-01,121.66675585740548,153132.0,137.42192547921604
2023-05-01,122.18689144964392,219355.0,196.85099432837964
2023-06-01,124.47154753077692,136854.0,122.81391341804868
2023-07-01,122.63255813077166,101217.0,90.83297437001939
2023-08-01,118.93362559762042,122102.0,109.57534639959796
2023-09-01,118.42075787841686,114673.0,102.90850025127432
2023-10-01,115.7045490416376,107821.0,96.75945868332256
2023-11-01,118.16441135303413,107991.0,96.91201809175102
2023-12-01,127.47042177725325,116741.0,104.76434058439227
2024-01-01,127.68959985020425,146751.0,131.69556321343958
2024-02-01,130.28020822659647,133912.0,120.17373824395148
2024-03-01,136.4242871735608,117922.0,105.82417976882763
2024-04-01,137.282301606065,120249.0,107.91244884772777
2024-05-01,141.8677830646648,115168.0,103.35271735228659
2024-06-01,140.64755220124542,82113.0,73.68888649580013
2024-07-01,140.48781571119477,64566.0,57.94206332112858
2024-08-01,136.65496696782432,81130.0,72.80673415176969
2024-09-01,139.2208685080328,83503.0,74.936284011774
2024-10-01,140.99233753603315,85130.0,76.39636729126283
2024-11-01,137.5690859610341,81332.0,72.98801062531409
2024-12-01,138.76535257198722,97423.0,87.42820733721014
2025-01-01,141.296362362514,115720.0,103.84808672553665
2025-02-01,146.92502174618178,105618.0,94.78246823174672
2025-03-01,144.57081606517264,109966.0,98.68439945437576
2025-04-01,128.2705420453571,98691.0,88.56612104242947
2025-05-01,136.15002648243927,87046.0,78.11580156508005
2025-06-01,134.92119832882767,71012.0,63.726757125421784
2025-07-01,138.9351915897347,50504.0,45.32270801924043
2025-08-01,142.61729095340675,69938.0,62.76294062746788
2025-09-01,143.29344987654576,78081.0,70.07053629119105
2025-10-01,149.24489922655718,78989.0,70.88538301385599
2025-11-01,149.58827138307205,79448.0,71.29729341661282
2025-12-01,153.66402080734395,98556.0,88.44497092397157
2026-01-01,162.78570793425018,102123.0,91.64602627611458
2026-02-01,170.34832064692816,,
