fq,age_group,period,mean_value,total,n_firms,n_cells,outcome
1,50+,post,1.3395592908223664,386996,59457,288898,n_sep
1,50+,pre,1.297101483455579,549984,70792,424010,n_sep
2,22-25,post,2.898641727900245,195267,10695,67365,n_sep
2,22-25,pre,3.0079421667656963,303742,12941,100980,n_sep
2,26-30,post,2.597571419832385,169850,11375,65388,n_sep
2,26-30,pre,2.6621886719876917,276841,14328,103990,n_sep
2,31-34,post,2.2430017245283675,128764,10931,57407,n_sep
2,31-34,pre,2.2379827432981223,198941,13755,88893,n_sep
2,35-40,post,2.321865124321746,155760,12765,67084,n_sep
2,35-40,pre,2.2260273972602738,221650,15485,99572,n_sep
2,41-49,post,2.3076792941452053,177329,14333,76843,n_sep
2,41-49,pre,2.2550966524407663,260502,17538,115517,n_sep
2,50+,post,3.3135110383148847,376279,18890,113559,n_sep
2,50+,pre,3.221896335001109,522888,21772,162292,n_sep
3,22-25,post,3.9664695232347618,164311,6870,41425,n_sep
3,22-25,pre,4.056438175369133,245881,8339,60615,n_sep
3,26-30,post,3.6864861001929534,154755,7571,41979,n_sep
3,26-30,pre,3.76212372018883,245456,9540,65244,n_sep
3,31-34,post,3.155153726174426,119350,7502,37827,n_sep
3,31-34,pre,3.1600422089342244,179680,9271,56860,n_sep
3,35-40,post,3.310470457785522,146293,8688,44191,n_sep
3,35-40,pre,3.1516852214338145,206095,10480,65392,n_sep
3,41-49,post,3.282367048612433,172449,10072,52538,n_sep
3,41-49,pre,3.179880723795476,250069,12277,78641,n_sep
3,50+,post,4.463625290665486,362799,14151,81279,n_sep
3,50+,pre,4.293161229512489,491919,16130,114582,n_sep
4,22-25,post,1.9904638113868007,154667,15657,77704,n_sep
4,22-25,pre,1.891264270613108,223642,19889,118250,n_sep
4,26-30,post,1.7074898456539398,157644,19828,92325,n_sep
4,26-30,pre,1.6744384094414269,249709,25580,149130,n_sep
4,31-34,post,1.47166409949227,128984,20190,87645,n_sep
4,31-34,pre,1.4505075576297133,195189,25133,134566,n_sep
4,35-40,post,1.5641428451202064,167271,24272,106941,n_sep
4,35-40,pre,1.5064514922582093,241677,29965,160428,n_sep
4,41-49,post,1.6640740191757095,213306,29091,128183,n_sep
4,41-49,pre,1.652243947810092,317976,35724,192451,n_sep
4,50+,post,2.292381432896065,445263,40739,194236,n_sep
4,50+,pre,2.267562893835427,614988,46448,271211,n_sep
