"term","t_2021Q1_ai","t_2021Q1_wfh","t_2021Q2_ai","t_2021Q2_wfh","t_2021Q3_ai","t_2021Q3_wfh","t_2021Q4_ai","t_2021Q4_wfh","t_2022Q2_ai","t_2022Q2_wfh","t_2022Q3_ai","t_2022Q3_wfh","t_2022Q4_ai","t_2022Q4_wfh","t_2023Q1_ai","t_2023Q1_wfh","t_2023Q2_ai","t_2023Q2_wfh","t_2023Q3_ai","t_2023Q3_wfh","t_2023Q4_ai","t_2023Q4_wfh","t_2024Q1_ai","t_2024Q1_wfh","t_2024Q2_ai","t_2024Q2_wfh","t_2024Q3_ai","t_2024Q3_wfh","t_2024Q4_ai","t_2024Q4_wfh","t_2025Q1_ai","t_2025Q1_wfh","t_2025Q2_ai","t_2025Q2_wfh"
"t_2021Q1_ai",0.00011990656564086,-0.000105929600641064,9.81153032649696e-05,-8.78071612241976e-05,5.82179066882545e-05,-4.91966624309449e-05,4.53248058855539e-05,-4.04884717286936e-05,8.56865982039053e-06,-8.37072633805881e-06,-1.3246641246978e-06,2.10291065622399e-06,1.51798504962853e-05,-1.61375551243462e-05,-1.33698209253576e-05,9.45844698962921e-06,-1.96677965680762e-07,-3.52715436921707e-06,-1.33185190449823e-05,1.03888441780034e-05,-8.21926978573872e-06,4.02448650324316e-06,-4.66938780240151e-05,3.94997099928401e-05,-4.04889216076147e-05,3.29195590006242e-05,-4.51057003768154e-05,3.80103135538029e-05,-2.91803041138427e-05,2.16273600336666e-05,-5.33628492284034e-05,4.22084865775133e-05,-4.26076996704576e-05,3.21961693397772e-05
"t_2021Q1_wfh",-0.000105929600641064,0.000109484900440051,-8.79397820257958e-05,9.11184887206144e-05,-4.9959331282587e-05,5.17124238730809e-05,-4.01692397314029e-05,4.19347844149605e-05,-8.94695627607011e-06,9.10867365274968e-06,1.31747243254895e-06,-1.1699303378341e-06,-1.65713007160494e-05,1.68837469402446e-05,9.14638214745177e-06,-7.83742806739252e-06,-4.3378221064505e-06,5.88338201010064e-06,9.61244133536092e-06,-8.79893139557438e-06,3.40027714526735e-06,-3.73089247415432e-06,3.85719428620259e-05,-3.69475427947122e-05,3.21278620544333e-05,-2.90974716219472e-05,3.68373554114875e-05,-3.37424885659545e-05,2.00120408789629e-05,-1.73062172331584e-05,4.04397412385607e-05,-3.72313073799765e-05,3.05710235733944e-05,-2.63406351113423e-05
"t_2021Q2_ai",9.81153032649696e-05,-8.79397820257958e-05,0.000129425769012136,-0.000108988540463101,0.000106982832041117,-7.93935809984262e-05,7.73121666767378e-05,-6.46679062302223e-05,4.23480682580362e-05,-3.16731007916661e-05,4.88483816970066e-05,-2.92160319922121e-05,4.54325644389954e-05,-3.89232639258779e-05,-3.91037190039197e-06,-4.85732960158742e-06,4.01621424395903e-05,-3.41633556068931e-05,4.50931911254451e-05,-2.92794239368028e-05,2.67923685390577e-05,-2.4867826302998e-05,-2.54612174603067e-05,1.68162040410616e-05,6.39658881477301e-06,-4.8489275888575e-06,1.83075304162078e-05,-8.12948038609178e-06,1.42851328509285e-06,-8.99049609318409e-06,-3.6284489146605e-05,1.94084684788029e-05,2.04836635716325e-06,-6.6837833298553e-06
"t_2021Q2_wfh",-8.78071612241976e-05,9.11184887206144e-05,-0.000108988540463101,0.000114163970905857,-8.04992505063369e-05,8.39059591383527e-05,-6.42929347431185e-05,6.76514622497721e-05,-3.21083042569255e-05,3.34113546823624e-05,-3.01258420815265e-05,3.12390244589192e-05,-3.91719969530571e-05,4.1625322758538e-05,-5.10241922139281e-06,7.5780151789383e-06,-3.46607037324954e-05,3.65314214188227e-05,-3.00739930413475e-05,3.15578900116271e-05,-2.50571402493095e-05,2.53691650184317e-05,1.61463744551474e-05,-1.523901693059e-05,-5.27147508485602e-06,8.30764890512724e-06,-9.06818163124896e-06,1.25704560752823e-05,-1.0150009478683e-05,1.43094539002016e-05,1.7814393965846e-05,-1.46715597536397e-05,-7.79044436089813e-06,1.26513728802454e-05
"t_2021Q3_ai",5.82179066882545e-05,-4.9959331282587e-05,0.000106982832041117,-8.04992505063369e-05,0.000226355698679444,-0.000164283869713736,8.61649978338127e-05,-5.71571631275001e-05,0.000109906387904152,-8.33020002766386e-05,0.000170127660282993,-0.000118962204777616,7.22865960581959e-05,-4.74829725882001e-05,-3.27522131990197e-05,1.48685412079778e-05,8.25680276361594e-05,-7.08049527522382e-05,0.00016234666765968,-0.000122520673349876,6.22755678263195e-05,-5.249863958783e-05,-4.00936086183771e-06,-1.32466107487837e-05,1.52221055820155e-06,-6.10659949537263e-06,0.000147249748457219,-0.000115303335463917,6.30855900287377e-05,-6.4021154402863e-05,-7.36825746408361e-06,-2.04516300631319e-05,3.211757542965e-05,-3.8181026773793e-05
"t_2021Q3_wfh",-4.91966624309449e-05,5.17124238730809e-05,-7.93935809984262e-05,8.39059591383527e-05,-0.000164283869713736,0.00016322735019591,-5.49210590334644e-05,5.73604318553563e-05,-8.31335576507586e-05,7.92503418522467e-05,-0.000118787643432559,0.000117881504311277,-4.57964888121273e-05,4.61509719824915e-05,1.39937968634819e-05,-6.05759848427997e-06,-7.13582992768971e-05,7.37683819773296e-05,-0.000122685013905676,0.000124724929392965,-5.21169143048565e-05,5.44175925647712e-05,-1.57031694439416e-05,1.83922814256037e-05,-7.30963170319193e-06,1.79962738359298e-05,-0.000116396224196382,0.000120356258022283,-6.59349909748319e-05,6.94344356798649e-05,-2.50760036310749e-05,2.82017471639134e-05,-4.0595968681216e-05,4.94954520191135e-05
"t_2021Q4_ai",4.53248058855539e-05,-4.01692397314029e-05,7.73121666767378e-05,-6.42929347431185e-05,8.61649978338127e-05,-5.49210590334644e-05,0.000128710957388642,-9.95242970720824e-05,1.40177849306923e-06,3.66865965231964e-06,5.21256463349839e-05,-2.58744789827194e-05,9.35481604804821e-05,-7.0057798915693e-05,2.03745617789229e-05,-2.55733045352077e-05,2.68394327949022e-06,-3.21000048528487e-06,4.21843654077361e-05,-2.29742142906267e-05,6.51210313905974e-05,-4.90239429057013e-05,-3.46846113218455e-05,1.66018199450869e-05,7.9933176469291e-06,-1.60167019135246e-05,1.38609528811975e-05,-6.47696927497351e-06,1.03346745391959e-05,-1.24131452164312e-05,-6.48610587009128e-05,3.31900052000955e-05,-3.44005287590363e-05,1.56582023671113e-05
"t_2021Q4_wfh",-4.04884717286936e-05,4.19347844149605e-05,-6.46679062302223e-05,6.76514622497721e-05,-5.71571631275001e-05,5.73604318553563e-05,-9.95242970720824e-05,9.87701329834587e-05,2.81499586689496e-06,2.02771086403836e-06,-2.7417856066257e-05,2.59542463672822e-05,-6.97015268908539e-05,6.82968276031221e-05,-2.55875857816787e-05,2.75193377212069e-05,-3.92627627893531e-06,9.46730281569973e-06,-2.42150218958772e-05,2.40013274945402e-05,-4.91070713852583e-05,4.65731249841955e-05,1.60766321369084e-05,-8.87986272450982e-06,-1.60017934374522e-05,2.20176326090265e-05,-7.0185286240705e-06,1.20660973362521e-05,-1.28054622596244e-05,2.00634042004747e-05,3.23374525017503e-05,-1.61670488779749e-05,1.54286370905995e-05,6.4762047254998e-07
"t_2022Q2_ai",8.56865982039053e-06,-8.94695627607011e-06,4.23480682580362e-05,-3.21083042569255e-05,0.000109906387904152,-8.31335576507586e-05,1.40177849306923e-06,2.81499586689496e-06,0.00014159827234663,-0.000117341825543999,0.000104945440587719,-7.84377874897591e-05,3.07221539171904e-05,-2.24962966814536e-05,-1.86023989121967e-05,9.06256704436669e-06,0.000109822946332104,-9.32848158160915e-05,0.000105031284313025,-8.1310911653079e-05,3.63312305807666e-05,-3.03375000155608e-05,5.35362749425748e-05,-5.16140157188746e-05,1.59637661496965e-05,-1.18766938871755e-05,0.000111119089918469,-8.82180049196392e-05,8.76795252668924e-05,-8.07908252755454e-05,9.14713983520379e-05,-8.8819960471467e-05,8.33405287785181e-05,-7.78187612012184e-05
"t_2022Q2_wfh",-8.37072633805881e-06,9.10867365274968e-06,-3.16731007916661e-05,3.34113546823624e-05,-8.33020002766386e-05,7.92503418522467e-05,3.66865965231964e-06,2.02771086403836e-06,-0.000117341825543999,0.000110340920201912,-7.8525234066976e-05,7.71946247716947e-05,-2.18445804264707e-05,2.72806421787412e-05,9.44167646952373e-06,-1.41373574777458e-06,-9.30519818261701e-05,9.07339324277375e-05,-8.12351756619208e-05,8.09736965502005e-05,-2.96173550817171e-05,3.34074068058524e-05,-5.13605207218728e-05,4.89566506391525e-05,-1.13661694464042e-05,1.75545596508396e-05,-8.82524515390654e-05,8.62627875333239e-05,-8.0696671046262e-05,7.89477362959238e-05,-8.88592153856538e-05,8.25674328263648e-05,-7.74213238210506e-05,7.67197502081902e-05
