"term","rb_x_high_x_young","rb_x_high_x_female","rb_x_high_x_young_x_female","interim_x_high_x_young","interim_x_high_x_female","interim_x_high_x_young_x_female","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","m01_x_high_x_young","m01_x_high_x_female","m01_x_high_x_young_x_female","m02_x_high_x_young","m02_x_high_x_female","m02_x_high_x_young_x_female","m03_x_high_x_young","m03_x_high_x_female","m03_x_high_x_young_x_female","m04_x_high_x_young","m04_x_high_x_female","m04_x_high_x_young_x_female","m05_x_high_x_young","m05_x_high_x_female","m05_x_high_x_young_x_female","m06_x_high_x_young","m06_x_high_x_female","m06_x_high_x_young_x_female","m07_x_high_x_young","m07_x_high_x_female","m07_x_high_x_young_x_female","m08_x_high_x_young","m08_x_high_x_female","m08_x_high_x_young_x_female","m09_x_high_x_young","m09_x_high_x_female","m09_x_high_x_young_x_female","m10_x_high_x_young","m10_x_high_x_female","m10_x_high_x_young_x_female","m11_x_high_x_young","m11_x_high_x_female","m11_x_high_x_young_x_female"
"rb_x_high_x_young",0.000160825627426936,-3.94179216816716e-06,-5.99977086934677e-05,6.60257412589437e-05,-4.92339644420131e-06,-1.3298085230023e-05,3.51771837428842e-05,-9.33539319840352e-06,4.00603263407868e-05,2.93393817215744e-06,-3.39621584085574e-06,0.000119649147087851,-0.000124690714682317,-3.53159884625801e-06,4.1685310665193e-05,-0.000118782492685624,-6.33931662061203e-06,4.27934241707617e-05,-0.000138138588080444,-5.43536322896361e-06,6.57302593620451e-05,-0.000168581283419848,-4.46954360667134e-06,4.73939571344001e-05,-0.000133434487763487,-3.50893217412052e-06,3.04218034007365e-05,-0.000162561869544096,-1.74257504934983e-06,-2.46114697924609e-05,-0.000152061670639879,1.8585495882956e-06,-5.87643864886701e-05,-5.42174875649839e-05,8.09957301542584e-07,-3.69134210637962e-05,-5.78655124861858e-06,-4.53969856168855e-06,-3.50715098085055e-06,1.0507890722475e-05,-2.69929998262074e-06,1.54632291568991e-06
"rb_x_high_x_female",-3.94179216816716e-06,1.64348825436373e-05,5.36681750495864e-06,-3.58674076865405e-05,1.00832724671007e-05,3.40089657008595e-06,-5.4575544221964e-05,2.30828955394235e-05,1.68591853873427e-06,-0.000127713722108654,-3.4849917850691e-06,5.00092232042842e-06,-6.4591742654142e-05,-2.60476432842742e-06,1.07204744865185e-05,-6.40471351962242e-05,4.85960476433509e-07,9.19348449859482e-06,-6.45770917306526e-05,-2.56434069185882e-06,6.83925746581268e-06,-4.68457395562911e-05,-2.27811250425598e-06,1.06691489055012e-05,-5.68736886383243e-05,-1.1647605594848e-06,5.96152536440072e-06,-3.04497709050545e-05,-2.30764407243524e-06,1.92140381301344e-05,-1.20861307199741e-05,-5.45696998916717e-06,2.69819839925342e-05,-1.91923317552943e-05,-1.28067117819771e-06,1.4115944973345e-05,-9.86918102902568e-06,1.82636720400809e-06,2.41214432400262e-06,-9.52069645983779e-06,9.50945581346448e-07,7.02829836749167e-07
"rb_x_high_x_young_x_female",-5.99977086934677e-05,5.36681750495864e-06,0.000120050685630885,5.27123595344908e-06,9.43773754706753e-06,1.06313670362797e-05,0.000104150556828769,2.02665356018372e-05,-4.73678872608213e-05,0.000208154255355895,6.32065254094265e-06,4.19542997946037e-05,5.44239554847063e-05,2.48433898917105e-06,-2.05618309788932e-05,8.50847341896544e-06,8.93383648758979e-06,-4.7368170798755e-05,5.61704566843331e-05,9.64028146429601e-06,-4.29006415384996e-05,4.01108938008906e-05,9.12766438703445e-06,-4.05716494521537e-05,4.2009947648522e-05,4.09735760711463e-06,6.13141949955788e-06,-3.34148640632552e-05,-4.94910316831719e-07,3.26498011769841e-06,-6.57488313370428e-05,-6.65291938028121e-06,-1.01096494436336e-05,-7.91050137648139e-05,-9.86348791818685e-07,-2.25697900950512e-05,-3.79754732884372e-05,6.38107261363359e-06,-3.12123332309879e-05,-5.47461817846504e-06,5.03238907400182e-06,-8.68474209811351e-06
"interim_x_high_x_young",6.60257412589437e-05,-3.58674076865405e-05,5.27123595344908e-06,0.000301770566126429,-2.4882954706328e-05,-5.7852564670695e-05,0.000496498795779768,-4.19669106737094e-05,-9.53590753190709e-05,0.000728392227568528,1.25050855462072e-06,0.00020786629107125,0.00017427790203808,-4.07202955871908e-06,1.27193992146524e-05,0.000118777558492922,-7.40849167411276e-06,-3.44007563895307e-05,0.000160762135332589,4.39864646093774e-06,1.49615292768605e-05,5.589847385672e-05,3.19375800637968e-06,-2.35542989976823e-05,0.000113420769930376,-1.26491687008054e-06,-5.39783631202205e-08,-0.000102717880430036,-9.66054907505944e-07,-9.83591067373977e-05,-0.00018858427658623,1.57313505315449e-06,-0.000179727841197588,-7.00956893877784e-05,-2.31668731725406e-06,-0.000131875093027448,-4.0463589467591e-06,-7.26500289522755e-06,-6.70798261383811e-05,6.78183016285631e-05,-2.56865738223727e-06,-1.85100396664584e-05
"interim_x_high_x_female",-4.92339644420131e-06,1.00832724671007e-05,9.43773754706753e-06,-2.4882954706328e-05,1.56881574454186e-05,-8.40692350149729e-07,-1.04407871117378e-05,3.05122975450537e-05,-1.60189641146129e-05,-2.43106402404119e-05,-3.29085548696545e-06,3.62277227970707e-05,-4.14463199286883e-05,-2.49664344047623e-06,9.5381497323764e-06,-5.01710769661645e-05,4.54816400682971e-07,5.13130645175112e-06,-4.47727330982655e-05,-2.84456994635543e-07,6.12474245587739e-06,-3.90031235432032e-05,-2.87178181763451e-07,4.08164229946361e-06,-4.32574106687346e-05,1.53516743419823e-06,2.11043001705559e-06,-5.21778294089157e-05,-1.13150467662372e-06,-2.04649855856408e-06,-4.78916108796152e-05,-4.75358497392462e-06,-9.83486187716474e-06,-4.3129680810707e-05,-1.77446434050724e-07,-1.07574543108861e-05,-1.70624155637467e-05,2.37741254807488e-06,-7.83680765043947e-06,-7.31332893847301e-06,2.33069029905057e-06,-2.32002204475758e-06
"interim_x_high_x_young_x_female",-1.3298085230023e-05,3.40089657008595e-06,1.06313670362797e-05,-5.7852564670695e-05,-8.40692350149729e-07,7.33240588562471e-05,-0.000101096374826373,-7.62725962247155e-06,0.000100152135620293,-7.63233877092085e-05,3.71481592924231e-06,-1.70896174627492e-05,-5.2688262348013e-05,3.4127897389447e-06,-7.46860516195454e-06,-5.38249173895079e-05,4.01467837636637e-06,-5.27526623707896e-06,-5.25161183621811e-05,1.63646227714695e-06,-2.83292529716842e-06,-3.9537084443e-05,1.99012127794319e-06,6.87621440265744e-06,-2.67330256232416e-05,1.70145354714618e-07,6.29754098340568e-05,-5.02471358539557e-06,-2.98577114187386e-06,6.84623544231657e-05,7.27900235794896e-06,-1.30628011528808e-06,7.7544547769666e-05,4.47241253206839e-06,-9.79860813976103e-07,6.51083371853083e-05,-8.93831901875351e-06,1.03249488876646e-06,2.44241504978805e-05,-1.74676066214037e-05,-6.26886161388848e-07,1.97598559044017e-05
"post_x_high_x_young",3.51771837428842e-05,-5.4575544221964e-05,0.000104150556828769,0.000496498795779768,-1.04407871117378e-05,-0.000101096374826373,0.00123903619565751,8.66053352838982e-06,-0.000344689307204563,0.00162476802961897,1.10746346892279e-05,0.000392566251082006,0.000449226195533945,-4.01669449153312e-06,-1.83626216886363e-05,0.000282805388014626,4.54042825401245e-06,-0.00015184589624452,0.000416797584672166,2.88936618649101e-05,-6.34017288050607e-05,0.000241318995540365,2.38457865292933e-05,-0.000128168345980648,0.000323838391672477,1.81540614801864e-05,-6.86115992857956e-05,-0.000202005762900991,5.450418761666e-06,-0.000199914461983189,-0.000401802708949336,-7.72015347928137e-06,-0.000360493633431442,-0.000244991849709752,-1.07305411829843e-06,-0.000282756819277921,-7.68624671403323e-05,-1.25997028739867e-06,-0.000154412013725803,9.94325352643193e-05,8.02722731529821e-06,-4.56853427943359e-05
"post_x_high_x_female",-9.33539319840352e-06,2.30828955394235e-05,2.02665356018372e-05,-4.19669106737094e-05,3.05122975450537e-05,-7.62725962247155e-06,8.66053352838982e-06,6.86475794346939e-05,-5.38488693528236e-05,-6.8039714900096e-05,-8.15188260575504e-06,6.6479552614508e-05,-9.23757017183448e-05,-6.77076992238866e-06,1.77661176061634e-05,-0.000110423965261381,6.77335669356262e-08,6.479735839223e-06,-9.80138359793093e-05,-1.41660937236838e-06,8.13849607260504e-06,-8.23116550033496e-05,-1.2542901308612e-06,4.30257665936202e-06,-9.15863909358346e-05,2.75147068214898e-06,-4.16730688015514e-06,-0.000112645814215305,-3.48722199084473e-06,-5.10849220506133e-06,-0.000101353875656053,-1.16085151685698e-05,-1.79330393628544e-05,-9.26630408051649e-05,-1.47540885904069e-06,-2.13263328695442e-05,-3.616759945773e-05,4.18967137441567e-06,-1.54198338553823e-05,-1.2992949342481e-05,4.22399024518185e-06,-5.05424153616827e-06
"post_x_high_x_young_x_female",4.00603263407868e-05,1.68591853873427e-06,-4.73678872608213e-05,-9.53590753190709e-05,-1.60189641146129e-05,0.000100152135620293,-0.000344689307204563,-5.38488693528236e-05,0.00030871256770961,-0.000263658611466296,3.86098545556503e-06,7.54759795135246e-06,-0.000120703860167528,3.94002501487245e-06,5.69317601225786e-05,-8.55664737035733e-05,-2.92286883383924e-06,8.21571127906542e-05,-0.000122776940524144,-9.39682219486295e-06,7.71799511240962e-05,-0.000114000233581833,-9.47522365350673e-06,8.74530933799134e-05,-0.000113825151341214,-8.14852203414179e-06,0.00010421234319188,-2.0575146804596e-05,-2.39170986535785e-06,0.000101867467707643,1.49464917704621e-05,5.38809230139703e-06,0.000119843912014308,3.52201242565468e-05,-1.98631151793748e-06,0.00010264826855138,1.05252692000294e-05,-5.74312875494785e-06,5.48731519504851e-05,-2.12678841218925e-05,-6.277633186949e-06,2.93195978138515e-05
"m01_x_high_x_young",2.93393817215744e-06,-0.000127713722108654,0.000208154255355895,0.000728392227568528,-2.43106402404119e-05,-7.63233877092085e-05,0.00162476802961897,-6.8039714900096e-05,-0.000263658611466296,0.00442585540171993,-9.7939325402389e-06,0.00168252920821488,0.000914545595182631,-4.67636299442857e-05,0.000277669488835618,0.000465820071308394,-5.15619946943241e-05,-6.68696358954486e-06,0.000782040913383297,8.46306719473407e-06,0.000261658369648577,0.000229001484601422,8.99156916465333e-06,4.72204939859329e-06,0.000363909971819328,1.07192954850979e-05,0.00017802061565651,-0.000991913268669936,-1.74891059848532e-05,-0.000511975882720724,-0.00158800658171426,-4.37031215348588e-05,-0.00110473557489442,-0.000994932886529507,-3.61001188276304e-05,-0.000856172543342579,-0.000351541623245605,-5.12047188013856e-05,-0.000405771454751695,0.00012753255726412,-4.2270064258711e-06,-7.17073025539485e-05
