"term","rb_x_high_x_young","interim_x_high_x_young","post_x_high_x_young","m01_x_high_x_young","m02_x_high_x_young","m03_x_high_x_young","m04_x_high_x_young","m05_x_high_x_young","m06_x_high_x_young","m07_x_high_x_young","m08_x_high_x_young","m09_x_high_x_young","m10_x_high_x_young","m11_x_high_x_young"
"rb_x_high_x_young",0.000129986072950874,5.45886515679447e-05,7.84310944819229e-05,0.000144255204069888,-9.4800831414104e-05,-0.000116825595323189,-0.000100484067942583,-0.00014263707487611,-0.000109829512150847,-0.000195037264163119,-0.000214551327842747,-0.000120517590389807,-3.46344587290156e-05,4.29340018899248e-06
"interim_x_high_x_young",5.45886515679447e-05,0.000254606587643255,0.000410896701479118,0.000789375534564252,0.000150597867499392,7.23607444434263e-05,0.000142281253468585,2.69560868086206e-05,0.000120823092892715,-0.000133459207961931,-0.000253926233829424,-0.000114972348227382,-3.78601140293449e-05,5.19800732249254e-05
"post_x_high_x_young",7.84310944819229e-05,0.000410896701479118,0.00093500536202214,0.00167638202608665,0.000384177260089839,0.000179574205438667,0.000338493539113263,0.000138088709398776,0.000267157829975664,-0.000276900604312044,-0.000535347696407152,-0.000331291722866954,-0.000136293593592607,6.89021234700073e-05
"m01_x_high_x_young",0.000144255204069888,0.000789375534564252,0.00167638202608665,0.00649592780032563,0.00112071671224141,0.000380441973322661,0.000955830402557138,9.80348509288001e-05,0.000360722432579419,-0.00176879346604762,-0.00285792573307799,-0.00188584391975763,-0.000737628702195076,8.95809026548408e-05
"m02_x_high_x_young",-9.4800831414104e-05,0.000150597867499392,0.000384177260089839,0.00112071671224141,0.000720562951837739,0.0006364937040608,0.000693540683844077,0.000567295866192332,0.000456438555543666,0.000260885283909519,7.34655719477268e-05,5.00840915069872e-06,9.87290361045755e-06,4.79151852184005e-05
"m03_x_high_x_young",-0.000116825595323189,7.23607444434263e-05,0.000179574205438667,0.000380441973322661,0.0006364937040608,0.000694887343556247,0.000652569034027271,0.000608411415475826,0.000457310994327693,0.000511427731780537,0.000426758679931086,0.000265421097869246,0.000134100798036972,4.93724774616741e-05
"m04_x_high_x_young",-0.000100484067942583,0.000142281253468585,0.000338493539113263,0.000955830402557138,0.000693540683844077,0.000652569034027271,0.000704692630107086,0.000595071429812887,0.000478238904502439,0.00034042701647788,0.000168415605331906,7.29031979773003e-05,4.57757948488619e-05,5.11684520919119e-05
"m05_x_high_x_young",-0.00014263707487611,2.69560868086206e-05,0.000138088709398776,9.80348509288001e-05,0.000567295866192332,0.000608411415475826,0.000595071429812887,0.000627957083798695,0.000469288436713882,0.000631582499914927,0.000608166215814901,0.000343401287618547,0.000136701188883761,3.54909385792861e-05
"m06_x_high_x_young",-0.000109829512150847,0.000120823092892715,0.000267157829975664,0.000360722432579419,0.000456438555543666,0.000457310994327693,0.000478238904502439,0.000469288436713882,0.00057453008949507,0.000598785180845739,0.000509612306776388,0.000343146268683142,9.87953564747784e-05,4.05308042802408e-05
"m07_x_high_x_young",-0.000195037264163119,-0.000133459207961931,-0.000276900604312044,-0.00176879346604762,0.000260885283909519,0.000511427731780537,0.00034042701647788,0.000631582499914927,0.000598785180845739,0.00149065257847763,0.00176706380382902,0.00116139424174759,0.000406202733487373,2.72234773045391e-05
"m08_x_high_x_young",-0.000214551327842747,-0.000253926233829424,-0.000535347696407152,-0.00285792573307799,7.34655719477268e-05,0.000426758679931086,0.000168415605331906,0.000608166215814901,0.000509612306776388,0.00176706380382902,0.00225574373927687,0.0014820351137052,0.000525613580769126,1.32565665070345e-05
"m09_x_high_x_young",-0.000120517590389807,-0.000114972348227382,-0.000331291722866954,-0.00188584391975763,5.00840915069872e-06,0.000265421097869246,7.29031979773003e-05,0.000343401287618547,0.000343146268683142,0.00116139424174759,0.0014820351137052,0.00104510047614572,0.000376314461341052,2.21546089180667e-05
"m10_x_high_x_young",-3.46344587290156e-05,-3.78601140293449e-05,-0.000136293593592607,-0.000737628702195076,9.87290361045755e-06,0.000134100798036972,4.57757948488619e-05,0.000136701188883761,9.87953564747784e-05,0.000406202733487373,0.000525613580769126,0.000376314461341052,0.000173478398692929,2.10008665718394e-05
"m11_x_high_x_young",4.29340018899248e-06,5.19800732249254e-05,6.89021234700073e-05,8.95809026548408e-05,4.79151852184005e-05,4.93724774616741e-05,5.11684520919119e-05,3.54909385792861e-05,4.05308042802408e-05,2.72234773045391e-05,1.32565665070345e-05,2.21546089180667e-05,2.10008665718394e-05,2.33727974527365e-05
