age_group,coef,se,pvalue,n_obs,status,measure,outcome,dating,post_from
50+,-0.0297225935927609,0.0096877915902673,0.0021546319856357,11013772,ok,daioe,seps,adoption,2024-01
22-25,-0.0111425482477225,0.0177634954685916,0.530480772706549,10055276,ok,eloundou,hires,launch,2022-12
26-30,-0.0075289495906331,0.0114546129965142,0.51099743897682,10055276,ok,eloundou,hires,launch,2022-12
31-34,-0.001900562704014,0.0104546514208028,0.855746660146273,10055276,ok,eloundou,hires,launch,2022-12
35-40,-0.0102542025754592,0.010165501349896,0.313106197644596,10055276,ok,eloundou,hires,launch,2022-12
41-49,-0.0270616267583209,0.0092527525443218,0.0034477629997591,10055276,ok,eloundou,hires,launch,2022-12
50+,0.024388112504432,0.0207918313542433,0.240809416408949,10055276,ok,eloundou,hires,launch,2022-12
22-25,-0.0399532929249817,0.0269291507618227,0.137903193088722,10055276,ok,eloundou,hires,adoption,2024-01
26-30,-0.0258377473499476,0.0168285236841748,0.124696806049589,10055276,ok,eloundou,hires,adoption,2024-01
31-34,-0.0162491897218411,0.0124958269462531,0.193474427181293,10055276,ok,eloundou,hires,adoption,2024-01
35-40,-0.0172815687308793,0.0102557104294979,0.0919754664505723,10055276,ok,eloundou,hires,adoption,2024-01
41-49,-0.0420881691584417,0.0089871626333899,2.8250906561684e-06,10055276,ok,eloundou,hires,adoption,2024-01
50+,0.0044468407727165,0.024735563371017,0.857329056442933,10055276,ok,eloundou,hires,adoption,2024-01
22-25,-0.0047856202707508,0.0117381381585723,0.683495104482838,10055276,ok,eloundou,seps,launch,2022-12
26-30,0.0056560497867212,0.0076327559715351,0.458679331344078,10055276,ok,eloundou,seps,launch,2022-12
31-34,0.0040190537069201,0.008820576403454,0.648645101158218,10055276,ok,eloundou,seps,launch,2022-12
35-40,-0.0064884268025669,0.0089798033185895,0.469951611347133,10055276,ok,eloundou,seps,launch,2022-12
41-49,-0.0278257776775273,0.0076135892324598,0.0002574310679422,10055276,ok,eloundou,seps,launch,2022-12
50+,-0.0110077811126128,0.0090708197269693,0.224924334775437,10055276,ok,eloundou,seps,launch,2022-12
22-25,-0.0117466849278922,0.011920097773685,0.324402067636575,10055276,ok,eloundou,seps,adoption,2024-01
26-30,0.0061660560518187,0.0074485631834229,0.407773474686244,10055276,ok,eloundou,seps,adoption,2024-01
31-34,0.0043057411055,0.0080768651200085,0.593967417735433,10055276,ok,eloundou,seps,adoption,2024-01
35-40,-0.0036907495875084,0.0080639276163044,0.64717779697434,10055276,ok,eloundou,seps,adoption,2024-01
41-49,-0.0317131845131661,0.0079247071368292,6.28593574260872e-05,10055276,ok,eloundou,seps,adoption,2024-01
50+,-0.0186155222379943,0.0087724335669618,0.0338337348879338,10055276,ok,eloundou,seps,adoption,2024-01
22-25,0.0103425782815487,0.0155787078159368,0.506759486488999,11013772,ok,telework,hires,launch,2022-12
26-30,0.0027671826305316,0.0117125875227212,0.813233129615953,11013772,ok,telework,hires,launch,2022-12
31-34,0.0028078648899215,0.0118640414508195,0.812912666487157,11013772,ok,telework,hires,launch,2022-12
35-40,-0.0051038177833295,0.0116309656537067,0.660797111401954,11013772,ok,telework,hires,launch,2022-12
41-49,-0.007148307243388,0.0117410099572623,0.542635536959392,11013772,ok,telework,hires,launch,2022-12
50+,0.0209538411253593,0.0188345319140953,0.265913548006583,11013772,ok,telework,hires,launch,2022-12
22-25,-0.0233129977710836,0.0136038899356821,0.0865836803904152,11013772,ok,telework,hires,adoption,2024-01
26-30,-0.0244419062739544,0.0090286764413296,0.0067865288545466,11013772,ok,telework,hires,adoption,2024-01
31-34,-0.0198636486887879,0.0096275719887154,0.0390932142513266,11013772,ok,telework,hires,adoption,2024-01
35-40,-0.0195284911331477,0.0092575959186654,0.0349052412725898,11013772,ok,telework,hires,adoption,2024-01
41-49,-0.0290274747714944,0.0092737175804454,0.0017475890549625,11013772,ok,telework,hires,adoption,2024-01
50+,0.0025931335972561,0.0169774319290496,0.878603285474204,11013772,ok,telework,hires,adoption,2024-01
22-25,0.0020301851332851,0.0134723590803264,0.880218192452867,11013772,ok,telework,seps,launch,2022-12
26-30,0.0006843480080543,0.0088686120022257,0.938492144360292,11013772,ok,telework,seps,launch,2022-12
31-34,-0.0060133794637276,0.0094558432920093,0.524813428833798,11013772,ok,telework,seps,launch,2022-12
35-40,-0.0146204452462583,0.0094601596186873,0.122231282135892,11013772,ok,telework,seps,launch,2022-12
41-49,-0.0200122962054782,0.0086360328661996,0.0204872866137833,11013772,ok,telework,seps,launch,2022-12
50+,-0.0005860090165094,0.0094337884135266,0.950468782740915,11013772,ok,telework,seps,launch,2022-12
22-25,0.0138739427967188,0.0130775799732507,0.288737497016278,11013772,ok,telework,seps,adoption,2024-01
26-30,0.0076733385750387,0.0079252589276916,0.332938012997154,11013772,ok,telework,seps,adoption,2024-01
31-34,-0.0033670717534027,0.0082732937847668,0.684022087251697,11013772,ok,telework,seps,adoption,2024-01
35-40,-0.0094562609357022,0.0080669030553274,0.241104967349086,11013772,ok,telework,seps,adoption,2024-01
41-49,-0.0208816627596305,0.0078099923145527,0.0075017056538581,11013772,ok,telework,seps,adoption,2024-01
50+,-0.005700036380659,0.0088052018236496,0.517406258009951,11013772,ok,telework,seps,adoption,2024-01
