"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young"
"rb_x_high_x_young",2.20749164961715e-05,-1.26986617684427e-07,-6.3255408585359e-06,-3.35736426550013e-06,5.00257529034456e-06,6.76701280303462e-06
"q1_x_high_x_young",-1.26986617684427e-07,1.21773730909536e-05,6.94299797890698e-06,2.78829514486017e-06,2.37432578791888e-06,6.77302221204357e-06
"q2_x_high_x_young",-6.3255408585359e-06,6.94299797890698e-06,1.0312547687845e-05,5.2714067564184e-06,8.34173289623962e-07,6.14511193948697e-06
"q3_x_high_x_young",-3.35736426550013e-06,2.78829514486017e-06,5.2714067564184e-06,7.92096483361987e-06,1.12244440963893e-06,2.53884966146594e-06
"interim_x_high_x_young",5.00257529034456e-06,2.37432578791888e-06,8.34173289623962e-07,1.12244440963893e-06,3.0784175413735e-05,4.44267852108103e-05
"post_x_high_x_young",6.76701280303462e-06,6.77302221204357e-06,6.14511193948697e-06,2.53884966146594e-06,4.44267852108103e-05,0.000103195892630722
