year,band,group,n_employers,n_emp,n_pay,n_nopay_pension,n_nopay_benefit,share_pay,share_nopay_pension,share_nopay_benefit
2019,31-69,top,97875,12165931,11549882,219366,119464,0.9493627737984047,0.35608531139568445,0.19391963950919489
2019,31-69,rest,164214,36497316,33753978,2110033,41138,0.9248345275581361,0.7691480233204949,0.01499560025049775
2019,31-69,unscored,107225,933225,811253,1710,6856,0.8693005438131212,0.01401961105827567,0.056209621880431576
2019,31-69,all,369314,49596472,46115113,2331109,167458,0.9298063176751765,0.669597418709188,0.04810133054361817
