band,spec,coef,se
22-25,baseline,-0.0509206482583649,0.0121757895378476
22-25,industry_age_t,-0.0448130123223861,0.0112371983077238
26-30,baseline,-0.0437351778793154,0.0078800248913136
26-30,industry_age_t,-0.020807813321464,0.0071780233258369
