"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young"
"rb_x_high_x_young",5.82747690092488e-05,8.4346690626172e-06,-1.12185519817559e-05,-1.80826043980481e-05,1.10346997294714e-05,3.28845783276679e-05
"q1_x_high_x_young",8.4346690626172e-06,0.000146229604241053,6.86445006108541e-05,-4.72212142279896e-05,3.14290107323433e-06,4.56343314083593e-05
"q2_x_high_x_young",-1.12185519817559e-05,6.86445006108541e-05,9.08567209953098e-05,3.72519281507795e-05,-6.12268618155791e-06,2.27504483321597e-05
"q3_x_high_x_young",-1.80826043980481e-05,-4.72212142279896e-05,3.72519281507795e-05,0.000139547637625589,-1.85823354416413e-05,-3.42748881225962e-05
"interim_x_high_x_young",1.10346997294714e-05,3.14290107323433e-06,-6.12268618155791e-06,-1.85823354416413e-05,7.27943250161048e-05,7.7500576078081e-05
"post_x_high_x_young",3.28845783276679e-05,4.56343314083593e-05,2.27504483321597e-05,-3.42748881225962e-05,7.7500576078081e-05,0.00018311538264506
