"period","coef","se","pvalue","n_obs","n_emp_total","converged","elapsed_s","status"
"2019H1",-0.039003020068053,0.0120037282482619,0.00115712920599915,15983058,36258195,TRUE,62.0137550830841,"ok"
"2019H2",-0.0574354105072579,0.0119157914641023,1.43479997465127e-06,15983058,36258195,TRUE,62.0137550830841,"ok"
"2020H1",-0.0504914187565216,0.00975533397697652,2.26966221541577e-07,15983058,36258195,TRUE,62.0137550830841,"ok"
"2020H2",-0.0577091710506272,0.00971527553906358,2.84944357344501e-09,15983058,36258195,TRUE,62.0137550830841,"ok"
"2021H1",-0.025618463356288,0.0066623229781847,0.00012041736109457,15983058,36258195,TRUE,62.0137550830841,"ok"
"2021H2",-0.051422602821859,0.00642402542855798,1.19726994749945e-15,15983058,36258195,TRUE,62.0137550830841,"ok"
"2022H1",0,0,NA,15983058,36258195,TRUE,62.0137550830841,"reference"
"2022H2",-0.0415772361406184,0.0052640658652065,2.82705110615656e-15,15983058,36258195,TRUE,62.0137550830841,"ok"
"2023H1",0.0398216504578593,0.00635328777661538,3.65994774815856e-10,15983058,36258195,TRUE,62.0137550830841,"ok"
"2023H2",0.0249708533228573,0.00788261727955204,0.00153577154835917,15983058,36258195,TRUE,62.0137550830841,"ok"
"2024H1",-0.100190350668894,0.00905519246629871,1.8668999231328e-28,15983058,36258195,TRUE,62.0137550830841,"ok"
"2024H2",-0.123110521573246,0.0103164299693656,7.92281633995599e-33,15983058,36258195,TRUE,62.0137550830841,"ok"
"2025H1",-0.316689738842023,0.0132333010486028,1.44787111270763e-126,15983058,36258195,TRUE,62.0137550830841,"ok"
