"period","coef","se","pvalue","n_obs","n_emp_total","converged","elapsed_s","status"
"2019H1",-0.0542462938712371,0.010602804700569,3.11717525467161e-07,29591094,128110140,TRUE,124.575073957443,"ok"
"2019H2",-0.0528597008008555,0.0102616778297585,2.58859162280999e-07,29591094,128110140,TRUE,124.575073957443,"ok"
"2020H1",-0.036866582615516,0.00389985776880734,3.28267327022235e-21,29591094,128110140,TRUE,124.575073957443,"ok"
"2020H2",-0.0298684756918086,0.00374668213334844,1.56151859023254e-15,29591094,128110140,TRUE,124.575073957443,"ok"
"2021H1",-0.0155133751371957,0.00213760397647962,3.94699693123806e-13,29591094,128110140,TRUE,124.575073957443,"ok"
"2021H2",-0.0114634004999203,0.00204556926077571,2.09442760324131e-08,29591094,128110140,TRUE,124.575073957443,"ok"
"2022H1",0,0,NA,29591094,128110140,TRUE,124.575073957443,"reference"
"2022H2",0.00463001770110676,0.00116334433386692,6.89383837998425e-05,29591094,128110140,TRUE,124.575073957443,"ok"
"2023H1",0.0145219044237071,0.00325282198568202,8.02927522547496e-06,29591094,128110140,TRUE,124.575073957443,"ok"
"2023H2",0.0164072237406177,0.00366927763259515,7.76680280611496e-06,29591094,128110140,TRUE,124.575073957443,"ok"
"2024H1",0.0310122089788211,0.00366337648678506,2.55118651524473e-17,29591094,128110140,TRUE,124.575073957443,"ok"
"2024H2",0.0373075306005448,0.00407092469859702,4.98292298961189e-20,29591094,128110140,TRUE,124.575073957443,"ok"
"2025H1",0.0352473453684373,0.0082333201297883,1.86004393185398e-05,29591094,128110140,TRUE,124.575073957443,"ok"
