inr,expband,fresh,ssyk4,n
010c,0-2,0,0310,20.0
010c,0-2,0,1252,
010c,0-2,0,1291,
010c,0-2,0,1292,
010c,0-2,0,1592,
010c,0-2,0,2143,
010c,0-2,0,2330,
010c,0-2,0,2341,16.0
010c,0-2,0,2342,7.0
010c,0-2,0,2343,6.0
010c,0-2,0,2359,8.0
010c,0-2,0,2421,
010c,0-2,0,2422,
010c,0-2,0,2431,
010c,0-2,0,2511,
010c,0-2,0,2512,7.0
010c,0-2,0,2514,
010c,0-2,0,2641,
010c,0-2,0,3112,
010c,0-2,0,3113,
010c,0-2,0,3114,
010c,0-2,0,3119,
010c,0-2,0,3121,
010c,0-2,0,3212,
010c,0-2,0,3214,
010c,0-2,0,3215,
010c,0-2,0,3312,7.0
010c,0-2,0,3313,
010c,0-2,0,3322,9.0
010c,0-2,0,3323,
010c,0-2,0,3324,
010c,0-2,0,3331,
010c,0-2,0,3335,
010c,0-2,0,3341,
010c,0-2,0,3352,
010c,0-2,0,3353,
010c,0-2,0,3359,
010c,0-2,0,3421,
010c,0-2,0,3422,5.0
010c,0-2,0,3423,5.0
010c,0-2,0,3511,
010c,0-2,0,3512,5.0
010c,0-2,0,3515,
010c,0-2,0,3522,
010c,0-2,0,4111,8.0
010c,0-2,0,4113,
010c,0-2,0,4114,
010c,0-2,0,4115,
010c,0-2,0,4117,
010c,0-2,0,4119,26.0
010c,0-2,0,4211,
010c,0-2,0,4212,
010c,0-2,0,4221,5.0
010c,0-2,0,4222,41.0
010c,0-2,0,4223,
010c,0-2,0,4224,6.0
010c,0-2,0,4225,9.0
010c,0-2,0,4321,
010c,0-2,0,4322,57.0
010c,0-2,0,4323,
010c,0-2,0,4410,
010c,0-2,0,4420,25.0
010c,0-2,0,5112,
010c,0-2,0,5120,5.0
010c,0-2,0,5131,30.0
010c,0-2,0,5132,8.0
010c,0-2,0,5141,
010c,0-2,0,5152,5.0
010c,0-2,0,5221,9.0
010c,0-2,0,5222,103.0
010c,0-2,0,5223,89.0
010c,0-2,0,5225,6.0
010c,0-2,0,5226,
010c,0-2,0,5227,
010c,0-2,0,5230,18.0
010c,0-2,0,5241,
010c,0-2,0,5242,6.0
010c,0-2,0,5311,45.0
010c,0-2,0,5312,17.0
010c,0-2,0,5321,
010c,0-2,0,5322,
010c,0-2,0,5323,
010c,0-2,0,5324,
010c,0-2,0,5330,44.0
010c,0-2,0,5341,
010c,0-2,0,5342,15.0
010c,0-2,0,5343,20.0
010c,0-2,0,5349,
010c,0-2,0,5413,5.0
010c,0-2,0,5414,
010c,0-2,0,5419,
010c,0-2,0,6113,
010c,0-2,0,6121,
010c,0-2,0,6129,
010c,0-2,0,6130,
010c,0-2,0,6210,
010c,0-2,0,6221,
010c,0-2,0,7111,14.0
010c,0-2,0,7112,
010c,0-2,0,7114,
010c,0-2,0,7116,
010c,0-2,0,7119,
010c,0-2,0,7121,
010c,0-2,0,7124,
010c,0-2,0,7125,
010c,0-2,0,7131,
010c,0-2,0,7212,
010c,0-2,0,7213,
010c,0-2,0,7214,
010c,0-2,0,7221,
010c,0-2,0,7222,
010c,0-2,0,7223,16.0
010c,0-2,0,7224,
010c,0-2,0,7231,5.0
010c,0-2,0,7233,
010c,0-2,0,7311,
010c,0-2,0,7322,
010c,0-2,0,7323,
010c,0-2,0,7411,10.0
010c,0-2,0,7412,
010c,0-2,0,7420,6.0
010c,0-2,0,7522,
010c,0-2,0,7523,
010c,0-2,0,7612,
010c,0-2,0,8122,
010c,0-2,0,8129,
010c,0-2,0,8142,
010c,0-2,0,8151,
010c,0-2,0,8159,
010c,0-2,0,8161,
010c,0-2,0,8169,
010c,0-2,0,8172,
010c,0-2,0,8173,
010c,0-2,0,8181,
010c,0-2,0,8189,
010c,0-2,0,8192,5.0
010c,0-2,0,8193,
010c,0-2,0,8211,7.0
010c,0-2,0,8212,6.0
010c,0-2,0,8213,5.0
010c,0-2,0,8214,
010c,0-2,0,8219,11.0
010c,0-2,0,8329,7.0
010c,0-2,0,8331,
010c,0-2,0,8332,
010c,0-2,0,8342,
010c,0-2,0,8344,6.0
010c,0-2,0,8350,
010c,0-2,0,9111,15.0
010c,0-2,0,9119,
010c,0-2,0,9120,
010c,0-2,0,9210,
010c,0-2,0,9310,5.0
010c,0-2,0,9320,7.0
010c,0-2,0,9331,
010c,0-2,0,9332,
010c,0-2,0,9411,
010c,0-2,0,9412,64.0
010c,0-2,0,9413,9.0
010c,0-2,0,9610,
010c,0-2,0,9621,
010c,0-2,0,9622,
010c,0-2,0,9629,8.0
010c,0-2,1,1362,
010c,0-2,1,1371,
010c,0-2,1,1722,
010c,0-2,1,1792,
010c,0-2,1,2132,
010c,0-2,1,2142,
010c,0-2,1,2163,
010c,0-2,1,2313,
010c,0-2,1,2319,
010c,0-2,1,2341,6.0
010c,0-2,1,2342,
010c,0-2,1,2413,
010c,0-2,1,2414,
010c,0-2,1,2422,
010c,0-2,1,2431,
010c,0-2,1,2511,
010c,0-2,1,2512,
010c,0-2,1,2514,
010c,0-2,1,2519,
010c,0-2,1,2619,
010c,0-2,1,2621,
010c,0-2,1,2652,
010c,0-2,1,3111,
010c,0-2,1,3112,
010c,0-2,1,3113,
010c,0-2,1,3114,
010c,0-2,1,3119,
010c,0-2,1,3121,
010c,0-2,1,3212,
010c,0-2,1,3215,
010c,0-2,1,3240,
010c,0-2,1,3311,
010c,0-2,1,3312,9.0
010c,0-2,1,3314,
010c,0-2,1,3321,
010c,0-2,1,3322,
010c,0-2,1,3324,
010c,0-2,1,3334,
010c,0-2,1,3335,
010c,0-2,1,3341,
010c,0-2,1,3342,
010c,0-2,1,3352,
010c,0-2,1,3353,
010c,0-2,1,3359,
010c,0-2,1,3411,
010c,0-2,1,3422,
010c,0-2,1,3451,
010c,0-2,1,3511,
010c,0-2,1,3512,
010c,0-2,1,3513,
010c,0-2,1,3514,
010c,0-2,1,3515,
010c,0-2,1,4111,
010c,0-2,1,4114,
010c,0-2,1,4115,
010c,0-2,1,4117,
010c,0-2,1,4119,18.0
010c,0-2,1,4211,
010c,0-2,1,4221,
010c,0-2,1,4222,17.0
010c,0-2,1,4224,13.0
010c,0-2,1,4225,8.0
010c,0-2,1,4322,56.0
010c,0-2,1,4323,
010c,0-2,1,4420,8.0
010c,0-2,1,5112,
010c,0-2,1,5113,
010c,0-2,1,5120,
010c,0-2,1,5131,11.0
010c,0-2,1,5132,
010c,0-2,1,5141,
010c,0-2,1,5149,
010c,0-2,1,5152,5.0
010c,0-2,1,5169,
010c,0-2,1,5221,5.0
010c,0-2,1,5222,86.0
010c,0-2,1,5223,125.0
010c,0-2,1,5225,
010c,0-2,1,5227,
010c,0-2,1,5230,19.0
010c,0-2,1,5241,
010c,0-2,1,5242,
010c,0-2,1,5311,6.0
010c,0-2,1,5312,6.0
010c,0-2,1,5321,10.0
010c,0-2,1,5323,9.0
010c,0-2,1,5330,17.0
010c,0-2,1,5341,
010c,0-2,1,5342,7.0
010c,0-2,1,5343,12.0
010c,0-2,1,5349,7.0
010c,0-2,1,5412,
010c,0-2,1,5413,9.0
010c,0-2,1,5419,
010c,0-2,1,6112,
010c,0-2,1,6113,
010c,0-2,1,6129,
010c,0-2,1,7111,16.0
010c,0-2,1,7113,
010c,0-2,1,7114,5.0
010c,0-2,1,7119,
010c,0-2,1,7122,
010c,0-2,1,7124,
010c,0-2,1,7126,
010c,0-2,1,7134,
010c,0-2,1,7211,
010c,0-2,1,7221,
010c,0-2,1,7222,
010c,0-2,1,7223,
010c,0-2,1,7231,7.0
010c,0-2,1,7311,
010c,0-2,1,7319,
010c,0-2,1,7322,
010c,0-2,1,7411,
010c,0-2,1,7412,
010c,0-2,1,7420,
010c,0-2,1,7611,
010c,0-2,1,8111,
010c,0-2,1,8121,
010c,0-2,1,8131,
010c,0-2,1,8142,
010c,0-2,1,8143,
010c,0-2,1,8172,
010c,0-2,1,8181,
010c,0-2,1,8189,
010c,0-2,1,8199,
010c,0-2,1,8211,
010c,0-2,1,8212,
010c,0-2,1,8213,5.0
010c,0-2,1,8219,12.0
010c,0-2,1,8311,
010c,0-2,1,8312,
010c,0-2,1,8332,
010c,0-2,1,8342,
010c,0-2,1,8344,
010c,0-2,1,9111,7.0
010c,0-2,1,9120,
010c,0-2,1,9310,
010c,0-2,1,9320,5.0
010c,0-2,1,9331,
010c,0-2,1,9411,
010c,0-2,1,9412,28.0
010c,0-2,1,9413,6.0
010c,0-2,1,9610,
010c,0-2,1,9621,
010c,0-2,1,9622,
010c,0-2,1,9629,8.0
010c,11-20,0,0310,
010c,11-20,0,1120,
010c,11-20,0,1212,
010c,11-20,0,1230,
010c,11-20,0,1251,
010c,11-20,0,1252,
010c,11-20,0,1292,
010c,11-20,0,1311,
010c,11-20,0,1312,
010c,11-20,0,1321,
010c,11-20,0,1322,
010c,11-20,0,1361,
010c,11-20,0,1362,
010c,11-20,0,1372,
010c,11-20,0,1492,
010c,11-20,0,1722,
010c,11-20,0,1731,
010c,11-20,0,2113,
010c,11-20,0,2141,
010c,11-20,0,2142,
010c,11-20,0,2143,
010c,11-20,0,2144,
010c,11-20,0,2149,
010c,11-20,0,2161,
010c,11-20,0,2172,
010c,11-20,0,2173,
010c,11-20,0,2182,
010c,11-20,0,2330,
010c,11-20,0,2341,
010c,11-20,0,2411,
010c,11-20,0,2412,
010c,11-20,0,2421,
010c,11-20,0,2422,
010c,11-20,0,2423,
010c,11-20,0,2511,
010c,11-20,0,2512,15.0
010c,11-20,0,2513,
010c,11-20,0,2514,
010c,11-20,0,2519,
010c,11-20,0,2643,
010c,11-20,0,2654,
010c,11-20,0,3112,
010c,11-20,0,3113,
010c,11-20,0,3114,
010c,11-20,0,3230,
010c,11-20,0,3240,
010c,11-20,0,3313,
010c,11-20,0,3322,13.0
010c,11-20,0,3323,
010c,11-20,0,3332,
010c,11-20,0,3339,
010c,11-20,0,3341,
010c,11-20,0,3343,
010c,11-20,0,3354,
010c,11-20,0,3411,
010c,11-20,0,3422,
010c,11-20,0,3432,
010c,11-20,0,3511,
010c,11-20,0,3512,6.0
010c,11-20,0,3513,
010c,11-20,0,3514,
010c,11-20,0,3521,
010c,11-20,0,3522,
010c,11-20,0,4111,7.0
010c,11-20,0,4115,
010c,11-20,0,4117,
010c,11-20,0,4119,8.0
010c,11-20,0,4322,
010c,11-20,0,4420,
010c,11-20,0,5112,
010c,11-20,0,5120,5.0
010c,11-20,0,5131,
010c,11-20,0,5151,
010c,11-20,0,5152,
010c,11-20,0,5161,
010c,11-20,0,5221,
010c,11-20,0,5222,
010c,11-20,0,5223,6.0
010c,11-20,0,5224,
010c,11-20,0,5230,
010c,11-20,0,5311,
010c,11-20,0,5321,
010c,11-20,0,5330,
010c,11-20,0,5343,5.0
010c,11-20,0,5349,
010c,11-20,0,5412,
010c,11-20,0,5413,
010c,11-20,0,6112,
010c,11-20,0,6121,
010c,11-20,0,6130,
010c,11-20,0,7111,
010c,11-20,0,7119,
010c,11-20,0,7125,
010c,11-20,0,7131,
010c,11-20,0,7133,
010c,11-20,0,7212,
010c,11-20,0,7215,
010c,11-20,0,7222,
010c,11-20,0,7223,6.0
010c,11-20,0,7233,
010c,11-20,0,7311,
010c,11-20,0,7411,6.0
010c,11-20,0,7420,5.0
010c,11-20,0,7522,
010c,11-20,0,8112,
010c,11-20,0,8132,
010c,11-20,0,8181,
010c,11-20,0,8211,
010c,11-20,0,8212,
010c,11-20,0,8213,
010c,11-20,0,8332,
010c,11-20,0,9111,
010c,11-20,0,9320,
010c,11-20,0,9332,
010c,11-20,0,9411,
010c,11-20,0,9412,
010c,11-20,0,9610,
010c,11-20,0,9621,
010c,11-20,0,9622,
010c,11-20,0,9629,
010c,11-20,1,1120,
010c,11-20,1,1211,
010c,11-20,1,1212,
010c,11-20,1,1222,
010c,11-20,1,1242,
010c,11-20,1,1251,
010c,11-20,1,1252,
010c,11-20,1,1291,
010c,11-20,1,1292,5.0
010c,11-20,1,1312,
010c,11-20,1,1321,
010c,11-20,1,1322,
010c,11-20,1,1341,
010c,11-20,1,1342,
010c,11-20,1,1352,
010c,11-20,1,1361,
010c,11-20,1,1362,6.0
010c,11-20,1,1371,
010c,11-20,1,1372,
010c,11-20,1,1412,
010c,11-20,1,1512,
010c,11-20,1,1532,
010c,11-20,1,1592,
010c,11-20,1,1711,
010c,11-20,1,1722,
010c,11-20,1,1731,
010c,11-20,1,1792,
010c,11-20,1,2111,
010c,11-20,1,2113,
010c,11-20,1,2134,
010c,11-20,1,2141,
010c,11-20,1,2142,5.0
010c,11-20,1,2143,10.0
010c,11-20,1,2144,
010c,11-20,1,2146,
010c,11-20,1,2149,
010c,11-20,1,2161,
010c,11-20,1,2172,
010c,11-20,1,2173,
010c,11-20,1,2219,
010c,11-20,1,2320,
010c,11-20,1,2341,
010c,11-20,1,2411,
010c,11-20,1,2412,
010c,11-20,1,2413,
010c,11-20,1,2419,
010c,11-20,1,2421,5.0
010c,11-20,1,2422,13.0
010c,11-20,1,2423,
010c,11-20,1,2431,5.0
010c,11-20,1,2432,6.0
010c,11-20,1,2511,10.0
010c,11-20,1,2512,27.0
010c,11-20,1,2513,
010c,11-20,1,2514,
010c,11-20,1,2515,
010c,11-20,1,2516,
010c,11-20,1,2519,7.0
010c,11-20,1,2615,
010c,11-20,1,2642,
010c,11-20,1,2643,
010c,11-20,1,2652,
010c,11-20,1,2654,
010c,11-20,1,2661,
010c,11-20,1,2669,
010c,11-20,1,3111,5.0
010c,11-20,1,3112,12.0
010c,11-20,1,3113,9.0
010c,11-20,1,3114,5.0
010c,11-20,1,3115,
010c,11-20,1,3116,
010c,11-20,1,3117,
010c,11-20,1,3119,13.0
010c,11-20,1,3121,
010c,11-20,1,3122,
010c,11-20,1,3211,
010c,11-20,1,3214,
010c,11-20,1,3215,6.0
010c,11-20,1,3240,
010c,11-20,1,3311,
010c,11-20,1,3312,5.0
010c,11-20,1,3313,6.0
010c,11-20,1,3314,
010c,11-20,1,3321,
010c,11-20,1,3322,23.0
010c,11-20,1,3323,
010c,11-20,1,3324,
010c,11-20,1,3335,
010c,11-20,1,3339,
010c,11-20,1,3341,
010c,11-20,1,3343,
010c,11-20,1,3351,
010c,11-20,1,3352,
010c,11-20,1,3353,
010c,11-20,1,3354,
010c,11-20,1,3359,
010c,11-20,1,3360,
010c,11-20,1,3411,
010c,11-20,1,3422,
010c,11-20,1,3423,
010c,11-20,1,3431,
010c,11-20,1,3432,
010c,11-20,1,3441,
010c,11-20,1,3511,7.0
010c,11-20,1,3512,
010c,11-20,1,3513,
010c,11-20,1,3514,5.0
010c,11-20,1,3515,
010c,11-20,1,3521,
010c,11-20,1,3522,
010c,11-20,1,4111,8.0
010c,11-20,1,4112,
010c,11-20,1,4114,
010c,11-20,1,4115,
010c,11-20,1,4119,11.0
010c,11-20,1,4211,
010c,11-20,1,4222,
010c,11-20,1,4224,
010c,11-20,1,4225,
010c,11-20,1,4321,
010c,11-20,1,4322,17.0
010c,11-20,1,4323,
010c,11-20,1,4420,6.0
010c,11-20,1,5112,
010c,11-20,1,5120,7.0
010c,11-20,1,5131,
010c,11-20,1,5132,
010c,11-20,1,5141,
010c,11-20,1,5143,
010c,11-20,1,5152,9.0
010c,11-20,1,5221,
010c,11-20,1,5222,15.0
010c,11-20,1,5223,9.0
010c,11-20,1,5230,
010c,11-20,1,5311,5.0
010c,11-20,1,5312,
010c,11-20,1,5321,7.0
010c,11-20,1,5323,6.0
010c,11-20,1,5324,
010c,11-20,1,5325,
010c,11-20,1,5330,
010c,11-20,1,5341,
010c,11-20,1,5342,
010c,11-20,1,5343,10.0
010c,11-20,1,5349,
010c,11-20,1,5411,
010c,11-20,1,5413,5.0
010c,11-20,1,5419,
010c,11-20,1,6113,
010c,11-20,1,6129,
010c,11-20,1,6210,
010c,11-20,1,7111,
010c,11-20,1,7114,
010c,11-20,1,7116,
010c,11-20,1,7119,
010c,11-20,1,7125,
010c,11-20,1,7131,
010c,11-20,1,7212,
010c,11-20,1,7214,
010c,11-20,1,7215,
010c,11-20,1,7221,
010c,11-20,1,7222,
010c,11-20,1,7223,13.0
010c,11-20,1,7231,
010c,11-20,1,7233,5.0
010c,11-20,1,7322,
010c,11-20,1,7411,8.0
010c,11-20,1,7412,
010c,11-20,1,7413,
010c,11-20,1,7420,
010c,11-20,1,7522,
010c,11-20,1,8129,
010c,11-20,1,8131,
010c,11-20,1,8142,
010c,11-20,1,8161,
010c,11-20,1,8171,
010c,11-20,1,8172,
010c,11-20,1,8181,
010c,11-20,1,8189,
010c,11-20,1,8191,
010c,11-20,1,8192,
010c,11-20,1,8193,
010c,11-20,1,8199,
010c,11-20,1,8211,
010c,11-20,1,8212,
010c,11-20,1,8213,
010c,11-20,1,8219,
010c,11-20,1,8311,
010c,11-20,1,8312,
010c,11-20,1,8331,
010c,11-20,1,8332,6.0
010c,11-20,1,8341,
010c,11-20,1,8342,
010c,11-20,1,8344,
010c,11-20,1,9111,
010c,11-20,1,9120,
010c,11-20,1,9310,
010c,11-20,1,9332,
010c,11-20,1,9412,
010c,11-20,1,9621,
010c,11-20,1,9622,
010c,11-20,1,9629,
010c,21+,0,0210,
010c,21+,0,1292,
010c,21+,0,1742,
010c,21+,0,2149,
010c,21+,0,2421,
010c,21+,0,3322,
010c,21+,0,3323,
010c,21+,0,3422,
010c,21+,0,4114,
010c,21+,0,4322,
010c,21+,0,5152,
010c,21+,0,5413,
010c,21+,0,6121,
010c,21+,0,7233,
010c,21+,0,8331,
010c,21+,1,1212,
010c,21+,1,1251,
010c,21+,1,1292,
010c,21+,1,1612,
010c,21+,1,2183,
010c,21+,1,2313,
010c,21+,1,2341,
010c,21+,1,2421,
010c,21+,1,2511,
010c,21+,1,2512,
010c,21+,1,3112,
010c,21+,1,3312,
010c,21+,1,3322,
010c,21+,1,3343,
010c,21+,1,3411,
010c,21+,1,3513,
010c,21+,1,4111,
010c,21+,1,4117,
010c,21+,1,4222,
010c,21+,1,5152,
010c,21+,1,5226,
010c,21+,1,5312,
010c,21+,1,5321,
010c,21+,1,5323,
010c,21+,1,7233,
010c,21+,1,7411,
010c,21+,1,8214,
010c,21+,1,8331,
010c,3-5,0,0210,
010c,3-5,0,0310,
010c,3-5,0,1792,
010c,3-5,0,2330,
010c,3-5,0,2341,
010c,3-5,0,2343,
010c,3-5,0,2359,
010c,3-5,0,2512,
010c,3-5,0,3112,
010c,3-5,0,3113,
010c,3-5,0,3114,
010c,3-5,0,3122,
010c,3-5,0,3212,
010c,3-5,0,3312,
010c,3-5,0,3322,
010c,3-5,0,3324,
010c,3-5,0,3421,
010c,3-5,0,3422,
010c,3-5,0,3439,
010c,3-5,0,3449,
010c,3-5,0,3522,
010c,3-5,0,4113,
010c,3-5,0,4119,8.0
010c,3-5,0,4211,
010c,3-5,0,4212,
010c,3-5,0,4221,
010c,3-5,0,4222,7.0
010c,3-5,0,4223,
010c,3-5,0,4224,
010c,3-5,0,4225,
010c,3-5,0,4322,16.0
010c,3-5,0,4420,6.0
010c,3-5,0,5120,
010c,3-5,0,5131,
010c,3-5,0,5132,
010c,3-5,0,5141,
010c,3-5,0,5152,
010c,3-5,0,5169,
010c,3-5,0,5221,
010c,3-5,0,5222,14.0
010c,3-5,0,5223,22.0
010c,3-5,0,5225,
010c,3-5,0,5230,
010c,3-5,0,5242,
010c,3-5,0,5311,6.0
010c,3-5,0,5312,
010c,3-5,0,5324,
010c,3-5,0,5325,
010c,3-5,0,5330,12.0
010c,3-5,0,5341,
010c,3-5,0,5342,5.0
010c,3-5,0,5343,6.0
010c,3-5,0,5349,
010c,3-5,0,5412,
010c,3-5,0,5413,
010c,3-5,0,5419,
010c,3-5,0,6122,
010c,3-5,0,6129,
010c,3-5,0,6210,
010c,3-5,0,7111,
010c,3-5,0,7113,
010c,3-5,0,7114,
010c,3-5,0,7116,
010c,3-5,0,7124,
010c,3-5,0,7212,
010c,3-5,0,7222,
010c,3-5,0,7223,
010c,3-5,0,7231,
010c,3-5,0,7411,
010c,3-5,0,7420,
010c,3-5,0,7612,
010c,3-5,0,8116,
010c,3-5,0,8132,
010c,3-5,0,8141,
010c,3-5,0,8143,
010c,3-5,0,8159,
010c,3-5,0,8161,
010c,3-5,0,8163,
010c,3-5,0,8181,
010c,3-5,0,8192,
010c,3-5,0,8212,
010c,3-5,0,8219,
010c,3-5,0,8321,
010c,3-5,0,8331,
010c,3-5,0,8342,
010c,3-5,0,9111,6.0
010c,3-5,0,9320,
010c,3-5,0,9331,
010c,3-5,0,9411,
010c,3-5,0,9412,11.0
010c,3-5,0,9413,
010c,3-5,0,9610,
010c,3-5,0,9621,
010c,3-5,0,9622,
010c,3-5,0,9629,5.0
010c,3-5,1,1120,
010c,3-5,1,1292,
010c,3-5,1,1372,
010c,3-5,1,1722,
010c,3-5,1,2144,
010c,3-5,1,2173,
010c,3-5,1,2319,
010c,3-5,1,2341,
010c,3-5,1,2343,
010c,3-5,1,2352,
010c,3-5,1,2359,
010c,3-5,1,2413,
010c,3-5,1,2422,
010c,3-5,1,2423,
010c,3-5,1,2431,
010c,3-5,1,2511,
010c,3-5,1,2512,
010c,3-5,1,3111,
010c,3-5,1,3112,
010c,3-5,1,3113,
010c,3-5,1,3119,
010c,3-5,1,3121,
010c,3-5,1,3122,
010c,3-5,1,3211,
010c,3-5,1,3215,
010c,3-5,1,3240,
010c,3-5,1,3312,
010c,3-5,1,3313,
010c,3-5,1,3321,
010c,3-5,1,3322,
010c,3-5,1,3341,
010c,3-5,1,3411,
010c,3-5,1,3422,
010c,3-5,1,3423,
010c,3-5,1,3431,
010c,3-5,1,3449,
010c,3-5,1,3511,
010c,3-5,1,3512,
010c,3-5,1,3514,
010c,3-5,1,3522,
010c,3-5,1,4113,
010c,3-5,1,4119,6.0
010c,3-5,1,4221,
010c,3-5,1,4222,8.0
010c,3-5,1,4223,
010c,3-5,1,4224,
010c,3-5,1,4321,
010c,3-5,1,4322,11.0
010c,3-5,1,4323,
010c,3-5,1,4420,
010c,3-5,1,5112,
010c,3-5,1,5131,5.0
010c,3-5,1,5141,
010c,3-5,1,5152,
010c,3-5,1,5222,28.0
010c,3-5,1,5223,18.0
010c,3-5,1,5224,
010c,3-5,1,5230,
010c,3-5,1,5241,
010c,3-5,1,5311,
010c,3-5,1,5312,
010c,3-5,1,5323,5.0
010c,3-5,1,5324,
010c,3-5,1,5330,5.0
010c,3-5,1,5342,7.0
010c,3-5,1,5343,7.0
010c,3-5,1,5349,
010c,3-5,1,5413,
010c,3-5,1,6113,
010c,3-5,1,6129,
010c,3-5,1,7111,
010c,3-5,1,7114,
010c,3-5,1,7119,
010c,3-5,1,7125,
010c,3-5,1,7221,
010c,3-5,1,7223,
010c,3-5,1,7224,
010c,3-5,1,7231,
010c,3-5,1,7232,
010c,3-5,1,7233,
010c,3-5,1,7411,
010c,3-5,1,7611,
010c,3-5,1,8122,
010c,3-5,1,8129,
010c,3-5,1,8132,
010c,3-5,1,8142,
010c,3-5,1,8172,
010c,3-5,1,8181,
010c,3-5,1,8189,
010c,3-5,1,8212,
010c,3-5,1,8213,
010c,3-5,1,8219,
010c,3-5,1,8321,
010c,3-5,1,8329,
010c,3-5,1,8332,
010c,3-5,1,8342,
010c,3-5,1,8344,
010c,3-5,1,9332,
010c,3-5,1,9412,
010c,3-5,1,9610,
010c,3-5,1,9622,
010c,3-5,1,9629,
010c,6-10,0,0310,
010c,6-10,0,1242,
010c,6-10,0,2144,
010c,6-10,0,2146,
010c,6-10,0,2341,
010c,6-10,0,2413,
010c,6-10,0,2421,
010c,6-10,0,2511,
010c,6-10,0,2512,7.0
010c,6-10,0,2516,
010c,6-10,0,2519,
010c,6-10,0,3113,
010c,6-10,0,3119,
010c,6-10,0,3214,
010c,6-10,0,3215,
010c,6-10,0,3240,
010c,6-10,0,3313,
010c,6-10,0,3322,
010c,6-10,0,3332,
010c,6-10,0,3335,
010c,6-10,0,3339,
010c,6-10,0,3359,
010c,6-10,0,3423,
010c,6-10,0,3511,
010c,6-10,0,3514,
010c,6-10,0,3515,
010c,6-10,0,4111,
010c,6-10,0,4112,
010c,6-10,0,4114,
010c,6-10,0,4119,
010c,6-10,0,4211,
010c,6-10,0,4222,
010c,6-10,0,4321,
010c,6-10,0,4322,6.0
010c,6-10,0,4420,
010c,6-10,0,5120,
010c,6-10,0,5152,
010c,6-10,0,5222,7.0
010c,6-10,0,5223,12.0
010c,6-10,0,5224,
010c,6-10,0,5225,
010c,6-10,0,5230,
010c,6-10,0,5241,
010c,6-10,0,5242,
010c,6-10,0,5311,
010c,6-10,0,5312,
010c,6-10,0,5321,
010c,6-10,0,5324,
010c,6-10,0,5330,
010c,6-10,0,5343,
010c,6-10,0,5350,
010c,6-10,0,5413,
010c,6-10,0,6121,
010c,6-10,0,7111,
010c,6-10,0,7119,
010c,6-10,0,7134,
010c,6-10,0,7223,
010c,6-10,0,7233,
010c,6-10,0,7411,
010c,6-10,0,7522,
010c,6-10,0,8162,
010c,6-10,0,8163,
010c,6-10,0,8181,
010c,6-10,0,8211,
010c,6-10,0,8212,
010c,6-10,0,8213,
010c,6-10,0,9111,
010c,6-10,0,9412,
010c,6-10,0,9610,
010c,6-10,0,9621,
010c,6-10,1,1251,
010c,6-10,1,1322,
010c,6-10,1,1591,
010c,6-10,1,1721,
010c,6-10,1,1792,
010c,6-10,1,2143,
010c,6-10,1,2144,
010c,6-10,1,2213,
010c,6-10,1,2219,8.0
010c,6-10,1,2250,
010c,6-10,1,2330,
010c,6-10,1,2341,
010c,6-10,1,2359,
010c,6-10,1,2421,
010c,6-10,1,2431,
010c,6-10,1,2512,7.0
010c,6-10,1,2514,
010c,6-10,1,2519,
010c,6-10,1,2641,
010c,6-10,1,2661,
010c,6-10,1,3112,
010c,6-10,1,3113,
010c,6-10,1,3114,
010c,6-10,1,3119,
010c,6-10,1,3312,
010c,6-10,1,3314,
010c,6-10,1,3322,
010c,6-10,1,3323,
010c,6-10,1,3324,
010c,6-10,1,3335,
010c,6-10,1,3341,
010c,6-10,1,3360,
010c,6-10,1,3422,
010c,6-10,1,3424,
010c,6-10,1,3511,5.0
010c,6-10,1,3512,
010c,6-10,1,4111,
010c,6-10,1,4114,
010c,6-10,1,4119,
010c,6-10,1,4211,
010c,6-10,1,4221,
010c,6-10,1,4222,10.0
010c,6-10,1,4223,
010c,6-10,1,4224,
010c,6-10,1,4225,
010c,6-10,1,4321,
010c,6-10,1,4322,5.0
010c,6-10,1,4323,
010c,6-10,1,4420,
010c,6-10,1,5111,
010c,6-10,1,5120,
010c,6-10,1,5131,
010c,6-10,1,5141,
010c,6-10,1,5152,5.0
010c,6-10,1,5169,
010c,6-10,1,5221,
010c,6-10,1,5222,14.0
010c,6-10,1,5223,8.0
010c,6-10,1,5230,
010c,6-10,1,5311,
010c,6-10,1,5312,
010c,6-10,1,5321,
010c,6-10,1,5330,
010c,6-10,1,5341,
010c,6-10,1,5342,
010c,6-10,1,5343,
010c,6-10,1,5412,
010c,6-10,1,5413,
010c,6-10,1,5419,
010c,6-10,1,6113,
010c,6-10,1,7111,
010c,6-10,1,7112,
010c,6-10,1,7114,
010c,6-10,1,7119,
010c,6-10,1,7125,
010c,6-10,1,7126,
010c,6-10,1,7213,
010c,6-10,1,7223,5.0
010c,6-10,1,7231,
010c,6-10,1,7233,
010c,6-10,1,7411,
010c,6-10,1,7412,
010c,6-10,1,7420,
010c,6-10,1,7522,
010c,6-10,1,8122,
010c,6-10,1,8129,
010c,6-10,1,8131,
010c,6-10,1,8143,
010c,6-10,1,8159,
010c,6-10,1,8169,
010c,6-10,1,8181,
010c,6-10,1,8193,
010c,6-10,1,8212,
010c,6-10,1,8214,
010c,6-10,1,8219,
010c,6-10,1,8321,
010c,6-10,1,8331,
