grp,expband,fresh,ssyk4,n
01Z,0-2,0,4222,
01Z,0-2,0,4322,
01Z,0-2,0,5330,
01Z,0-2,0,9111,
01Z,0-2,0,9332,
01Z,0-2,0,9411,
01Z,0-2,1,5222,
01Z,0-2,1,5223,
01Z,0-2,1,5311,
01Z,0-2,1,5330,
01Z,0-2,1,7223,
01Z,0-2,1,7611,
01Z,0-2,1,9119,
01Z,0-2,1,9412,
01Z,11-20,0,1120,
01Z,11-20,0,1721,
01Z,11-20,0,1722,
01Z,11-20,0,2134,
01Z,11-20,0,2359,
01Z,11-20,0,2421,
01Z,11-20,0,2422,
01Z,11-20,0,2423,
01Z,11-20,0,2643,
01Z,11-20,0,2653,
01Z,11-20,0,2669,
01Z,11-20,0,3121,
01Z,11-20,0,3214,
01Z,11-20,0,3321,
01Z,11-20,0,3333,
01Z,11-20,0,3335,
01Z,11-20,0,3421,
01Z,11-20,0,3451,
01Z,11-20,0,3512,
01Z,11-20,0,3522,
01Z,11-20,0,4119,
01Z,11-20,0,4222,
01Z,11-20,0,4224,
01Z,11-20,0,4322,14.0
01Z,11-20,0,5120,23.0
01Z,11-20,0,5131,
01Z,11-20,0,5132,
01Z,11-20,0,5141,8.0
01Z,11-20,0,5143,
01Z,11-20,0,5149,
01Z,11-20,0,5151,
01Z,11-20,0,5152,9.0
01Z,11-20,0,5221,
01Z,11-20,0,5222,5.0
01Z,11-20,0,5223,
01Z,11-20,0,5225,
01Z,11-20,0,5230,
01Z,11-20,0,5311,8.0
01Z,11-20,0,5312,
01Z,11-20,0,5323,
01Z,11-20,0,5330,16.0
01Z,11-20,0,5343,11.0
01Z,11-20,0,5349,
01Z,11-20,0,6111,
01Z,11-20,0,6113,6.0
01Z,11-20,0,6121,
01Z,11-20,0,7111,10.0
01Z,11-20,0,7112,
01Z,11-20,0,7113,
01Z,11-20,0,7114,
01Z,11-20,0,7116,
01Z,11-20,0,7119,
01Z,11-20,0,7125,
01Z,11-20,0,7126,
01Z,11-20,0,7131,7.0
01Z,11-20,0,7213,
01Z,11-20,0,7214,
01Z,11-20,0,7223,7.0
01Z,11-20,0,7231,
01Z,11-20,0,7319,
01Z,11-20,0,7523,
01Z,11-20,0,7531,
01Z,11-20,0,7532,
01Z,11-20,0,7611,
01Z,11-20,0,7612,
01Z,11-20,0,8141,
01Z,11-20,0,8181,
01Z,11-20,0,8212,
01Z,11-20,0,8214,
01Z,11-20,0,8219,
01Z,11-20,0,8321,13.0
01Z,11-20,0,8329,
01Z,11-20,0,8331,
01Z,11-20,0,8332,
01Z,11-20,0,9111,38.0
01Z,11-20,0,9119,
01Z,11-20,0,9120,8.0
01Z,11-20,0,9210,
01Z,11-20,0,9320,
01Z,11-20,0,9332,
01Z,11-20,0,9411,17.0
01Z,11-20,0,9412,33.0
01Z,11-20,0,9413,
01Z,11-20,0,9622,
01Z,11-20,0,9629,6.0
01Z,11-20,1,1120,
01Z,11-20,1,1251,
01Z,11-20,1,1321,
01Z,11-20,1,1362,
01Z,11-20,1,1721,
01Z,11-20,1,1722,
01Z,11-20,1,2341,
01Z,11-20,1,2343,
01Z,11-20,1,2359,
01Z,11-20,1,2512,
01Z,11-20,1,3119,
01Z,11-20,1,3121,
01Z,11-20,1,3122,
01Z,11-20,1,3215,
01Z,11-20,1,3312,
01Z,11-20,1,3324,
01Z,11-20,1,3331,
01Z,11-20,1,3332,
01Z,11-20,1,3411,
01Z,11-20,1,3421,
01Z,11-20,1,3422,
01Z,11-20,1,3511,
01Z,11-20,1,3512,
01Z,11-20,1,3514,
01Z,11-20,1,4112,
01Z,11-20,1,4114,
01Z,11-20,1,4119,
01Z,11-20,1,4221,
01Z,11-20,1,4224,
01Z,11-20,1,4225,
01Z,11-20,1,4322,54.0
01Z,11-20,1,4323,
01Z,11-20,1,5111,
01Z,11-20,1,5120,15.0
01Z,11-20,1,5131,
01Z,11-20,1,5141,9.0
01Z,11-20,1,5143,8.0
01Z,11-20,1,5149,
01Z,11-20,1,5152,7.0
01Z,11-20,1,5221,
01Z,11-20,1,5222,9.0
01Z,11-20,1,5223,5.0
01Z,11-20,1,5225,
01Z,11-20,1,5227,
01Z,11-20,1,5241,
01Z,11-20,1,5311,12.0
01Z,11-20,1,5312,9.0
01Z,11-20,1,5321,7.0
01Z,11-20,1,5330,122.0
01Z,11-20,1,5341,
01Z,11-20,1,5342,12.0
01Z,11-20,1,5343,30.0
01Z,11-20,1,5349,12.0
01Z,11-20,1,5413,
01Z,11-20,1,5419,
01Z,11-20,1,6112,
01Z,11-20,1,6113,
01Z,11-20,1,6121,
01Z,11-20,1,6210,
01Z,11-20,1,7111,5.0
01Z,11-20,1,7112,
01Z,11-20,1,7113,
01Z,11-20,1,7114,
01Z,11-20,1,7119,6.0
01Z,11-20,1,7123,
01Z,11-20,1,7125,
01Z,11-20,1,7126,
01Z,11-20,1,7131,
01Z,11-20,1,7132,
01Z,11-20,1,7211,
01Z,11-20,1,7212,
01Z,11-20,1,7214,
01Z,11-20,1,7222,
01Z,11-20,1,7223,17.0
01Z,11-20,1,7224,
01Z,11-20,1,7231,
01Z,11-20,1,7233,
01Z,11-20,1,7411,
01Z,11-20,1,7522,
01Z,11-20,1,7523,
01Z,11-20,1,7532,
01Z,11-20,1,7534,
01Z,11-20,1,7611,6.0
01Z,11-20,1,8114,
01Z,11-20,1,8116,
01Z,11-20,1,8129,
01Z,11-20,1,8131,
01Z,11-20,1,8132,
01Z,11-20,1,8142,
01Z,11-20,1,8151,
01Z,11-20,1,8161,
01Z,11-20,1,8162,
01Z,11-20,1,8163,
01Z,11-20,1,8169,
01Z,11-20,1,8173,
01Z,11-20,1,8174,
01Z,11-20,1,8181,5.0
01Z,11-20,1,8189,
01Z,11-20,1,8191,
01Z,11-20,1,8192,
01Z,11-20,1,8199,
01Z,11-20,1,8211,
01Z,11-20,1,8212,
01Z,11-20,1,8213,6.0
01Z,11-20,1,8214,
01Z,11-20,1,8219,
01Z,11-20,1,8311,
01Z,11-20,1,8321,16.0
01Z,11-20,1,8329,9.0
01Z,11-20,1,8331,24.0
01Z,11-20,1,8332,7.0
01Z,11-20,1,8342,
01Z,11-20,1,8344,
01Z,11-20,1,9111,132.0
01Z,11-20,1,9119,
01Z,11-20,1,9120,5.0
01Z,11-20,1,9210,
01Z,11-20,1,9310,
01Z,11-20,1,9320,
01Z,11-20,1,9332,
01Z,11-20,1,9411,6.0
01Z,11-20,1,9412,55.0
01Z,11-20,1,9520,
01Z,11-20,1,9610,
01Z,11-20,1,9629,13.0
01Z,21+,0,1120,
01Z,21+,0,1222,
01Z,21+,0,1230,
01Z,21+,0,1291,
01Z,21+,0,1292,
01Z,21+,0,1321,
01Z,21+,0,1322,
01Z,21+,0,1362,
01Z,21+,0,1372,
01Z,21+,0,1722,20.0
01Z,21+,0,1732,
01Z,21+,0,2142,
01Z,21+,0,2149,
01Z,21+,0,2171,
01Z,21+,0,2341,
01Z,21+,0,2342,
01Z,21+,0,2343,6.0
01Z,21+,0,2419,
01Z,21+,0,2422,7.0
01Z,21+,0,2431,
01Z,21+,0,2512,
01Z,21+,0,2651,
01Z,21+,0,2669,
01Z,21+,0,3111,
01Z,21+,0,3113,
01Z,21+,0,3121,
01Z,21+,0,3122,
01Z,21+,0,3322,6.0
01Z,21+,0,3323,
01Z,21+,0,3343,
01Z,21+,0,3359,
01Z,21+,0,3422,
01Z,21+,0,3424,
01Z,21+,0,3439,
01Z,21+,0,3451,10.0
01Z,21+,0,3514,
01Z,21+,0,3522,
01Z,21+,0,4111,
01Z,21+,0,4113,
01Z,21+,0,4119,5.0
01Z,21+,0,4222,
01Z,21+,0,4225,
01Z,21+,0,4322,69.0
01Z,21+,0,4323,
01Z,21+,0,4410,
01Z,21+,0,4420,
01Z,21+,0,4430,
01Z,21+,0,5112,
01Z,21+,0,5120,112.0
01Z,21+,0,5131,20.0
01Z,21+,0,5141,13.0
01Z,21+,0,5143,26.0
01Z,21+,0,5149,
01Z,21+,0,5151,5.0
01Z,21+,0,5152,59.0
01Z,21+,0,5169,
01Z,21+,0,5221,
01Z,21+,0,5222,18.0
01Z,21+,0,5223,5.0
01Z,21+,0,5225,
01Z,21+,0,5230,5.0
01Z,21+,0,5241,
01Z,21+,0,5311,14.0
01Z,21+,0,5312,15.0
