grp,expband,fresh,ssyk4,n
01Z,0-2,0,5120,
01Z,0-2,0,7111,
01Z,0-2,1,2431,
01Z,0-2,1,3512,
01Z,0-2,1,4222,
01Z,0-2,1,4322,
01Z,0-2,1,5311,
01Z,0-2,1,5312,
01Z,0-2,1,5330,
01Z,0-2,1,5342,
01Z,0-2,1,7611,
01Z,0-2,1,9111,
01Z,0-2,1,9119,
01Z,0-2,1,9411,
01Z,11-20,0,1322,
01Z,11-20,0,1362,
01Z,11-20,0,1722,
01Z,11-20,0,2134,
01Z,11-20,0,2359,
01Z,11-20,0,2421,
01Z,11-20,0,2422,
01Z,11-20,0,2423,
01Z,11-20,0,3111,
01Z,11-20,0,3113,
01Z,11-20,0,3213,
01Z,11-20,0,3214,
01Z,11-20,0,3215,
01Z,11-20,0,3332,
01Z,11-20,0,3333,
01Z,11-20,0,3335,
01Z,11-20,0,3421,
01Z,11-20,0,3423,
01Z,11-20,0,3451,
01Z,11-20,0,4111,
01Z,11-20,0,4119,
01Z,11-20,0,4322,12.0
01Z,11-20,0,4420,
01Z,11-20,0,5112,
01Z,11-20,0,5120,23.0
01Z,11-20,0,5131,11.0
01Z,11-20,0,5141,8.0
01Z,11-20,0,5143,
01Z,11-20,0,5149,
01Z,11-20,0,5151,
01Z,11-20,0,5152,19.0
01Z,11-20,0,5222,6.0
01Z,11-20,0,5223,
01Z,11-20,0,5225,
01Z,11-20,0,5241,
01Z,11-20,0,5242,
01Z,11-20,0,5311,8.0
01Z,11-20,0,5312,
01Z,11-20,0,5321,
01Z,11-20,0,5330,17.0
01Z,11-20,0,5341,
01Z,11-20,0,5343,15.0
01Z,11-20,0,5349,
01Z,11-20,0,6111,
01Z,11-20,0,6112,
01Z,11-20,0,6113,9.0
01Z,11-20,0,6121,
01Z,11-20,0,6129,
01Z,11-20,0,6210,
01Z,11-20,0,7111,9.0
01Z,11-20,0,7112,
01Z,11-20,0,7113,
01Z,11-20,0,7114,
01Z,11-20,0,7116,
01Z,11-20,0,7119,7.0
01Z,11-20,0,7122,
01Z,11-20,0,7125,
01Z,11-20,0,7131,
01Z,11-20,0,7132,
01Z,11-20,0,7213,
01Z,11-20,0,7214,5.0
01Z,11-20,0,7223,5.0
01Z,11-20,0,7224,
01Z,11-20,0,7231,5.0
01Z,11-20,0,7411,
01Z,11-20,0,7420,
01Z,11-20,0,7523,
01Z,11-20,0,7531,
01Z,11-20,0,7532,
01Z,11-20,0,7611,
01Z,11-20,0,7612,
01Z,11-20,0,8142,
01Z,11-20,0,8151,
01Z,11-20,0,8161,
01Z,11-20,0,8163,
