age_group,stale_years,ssyk_status,n,year
31-34,6,3,30.0,2022
50+,8,4,200.0,2022
31-34,2,3,141.0,2022
35-40,8,2,41.0,2022
31-34,8,3,12.0,2022
50+,0,11,,2022
22-25,7,3,,2022
22-25,4,5,9356.0,2022
50+,4,5,25956.0,2022
50+,-1,1,32676.0,2022
22-25,1,5,11109.0,2022
35-40,6,1,2106.0,2022
22-25,0,2,6285.0,2022
26-30,-1,2,866.0,2022
50+,-1,4,1997.0,2022
22-25,0,15,881.0,2022
31-34,8,2,34.0,2022
41-49,3,3,240.0,2022
26-30,6,2,86.0,2022
26-30,5,2,131.0,2022
31-34,7,3,30.0,2022
35-40,0,1,464066.0,2022
22-25,2,2,1014.0,2022
41-49,0,13,6127.0,2022
50+,3,5,28465.0,2022
41-49,-1,1,18354.0,2022
50+,7,1,12089.0,2022
31-34,2,1,12939.0,2022
41-49,1,5,10448.0,2022
41-49,2,5,14405.0,2022
26-30,5,5,8122.0,2022
35-40,3,5,12838.0,2022
35-40,5,2,151.0,2022
50+,7,4,312.0,2022
31-34,2,4,1456.0,2022
35-40,0,4,1888.0,2022
35-40,7,1,1900.0,2022
31-34,6,1,1269.0,2022
41-49,6,4,207.0,2022
35-40,4,3,141.0,2022
22-25,5,2,98.0,2022
26-30,7,2,60.0,2022
35-40,7,4,98.0,2022
22-25,8,1,,2022
22-25,8,4,,2022
35-40,1,2,6946.0,2022
50+,6,5,15016.0,2022
50+,5,1,15271.0,2022
31-34,3,5,11651.0,2022
22-25,2,1,7758.0,2022
50+,0,15,13543.0,2022
22-25,-1,1,10735.0,2022
26-30,7,1,903.0,2022
31-34,0,3,1589.0,2022
41-49,7,2,146.0,2022
50+,-1,3,787.0,2022
26-30,3,3,129.0,2022
50+,2,3,436.0,2022
41-49,-1,3,597.0,2022
26-30,5,4,235.0,2022
35-40,2,3,154.0,2022
41-49,8,3,28.0,2022
41-49,1,3,504.0,2022
22-25,5,5,4867.0,2022
31-34,0,4,1712.0,2022
35-40,8,1,918.0,2022
26-30,7,5,3970.0,2022
31-34,8,5,1874.0,2022
35-40,2,4,1529.0,2022
35-40,4,1,14033.0,2022
50+,4,4,1236.0,2022
22-25,0,3,2151.0,2022
50+,1,3,703.0,2022
35-40,3,2,804.0,2022
31-34,4,3,84.0,2022
41-49,4,4,872.0,2022
41-49,6,3,85.0,2022
41-49,4,2,812.0,2022
35-40,7,3,34.0,2022
22-25,7,4,9.0,2022
26-30,8,3,13.0,2022
31-34,1,1,36023.0,2022
26-30,0,1,364088.0,2022
26-30,2,5,15862.0,2022
41-49,4,1,25405.0,2022
50+,1,2,14096.0,2022
41-49,0,2,8127.0,2022
35-40,3,1,16754.0,2022
26-30,6,5,5853.0,2022
35-40,0,15,2907.0,2022
41-49,5,5,8599.0,2022
50+,8,1,5639.0,2022
31-34,-1,2,586.0,2022
31-34,7,4,73.0,2022
31-34,2,2,888.0,2022
41-49,3,4,1068.0,2022
26-30,8,2,26.0,2022
26-30,1,3,420.0,2022
31-34,6,2,69.0,2022
31-34,5,2,102.0,2022
41-49,5,3,110.0,2022
26-30,2,3,158.0,2022
22-25,6,3,12.0,2022
26-30,1,5,12709.0,2022
50+,0,5,4714.0,2022
50+,0,14,35642.0,2022
31-34,5,5,6001.0,2022
50+,3,2,2118.0,2022
26-30,6,1,1039.0,2022
22-25,0,4,1649.0,2022
41-49,0,5,3040.0,2022
35-40,5,1,3415.0,2022
35-40,0,12,2414.0,2022
35-40,0,3,2221.0,2022
50+,7,3,270.0,2022
26-30,4,3,96.0,2022
22-25,6,4,36.0,2022
41-49,5,4,336.0,2022
35-40,-1,2,704.0,2022
26-30,7,4,90.0,2022
35-40,0,11,,2022
50+,3,1,57174.0,2022
41-49,6,1,4181.0,2022
26-30,3,5,15852.0,2022
35-40,2,5,12192.0,2022
41-49,1,1,52558.0,2022
41-49,2,1,23418.0,2022
41-49,1,4,9176.0,2022
35-40,4,5,10696.0,2022
31-34,0,12,1571.0,2022
31-34,1,5,8913.0,2022
41-49,2,4,1546.0,2022
35-40,8,5,2505.0,2022
31-34,0,5,2293.0,2022
50+,3,4,1546.0,2022
26-30,3,4,1064.0,2022
35-40,-1,4,1017.0,2022
22-25,7,2,,2022
35-40,8,4,62.0,2022
31-34,3,3,114.0,2022
22-25,5,3,25.0,2022
50+,0,1,1166355.0,2022
41-49,0,14,14422.0,2022
41-49,6,5,6615.0,2022
31-34,4,1,8903.0,2022
26-30,0,2,7846.0,2022
22-25,0,5,2484.0,2022
31-34,5,1,1956.0,2022
50+,0,4,2517.0,2022
31-34,0,2,6049.0,2022
22-25,0,13,660.0,2022
35-40,7,5,4064.0,2022
50+,-1,2,1688.0,2022
22-25,0,12,247.0,2022
35-40,2,2,1027.0,2022
31-34,0,15,1958.0,2022
35-40,6,2,97.0,2022
50+,8,2,222.0,2022
50+,4,3,667.0,2022
41-49,8,2,79.0,2022
31-34,-1,3,375.0,2022
31-34,7,2,66.0,2022
26-30,3,2,709.0,2022
35-40,6,4,141.0,2022
31-34,5,4,181.0,2022
26-30,7,3,22.0,2022
50+,1,4,9805.0,2022
50+,2,1,52925.0,2022
50+,1,1,118640.0,2022
31-34,6,5,4239.0,2022
22-25,3,1,5607.0,2022
31-34,-1,1,10299.0,2022
26-30,4,1,6835.0,2022
50+,2,4,2109.0,2022
22-25,3,4,784.0,2022
26-30,0,15,1809.0,2022
31-34,-1,4,912.0,2022
22-25,8,5,28.0,2022
41-49,2,3,231.0,2022
50+,3,3,401.0,2022
26-30,8,1,340.0,2022
35-40,3,3,128.0,2022
22-25,4,3,51.0,2022
31-34,6,4,120.0,2022
26-30,8,4,39.0,2022
41-49,0,1,690681.0,2022
41-49,3,5,15118.0,2022
31-34,7,5,3411.0,2022
41-49,7,1,3835.0,2022
22-25,1,1,23886.0,2022
50+,0,13,18634.0,2022
35-40,-1,1,13341.0,2022
35-40,0,13,3410.0,2022
26-30,1,2,8213.0,2022
26-30,2,2,1143.0,2022
22-25,1,4,7347.0,2022
22-25,4,1,2640.0,2022
41-49,0,4,2064.0,2022
41-49,5,2,217.0,2022
41-49,7,4,199.0,2022
22-25,-1,2,946.0,2022
26-30,5,3,50.0,2022
22-25,6,2,26.0,2022
22-25,2,4,1360.0,2023
50+,0,2,9533.0,2023
26-30,1,1,33832.0,2023
41-49,1,2,6979.0,2023
31-34,0,14,4449.0,2023
26-30,5,1,4040.0,2023
31-34,1,3,247.0,2023
35-40,-1,3,225.0,2023
26-30,0,3,2073.0,2023
22-25,-1,4,361.0,2023
31-34,4,4,321.0,2023
31-34,4,2,244.0,2023
22-25,3,3,51.0,2023
31-34,0,1,343711.0,2023
35-40,2,1,21772.0,2023
41-49,4,5,12094.0,2023
50+,4,1,28488.0,2023
26-30,3,1,6638.0,2023
31-34,2,5,13904.0,2023
22-25,4,4,304.0,2023
35-40,1,3,355.0,2023
31-34,3,4,546.0,2023
35-40,4,4,426.0,2023
31-34,3,2,374.0,2023
22-25,0,14,1170.0,2023
26-30,4,4,388.0,2023
41-49,3,2,540.0,2023
22-25,1,3,295.0,2023
22-25,5,4,113.0,2023
22-25,2,3,123.0,2023
31-34,3,1,7986.0,2023
41-49,3,1,17219.0,2023
35-40,0,2,5942.0,2023
22-25,1,2,6045.0,2023
35-40,5,5,8797.0,2023
31-34,1,4,5496.0,2023
50+,5,3,582.0,2023
31-34,4,5,8869.0,2023
41-49,0,15,4183.0,2023
22-25,5,1,975.0,2023
26-30,2,4,1465.0,2023
22-25,-1,3,124.0,2023
35-40,3,4,567.0,2023
26-30,-1,4,622.0,2023
26-30,4,2,248.0,2023
35-40,5,3,100.0,2023
22-25,0,1,211774.0,2023
50+,5,5,22959.0,2023
26-30,4,5,10718.0,2023
26-30,2,1,13599.0,2023
50+,0,3,5535.0,2023
26-30,-1,1,23254.0,2023
35-40,0,5,3955.0,2023
22-25,2,5,15362.0,2023
50+,0,12,3336.0,2023
26-30,1,4,7219.0,2023
41-49,5,1,19502.0,2023
41-49,0,12,2285.0,2023
41-49,0,3,3326.0,2023
41-49,-1,2,1208.0,2023
50+,2,2,2541.0,2023
41-49,2,2,1234.0,2023
35-40,5,4,386.0,2023
31-34,5,3,58.0,2023
35-40,1,1,40411.0,2023
50+,4,2,1101.0,2023
31-34,0,13,2719.0,2023
35-40,1,4,6300.0,2023
26-30,0,14,3039.0,2023
26-30,0,12,908.0,2023
41-49,4,3,152.0,2023
35-40,4,2,312.0,2023
41-49,-1,4,697.0,2023
22-25,4,2,268.0,2023
31-34,1,2,4894.0,2023
50+,2,5,27884.0,2023
26-30,0,13,1906.0,2023
50+,1,5,12741.0,2023
35-40,1,5,7980.0,2023
26-30,0,5,4494.0,2023
50+,5,4,885.0,2023
35-40,0,14,8488.0,2023
22-25,3,5,10755.0,2023
26-30,0,4,1871.0,2023
50+,5,2,1377.0,2023
22-25,3,2,487.0,2023
26-30,-1,3,178.0,2023
31-34,2,3,160.0,2023
50+,0,11,,2023
50+,4,5,24615.0,2023
50+,-1,1,56641.0,2023
22-25,1,5,10176.0,2023
22-25,4,5,8924.0,2023
50+,-1,4,929.0,2023
22-25,0,2,5840.0,2023
26-30,-1,2,1164.0,2023
22-25,0,15,845.0,2023
41-49,3,3,160.0,2023
26-30,5,2,197.0,2023
31-34,2,1,15641.0,2023
35-40,0,1,477053.0,2023
41-49,0,13,7076.0,2023
41-49,2,5,17338.0,2023
26-30,5,5,8355.0,2023
41-49,-1,1,37202.0,2023
50+,3,5,22950.0,2023
22-25,2,2,991.0,2023
41-49,1,5,8863.0,2023
35-40,3,5,10027.0,2023
31-34,2,4,1208.0,2023
35-40,5,2,329.0,2023
35-40,0,4,1775.0,2023
35-40,4,3,91.0,2023
22-25,5,2,102.0,2023
50+,5,1,47221.0,2023
35-40,1,2,5652.0,2023
50+,0,15,14213.0,2023
22-25,2,1,8955.0,2023
31-34,3,5,9331.0,2023
22-25,-1,1,13468.0,2023
31-34,0,3,1693.0,2023
35-40,2,3,201.0,2023
41-49,-1,3,344.0,2023
50+,-1,3,466.0,2023
50+,2,3,514.0,2023
26-30,5,4,274.0,2023
26-30,3,3,83.0,2023
22-25,5,5,4705.0,2023
22-25,0,3,1965.0,2023
35-40,2,4,1403.0,2023
35-40,4,1,6733.0,2023
41-49,4,4,558.0,2023
41-49,4,2,418.0,2023
31-34,0,4,1523.0,2023
50+,1,3,788.0,2023
35-40,3,2,461.0,2023
41-49,1,3,503.0,2023
50+,4,4,824.0,2023
31-34,4,3,47.0,2023
41-49,5,5,10875.0,2023
26-30,0,1,350204.0,2023
50+,1,2,12391.0,2023
31-34,1,1,33598.0,2023
35-40,3,1,11500.0,2023
26-30,2,5,17826.0,2023
41-49,0,2,6756.0,2023
35-40,0,15,2989.0,2023
41-49,4,1,11688.0,2023
31-34,2,2,886.0,2023
41-49,3,4,631.0,2023
41-49,5,3,216.0,2023
26-30,1,3,372.0,2023
26-30,2,3,163.0,2023
31-34,-1,2,861.0,2023
31-34,5,2,236.0,2023
50+,0,14,38315.0,2023
35-40,0,12,1797.0,2023
26-30,1,5,10151.0,2023
50+,0,5,7280.0,2023
35-40,0,3,2318.0,2023
22-25,0,4,1701.0,2023
31-34,5,5,7222.0,2023
41-49,5,4,495.0,2023
50+,3,2,1448.0,2023
35-40,5,1,10515.0,2023
35-40,-1,2,1084.0,2023
41-49,0,5,4448.0,2023
26-30,4,3,71.0,2023
41-49,1,1,47502.0,2023
50+,3,1,38715.0,2023
35-40,2,5,15507.0,2023
26-30,3,5,11374.0,2023
41-49,2,1,29650.0,2023
41-49,1,4,6912.0,2023
31-34,0,12,1179.0,2023
31-34,0,5,3342.0,2023
35-40,4,5,10465.0,2023
31-34,1,5,7425.0,2023
41-49,2,4,1451.0,2023
50+,3,4,1002.0,2023
26-30,3,4,553.0,2023
35-40,-1,4,598.0,2023
31-34,3,3,80.0,2023
22-25,5,3,18.0,2023
50+,0,1,1189877.0,2023
26-30,0,2,6324.0,2023
41-49,0,14,15625.0,2023
31-34,4,1,4218.0,2023
31-34,0,2,4899.0,2023
50+,-1,2,1727.0,2023
50+,0,4,2968.0,2023
26-30,3,2,426.0,2023
31-34,-1,3,143.0,2023
22-25,0,5,5289.0,2023
31-34,5,1,6078.0,2023
31-34,5,4,268.0,2023
50+,4,3,318.0,2023
22-25,0,13,673.0,2023
31-34,0,15,1944.0,2023
22-25,0,12,261.0,2023
35-40,2,2,1058.0,2023
50+,1,1,111745.0,2023
50+,2,1,57960.0,2023
31-34,-1,1,22463.0,2023
50+,1,4,8166.0,2023
50+,2,4,1868.0,2023
22-25,3,1,4124.0,2023
26-30,4,1,3355.0,2023
26-30,0,15,1682.0,2023
31-34,-1,4,563.0,2023
35-40,3,3,108.0,2023
50+,3,3,379.0,2023
22-25,3,4,525.0,2023
41-49,2,3,322.0,2023
22-25,4,3,37.0,2023
41-49,0,1,686762.0,2023
35-40,-1,1,28680.0,2023
50+,0,13,21182.0,2023
22-25,1,1,24817.0,2023
41-49,3,5,11623.0,2023
26-30,1,2,6307.0,2023
41-49,0,4,2022.0,2023
35-40,0,13,4308.0,2023
22-25,1,4,6393.0,2023
22-25,4,1,1911.0,2023
26-30,2,2,1009.0,2023
41-49,5,2,504.0,2023
22-25,-1,2,971.0,2023
26-30,5,3,66.0,2023
