age_group,stale_years,ssyk_status,n,year
50+,3,4,642.0,2019
31-34,0,5,3156.0,2019
41-49,2,4,1053.0,2019
31-34,0,12,756.0,2019
22-25,5,3,11.0,2019
35-40,-1,4,221.0,2019
31-34,3,3,42.0,2019
50+,0,1,1125384.0,2019
22-25,0,13,917.0,2019
41-49,0,14,13794.0,2019
31-34,4,1,4544.0,2019
35-40,2,2,731.0,2019
31-34,5,1,1844.0,2019
31-34,0,2,4083.0,2019
22-25,0,5,3615.0,2019
26-30,0,2,6362.0,2019
50+,0,4,1567.0,2019
31-34,0,15,2109.0,2019
31-34,5,4,116.0,2019
50+,4,3,349.0,2019
22-25,0,12,277.0,2019
26-30,3,2,381.0,2019
31-34,-1,3,60.0,2019
50+,-1,2,478.0,2019
50+,1,1,157660.0,2019
50+,1,4,7136.0,2019
22-25,3,1,4758.0,2019
50+,2,1,54633.0,2019
26-30,0,15,2343.0,2019
50+,2,4,1463.0,2019
26-30,4,1,5171.0,2019
22-25,3,4,614.0,2019
31-34,-1,1,10734.0,2019
50+,3,3,190.0,2019
35-40,3,3,64.0,2019
41-49,2,3,225.0,2019
31-34,-1,4,168.0,2019
22-25,4,3,58.0,2019
41-49,0,1,704035.0,2019
50+,0,13,22707.0,2019
35-40,0,13,4051.0,2019
22-25,1,4,6690.0,2019
35-40,-1,1,13814.0,2019
22-25,1,1,29975.0,2019
41-49,3,5,12307.0,2019
26-30,1,2,5939.0,2019
22-25,4,1,2248.0,2019
26-30,2,2,897.0,2019
41-49,0,4,1588.0,2019
22-25,-1,2,490.0,2019
41-49,5,2,165.0,2019
26-30,5,3,30.0,2019
26-30,1,1,51340.0,2020
50+,0,2,7825.0,2020
31-34,0,14,3791.0,2020
26-30,0,3,1926.0,2020
22-25,2,4,1376.0,2020
41-49,1,2,7159.0,2020
22-25,-1,4,455.0,2020
26-30,5,1,3313.0,2020
31-34,4,2,143.0,2020
31-34,1,3,232.0,2020
35-40,-1,3,237.0,2020
31-34,4,4,220.0,2020
22-25,3,3,72.0,2020
31-34,0,1,303783.0,2020
41-49,4,5,15488.0,2020
35-40,2,1,25506.0,2020
50+,4,1,26772.0,2020
31-34,2,5,18561.0,2020
26-30,3,1,6455.0,2020
50+,6,2,410.0,2020
35-40,1,3,298.0,2020
22-25,1,3,291.0,2020
22-25,0,14,1035.0,2020
31-34,3,2,270.0,2020
31-34,3,4,424.0,2020
35-40,4,4,285.0,2020
22-25,4,4,259.0,2020
22-25,5,4,91.0,2020
41-49,3,2,475.0,2020
26-30,4,4,378.0,2020
26-30,6,3,26.0,2020
22-25,1,2,6223.0,2020
35-40,0,2,4781.0,2020
35-40,5,5,9808.0,2020
26-30,4,2,226.0,2020
41-49,0,15,4012.0,2020
41-49,3,1,13882.0,2020
31-34,4,5,10166.0,2020
31-34,1,4,5400.0,2020
31-34,3,1,5642.0,2020
26-30,2,4,1602.0,2020
22-25,5,1,938.0,2020
22-25,6,5,1586.0,2020
26-30,-1,4,785.0,2020
50+,5,3,470.0,2020
22-25,-1,3,137.0,2020
35-40,3,4,484.0,2020
35-40,5,3,82.0,2020
22-25,2,3,138.0,2020
26-30,6,4,103.0,2020
35-40,6,3,22.0,2020
50+,5,5,65197.0,2020
22-25,0,1,191487.0,2020
41-49,2,2,1431.0,2020
26-30,2,1,19659.0,2020
26-30,1,4,8403.0,2020
26-30,4,5,15692.0,2020
22-25,2,5,25050.0,2020
41-49,5,1,10760.0,2020
50+,2,2,3057.0,2020
26-30,-1,1,24931.0,2020
50+,0,3,4443.0,2020
35-40,6,5,6090.0,2020
41-49,0,3,2767.0,2020
35-40,0,5,3044.0,2020
41-49,0,12,2301.0,2020
41-49,-1,2,1198.0,2020
50+,0,12,4027.0,2020
35-40,5,4,201.0,2020
31-34,5,3,38.0,2020
22-25,6,1,164.0,2020
41-49,6,2,106.0,2020
41-49,0,11,,2020
35-40,1,1,51185.0,2020
26-30,0,14,3183.0,2020
35-40,1,4,6073.0,2020
31-34,0,13,2138.0,2020
35-40,4,2,243.0,2020
26-30,0,12,1036.0,2020
50+,4,2,1048.0,2020
41-49,-1,4,771.0,2020
50+,6,3,117.0,2020
22-25,4,2,220.0,2020
41-49,4,3,136.0,2020
50+,2,5,80270.0,2020
50+,1,5,29608.0,2020
22-25,3,5,19084.0,2020
50+,6,1,11797.0,2020
35-40,1,5,12667.0,2020
31-34,1,2,4719.0,2020
35-40,0,14,7678.0,2020
26-30,0,13,2032.0,2020
50+,5,2,784.0,2020
50+,5,4,443.0,2020
26-30,0,4,1473.0,2020
26-30,0,5,3365.0,2020
22-25,3,2,468.0,2020
31-34,2,3,159.0,2020
