grp,expband,fresh,ssyk4,n
01Z,0-2,0,5131,
01Z,0-2,0,5330,
01Z,0-2,0,5343,
01Z,0-2,0,9411,
01Z,0-2,0,9412,
01Z,0-2,1,5120,
01Z,0-2,1,5222,
01Z,0-2,1,5225,
01Z,0-2,1,5230,
01Z,0-2,1,5312,
01Z,0-2,1,5330,8.0
01Z,0-2,1,5349,
01Z,0-2,1,8169,
01Z,0-2,1,8213,
01Z,0-2,1,9111,
01Z,0-2,1,9412,
01Z,11-20,0,1722,5.0
01Z,11-20,0,2134,
01Z,11-20,0,2341,
01Z,11-20,0,2342,
01Z,11-20,0,2343,
01Z,11-20,0,2359,
01Z,11-20,0,2421,
01Z,11-20,0,2669,
01Z,11-20,0,3214,
01Z,11-20,0,3311,
01Z,11-20,0,3313,
01Z,11-20,0,3322,
01Z,11-20,0,3324,
01Z,11-20,0,3333,
01Z,11-20,0,3335,
01Z,11-20,0,3421,
01Z,11-20,0,3423,
01Z,11-20,0,3449,
01Z,11-20,0,3451,
01Z,11-20,0,3522,
01Z,11-20,0,4111,
01Z,11-20,0,4114,
01Z,11-20,0,4119,
01Z,11-20,0,4222,
01Z,11-20,0,4224,
01Z,11-20,0,4322,29.0
01Z,11-20,0,4323,
01Z,11-20,0,4410,
01Z,11-20,0,4420,
01Z,11-20,0,5120,36.0
01Z,11-20,0,5131,10.0
01Z,11-20,0,5132,
01Z,11-20,0,5141,
01Z,11-20,0,5143,
01Z,11-20,0,5149,
01Z,11-20,0,5151,
01Z,11-20,0,5152,21.0
01Z,11-20,0,5221,
01Z,11-20,0,5222,19.0
01Z,11-20,0,5223,
01Z,11-20,0,5225,
01Z,11-20,0,5230,
01Z,11-20,0,5242,
01Z,11-20,0,5311,20.0
01Z,11-20,0,5312,14.0
01Z,11-20,0,5321,
01Z,11-20,0,5330,17.0
01Z,11-20,0,5341,
01Z,11-20,0,5342,
01Z,11-20,0,5343,22.0
01Z,11-20,0,5349,
01Z,11-20,0,6111,
01Z,11-20,0,6112,
01Z,11-20,0,6113,7.0
01Z,11-20,0,6121,
01Z,11-20,0,6129,
01Z,11-20,0,6210,
01Z,11-20,0,7111,11.0
01Z,11-20,0,7112,
01Z,11-20,0,7113,
01Z,11-20,0,7114,5.0
01Z,11-20,0,7116,
01Z,11-20,0,7119,7.0
01Z,11-20,0,7122,
01Z,11-20,0,7123,
01Z,11-20,0,7131,7.0
01Z,11-20,0,7132,
01Z,11-20,0,7134,
01Z,11-20,0,7212,
01Z,11-20,0,7213,
01Z,11-20,0,7214,
01Z,11-20,0,7222,
01Z,11-20,0,7223,5.0
01Z,11-20,0,7231,5.0
01Z,11-20,0,7233,
01Z,11-20,0,7411,
01Z,11-20,0,7523,
01Z,11-20,0,7531,
01Z,11-20,0,7611,
01Z,11-20,0,7612,
01Z,11-20,0,8114,
01Z,11-20,0,8116,
01Z,11-20,0,8131,
01Z,11-20,0,8141,
01Z,11-20,0,8143,
01Z,11-20,0,8151,5.0
01Z,11-20,0,8159,
01Z,11-20,0,8161,
01Z,11-20,0,8163,
01Z,11-20,0,8169,
01Z,11-20,0,8181,
01Z,11-20,0,8191,5.0
01Z,11-20,0,8192,
01Z,11-20,0,8212,
01Z,11-20,0,8213,
01Z,11-20,0,8219,
01Z,11-20,0,8312,
01Z,11-20,0,8321,6.0
01Z,11-20,0,8329,8.0
01Z,11-20,0,8331,6.0
01Z,11-20,0,8332,
01Z,11-20,0,8342,
01Z,11-20,0,8344,
01Z,11-20,0,9111,97.0
01Z,11-20,0,9119,5.0
01Z,11-20,0,9120,12.0
01Z,11-20,0,9210,
01Z,11-20,0,9310,
01Z,11-20,0,9320,5.0
01Z,11-20,0,9332,
01Z,11-20,0,9411,49.0
01Z,11-20,0,9412,87.0
01Z,11-20,0,9413,
01Z,11-20,0,9610,7.0
01Z,11-20,0,9621,
01Z,11-20,0,9629,7.0
01Z,11-20,1,1120,
01Z,11-20,1,1251,
01Z,11-20,1,1321,
01Z,11-20,1,1322,
01Z,11-20,1,1722,
01Z,11-20,1,2111,
01Z,11-20,1,2143,
01Z,11-20,1,2145,
01Z,11-20,1,2171,
01Z,11-20,1,2330,
01Z,11-20,1,2341,
01Z,11-20,1,2342,
01Z,11-20,1,2343,
01Z,11-20,1,2359,5.0
01Z,11-20,1,2422,
01Z,11-20,1,2423,
01Z,11-20,1,2669,
01Z,11-20,1,3111,
01Z,11-20,1,3113,
01Z,11-20,1,3114,
01Z,11-20,1,3115,
01Z,11-20,1,3119,
01Z,11-20,1,3121,
01Z,11-20,1,3215,
01Z,11-20,1,3322,
01Z,11-20,1,3411,
01Z,11-20,1,3421,
01Z,11-20,1,3449,
01Z,11-20,1,3511,
01Z,11-20,1,3514,
01Z,11-20,1,4111,
01Z,11-20,1,4112,
01Z,11-20,1,4211,
01Z,11-20,1,4224,
01Z,11-20,1,4321,
01Z,11-20,1,4322,46.0
01Z,11-20,1,4323,
01Z,11-20,1,4420,5.0
01Z,11-20,1,5120,14.0
01Z,11-20,1,5131,
01Z,11-20,1,5141,12.0
01Z,11-20,1,5143,
01Z,11-20,1,5149,
01Z,11-20,1,5151,
01Z,11-20,1,5152,27.0
01Z,11-20,1,5221,
01Z,11-20,1,5222,17.0
01Z,11-20,1,5223,5.0
01Z,11-20,1,5225,
01Z,11-20,1,5227,
01Z,11-20,1,5230,
01Z,11-20,1,5311,26.0
01Z,11-20,1,5312,6.0
01Z,11-20,1,5321,6.0
01Z,11-20,1,5330,71.0
01Z,11-20,1,5341,
01Z,11-20,1,5342,7.0
01Z,11-20,1,5343,28.0
01Z,11-20,1,5349,8.0
01Z,11-20,1,5413,
01Z,11-20,1,5419,
01Z,11-20,1,6112,
01Z,11-20,1,6113,6.0
01Z,11-20,1,6121,
01Z,11-20,1,6210,
01Z,11-20,1,7111,8.0
01Z,11-20,1,7112,
01Z,11-20,1,7113,7.0
01Z,11-20,1,7114,
01Z,11-20,1,7116,
01Z,11-20,1,7119,
01Z,11-20,1,7121,
01Z,11-20,1,7125,
01Z,11-20,1,7126,
01Z,11-20,1,7131,
01Z,11-20,1,7132,
01Z,11-20,1,7134,
01Z,11-20,1,7214,
01Z,11-20,1,7223,6.0
01Z,11-20,1,7224,
01Z,11-20,1,7231,8.0
01Z,11-20,1,7233,7.0
01Z,11-20,1,7311,
01Z,11-20,1,7323,
01Z,11-20,1,7411,
01Z,11-20,1,7522,
01Z,11-20,1,7523,
01Z,11-20,1,7531,
01Z,11-20,1,7532,
01Z,11-20,1,7611,
01Z,11-20,1,7612,
01Z,11-20,1,7619,
01Z,11-20,1,8114,
01Z,11-20,1,8129,
01Z,11-20,1,8141,
01Z,11-20,1,8142,5.0
01Z,11-20,1,8143,
01Z,11-20,1,8151,
01Z,11-20,1,8159,
01Z,11-20,1,8161,6.0
01Z,11-20,1,8163,
01Z,11-20,1,8169,
01Z,11-20,1,8173,
01Z,11-20,1,8174,
01Z,11-20,1,8181,
01Z,11-20,1,8189,
01Z,11-20,1,8191,
01Z,11-20,1,8192,
01Z,11-20,1,8213,
01Z,11-20,1,8219,
01Z,11-20,1,8321,15.0
01Z,11-20,1,8329,
01Z,11-20,1,8331,33.0
01Z,11-20,1,8332,5.0
01Z,11-20,1,8342,
01Z,11-20,1,8344,
01Z,11-20,1,9111,120.0
01Z,11-20,1,9119,5.0
01Z,11-20,1,9120,16.0
01Z,11-20,1,9210,5.0
01Z,11-20,1,9310,
01Z,11-20,1,9320,6.0
01Z,11-20,1,9332,5.0
01Z,11-20,1,9411,11.0
01Z,11-20,1,9412,51.0
01Z,11-20,1,9413,
01Z,11-20,1,9520,
01Z,11-20,1,9610,6.0
01Z,11-20,1,9621,
01Z,11-20,1,9629,17.0
01Z,21+,0,1120,
01Z,21+,0,1212,
01Z,21+,0,1221,
01Z,21+,0,1222,
01Z,21+,0,1251,
01Z,21+,0,1252,
01Z,21+,0,1292,
01Z,21+,0,1321,
01Z,21+,0,1322,
01Z,21+,0,1331,
01Z,21+,0,1352,
01Z,21+,0,1362,
01Z,21+,0,1372,
01Z,21+,0,1722,24.0
01Z,21+,0,1732,
01Z,21+,0,2172,
01Z,21+,0,2341,
01Z,21+,0,2343,
01Z,21+,0,2359,
01Z,21+,0,2422,
01Z,21+,0,2423,
01Z,21+,0,2431,
01Z,21+,0,2432,
01Z,21+,0,2512,
01Z,21+,0,2513,
01Z,21+,0,2651,
01Z,21+,0,2669,
01Z,21+,0,3114,
01Z,21+,0,3121,
01Z,21+,0,3122,
01Z,21+,0,3153,
01Z,21+,0,3240,
01Z,21+,0,3313,
01Z,21+,0,3314,
01Z,21+,0,3322,5.0
01Z,21+,0,3323,
01Z,21+,0,3333,
01Z,21+,0,3335,
01Z,21+,0,3343,
01Z,21+,0,3359,
01Z,21+,0,3411,
01Z,21+,0,3421,
01Z,21+,0,3422,
01Z,21+,0,3423,8.0
01Z,21+,0,3439,
01Z,21+,0,3449,
01Z,21+,0,3451,6.0
01Z,21+,0,3452,
01Z,21+,0,3522,
01Z,21+,0,4111,
01Z,21+,0,4119,10.0
01Z,21+,0,4222,
01Z,21+,0,4224,
01Z,21+,0,4225,
01Z,21+,0,4321,
01Z,21+,0,4322,72.0
01Z,21+,0,4410,
01Z,21+,0,4420,
01Z,21+,0,4430,
01Z,21+,0,5120,160.0
01Z,21+,0,5131,34.0
01Z,21+,0,5132,
01Z,21+,0,5141,12.0
01Z,21+,0,5143,26.0
01Z,21+,0,5149,5.0
01Z,21+,0,5151,
01Z,21+,0,5152,85.0
01Z,21+,0,5169,5.0
01Z,21+,0,5221,6.0
01Z,21+,0,5222,18.0
01Z,21+,0,5223,17.0
01Z,21+,0,5230,16.0
01Z,21+,0,5241,
01Z,21+,0,5311,34.0
01Z,21+,0,5312,27.0
01Z,21+,0,5321,11.0
01Z,21+,0,5330,62.0
01Z,21+,0,5341,
01Z,21+,0,5342,7.0
01Z,21+,0,5343,128.0
01Z,21+,0,5349,22.0
01Z,21+,0,5413,
01Z,21+,0,6111,
01Z,21+,0,6112,7.0
01Z,21+,0,6113,30.0
01Z,21+,0,6121,6.0
01Z,21+,0,6130,
01Z,21+,0,6210,7.0
01Z,21+,0,7111,23.0
01Z,21+,0,7112,23.0
01Z,21+,0,7113,5.0
01Z,21+,0,7114,16.0
01Z,21+,0,7116,
01Z,21+,0,7119,26.0
01Z,21+,0,7121,6.0
01Z,21+,0,7122,
01Z,21+,0,7123,
01Z,21+,0,7124,
01Z,21+,0,7125,
01Z,21+,0,7131,19.0
01Z,21+,0,7132,11.0
01Z,21+,0,7134,
01Z,21+,0,7212,5.0
01Z,21+,0,7213,
01Z,21+,0,7214,6.0
01Z,21+,0,7221,
01Z,21+,0,7223,27.0
01Z,21+,0,7231,31.0
01Z,21+,0,7233,
01Z,21+,0,7311,
01Z,21+,0,7322,
01Z,21+,0,7323,
01Z,21+,0,7411,
01Z,21+,0,7412,
01Z,21+,0,7420,
01Z,21+,0,7522,7.0
01Z,21+,0,7523,10.0
01Z,21+,0,7531,12.0
01Z,21+,0,7532,
01Z,21+,0,7533,
01Z,21+,0,7534,
