grp,expband,fresh,ssyk4,n
01Z,0-2,0,9111,
01Z,0-2,1,2343,
01Z,0-2,1,4322,
01Z,0-2,1,5131,
01Z,0-2,1,5225,
01Z,0-2,1,5330,11.0
01Z,0-2,1,5342,
01Z,0-2,1,5343,
01Z,0-2,1,8169,
01Z,0-2,1,8213,
01Z,0-2,1,9411,
01Z,0-2,1,9412,
01Z,11-20,0,1722,
01Z,11-20,0,2341,
01Z,11-20,0,2342,
01Z,11-20,0,2343,
01Z,11-20,0,2351,
01Z,11-20,0,2359,
01Z,11-20,0,2413,
01Z,11-20,0,3211,
01Z,11-20,0,3214,
01Z,11-20,0,3215,
01Z,11-20,0,3311,
01Z,11-20,0,3312,
01Z,11-20,0,3313,
01Z,11-20,0,3322,
01Z,11-20,0,3324,
01Z,11-20,0,3333,
01Z,11-20,0,3411,
01Z,11-20,0,3421,
01Z,11-20,0,3423,
01Z,11-20,0,3449,
01Z,11-20,0,3451,
01Z,11-20,0,4111,
01Z,11-20,0,4119,
01Z,11-20,0,4222,
01Z,11-20,0,4224,
01Z,11-20,0,4322,25.0
01Z,11-20,0,4323,
01Z,11-20,0,4410,
01Z,11-20,0,4420,
01Z,11-20,0,5120,27.0
01Z,11-20,0,5131,11.0
01Z,11-20,0,5132,
01Z,11-20,0,5141,5.0
01Z,11-20,0,5149,
01Z,11-20,0,5151,
01Z,11-20,0,5152,17.0
01Z,11-20,0,5221,
01Z,11-20,0,5222,14.0
01Z,11-20,0,5223,
01Z,11-20,0,5230,
01Z,11-20,0,5311,10.0
01Z,11-20,0,5312,15.0
01Z,11-20,0,5321,
01Z,11-20,0,5330,15.0
01Z,11-20,0,5341,
01Z,11-20,0,5342,6.0
01Z,11-20,0,5343,20.0
01Z,11-20,0,5349,
01Z,11-20,0,6112,
01Z,11-20,0,6113,7.0
01Z,11-20,0,6121,
01Z,11-20,0,6129,
01Z,11-20,0,6210,
01Z,11-20,0,7111,5.0
01Z,11-20,0,7112,
01Z,11-20,0,7113,
01Z,11-20,0,7114,
01Z,11-20,0,7116,
01Z,11-20,0,7119,10.0
01Z,11-20,0,7122,
01Z,11-20,0,7123,
01Z,11-20,0,7125,
01Z,11-20,0,7131,
01Z,11-20,0,7132,
01Z,11-20,0,7134,
01Z,11-20,0,7213,
01Z,11-20,0,7214,
01Z,11-20,0,7223,
01Z,11-20,0,7231,8.0
01Z,11-20,0,7322,
01Z,11-20,0,7411,
01Z,11-20,0,7522,
01Z,11-20,0,7523,
01Z,11-20,0,7531,
01Z,11-20,0,7611,
01Z,11-20,0,7612,
01Z,11-20,0,8114,
01Z,11-20,0,8151,6.0
01Z,11-20,0,8159,
01Z,11-20,0,8161,5.0
01Z,11-20,0,8163,
01Z,11-20,0,8169,
01Z,11-20,0,8181,
01Z,11-20,0,8191,8.0
01Z,11-20,0,8193,
01Z,11-20,0,8211,
01Z,11-20,0,8213,
01Z,11-20,0,8219,
01Z,11-20,0,8312,
01Z,11-20,0,8321,8.0
01Z,11-20,0,8329,5.0
01Z,11-20,0,8331,7.0
01Z,11-20,0,8332,
01Z,11-20,0,8344,
01Z,11-20,0,9111,76.0
01Z,11-20,0,9119,
01Z,11-20,0,9120,14.0
01Z,11-20,0,9210,
01Z,11-20,0,9310,
01Z,11-20,0,9320,
01Z,11-20,0,9411,24.0
01Z,11-20,0,9412,80.0
01Z,11-20,0,9413,
01Z,11-20,0,9520,
01Z,11-20,0,9610,5.0
01Z,11-20,0,9621,
01Z,11-20,0,9629,8.0
01Z,11-20,1,1120,
01Z,11-20,1,1251,
01Z,11-20,1,1291,
01Z,11-20,1,1321,
01Z,11-20,1,2111,
01Z,11-20,1,2143,
01Z,11-20,1,2144,
01Z,11-20,1,2145,
01Z,11-20,1,2171,
01Z,11-20,1,2341,
01Z,11-20,1,2342,
01Z,11-20,1,2343,
01Z,11-20,1,2359,9.0
01Z,11-20,1,2422,
01Z,11-20,1,2669,
01Z,11-20,1,3113,
01Z,11-20,1,3119,
01Z,11-20,1,3121,
01Z,11-20,1,3322,
01Z,11-20,1,3411,
01Z,11-20,1,3421,
01Z,11-20,1,3423,
01Z,11-20,1,3451,
01Z,11-20,1,3514,
01Z,11-20,1,4111,
01Z,11-20,1,4114,
01Z,11-20,1,4321,
01Z,11-20,1,4322,45.0
01Z,11-20,1,4323,
01Z,11-20,1,4420,5.0
01Z,11-20,1,5112,
01Z,11-20,1,5120,21.0
01Z,11-20,1,5131,8.0
01Z,11-20,1,5132,
01Z,11-20,1,5141,11.0
01Z,11-20,1,5143,6.0
01Z,11-20,1,5149,
01Z,11-20,1,5151,
01Z,11-20,1,5152,24.0
01Z,11-20,1,5169,
01Z,11-20,1,5221,
01Z,11-20,1,5222,22.0
01Z,11-20,1,5223,
01Z,11-20,1,5225,
01Z,11-20,1,5227,
01Z,11-20,1,5311,38.0
01Z,11-20,1,5312,7.0
01Z,11-20,1,5321,6.0
01Z,11-20,1,5330,66.0
01Z,11-20,1,5341,
01Z,11-20,1,5342,7.0
01Z,11-20,1,5343,34.0
01Z,11-20,1,5349,7.0
01Z,11-20,1,5419,
01Z,11-20,1,6113,
01Z,11-20,1,6121,
01Z,11-20,1,6130,
01Z,11-20,1,6210,
01Z,11-20,1,7111,6.0
01Z,11-20,1,7112,
01Z,11-20,1,7113,5.0
01Z,11-20,1,7114,
01Z,11-20,1,7116,
01Z,11-20,1,7119,
01Z,11-20,1,7121,
01Z,11-20,1,7122,
01Z,11-20,1,7125,
01Z,11-20,1,7126,
01Z,11-20,1,7131,
01Z,11-20,1,7132,
01Z,11-20,1,7134,
01Z,11-20,1,7212,
01Z,11-20,1,7214,
01Z,11-20,1,7221,
01Z,11-20,1,7222,
01Z,11-20,1,7223,12.0
01Z,11-20,1,7224,
01Z,11-20,1,7231,9.0
01Z,11-20,1,7233,6.0
01Z,11-20,1,7311,
01Z,11-20,1,7312,
01Z,11-20,1,7323,
01Z,11-20,1,7411,
01Z,11-20,1,7523,6.0
01Z,11-20,1,7611,
01Z,11-20,1,7619,
01Z,11-20,1,8114,
01Z,11-20,1,8131,
01Z,11-20,1,8141,
01Z,11-20,1,8142,
01Z,11-20,1,8143,
01Z,11-20,1,8151,
01Z,11-20,1,8161,6.0
01Z,11-20,1,8162,
01Z,11-20,1,8163,
01Z,11-20,1,8169,
01Z,11-20,1,8181,
01Z,11-20,1,8189,
01Z,11-20,1,8191,
01Z,11-20,1,8192,
01Z,11-20,1,8212,
01Z,11-20,1,8213,
01Z,11-20,1,8219,
01Z,11-20,1,8321,11.0
01Z,11-20,1,8329,
01Z,11-20,1,8331,30.0
01Z,11-20,1,8332,7.0
01Z,11-20,1,8342,
01Z,11-20,1,8344,
01Z,11-20,1,9111,140.0
01Z,11-20,1,9119,6.0
01Z,11-20,1,9120,8.0
01Z,11-20,1,9210,
01Z,11-20,1,9310,
01Z,11-20,1,9320,6.0
01Z,11-20,1,9332,
01Z,11-20,1,9411,20.0
01Z,11-20,1,9412,68.0
01Z,11-20,1,9413,
01Z,11-20,1,9520,
01Z,11-20,1,9610,6.0
01Z,11-20,1,9621,
01Z,11-20,1,9622,
01Z,11-20,1,9629,13.0
01Z,21+,0,1120,
01Z,21+,0,1212,
01Z,21+,0,1221,
01Z,21+,0,1222,
01Z,21+,0,1292,
01Z,21+,0,1321,
01Z,21+,0,1352,
01Z,21+,0,1362,
01Z,21+,0,1372,
01Z,21+,0,1722,14.0
01Z,21+,0,1732,
01Z,21+,0,2172,
01Z,21+,0,2341,
01Z,21+,0,2342,
01Z,21+,0,2343,
01Z,21+,0,2359,
01Z,21+,0,2422,
01Z,21+,0,2423,
01Z,21+,0,2432,
01Z,21+,0,2512,
01Z,21+,0,2651,
01Z,21+,0,3114,
01Z,21+,0,3122,
01Z,21+,0,3313,
01Z,21+,0,3322,
01Z,21+,0,3333,
01Z,21+,0,3343,
01Z,21+,0,3422,
01Z,21+,0,3423,
01Z,21+,0,3439,
01Z,21+,0,3449,
01Z,21+,0,3451,5.0
01Z,21+,0,3452,
01Z,21+,0,3514,
01Z,21+,0,3522,
01Z,21+,0,4111,
01Z,21+,0,4119,12.0
