"term","rb_x_high_x_young","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_young_x_female"
"rb_x_high_x_young",0.00119393341316616,0.000209361146725081,4.17229823780303e-06,-0.000214627651903748,0.000148552777292149,6.67502906655495e-05,-8.60026071978128e-05,3.22182007518385e-05,-5.79024656801819e-05,3.6244826584301e-06
"post_x_high_x_young",0.000209361146725081,0.00221246265722769,2.06026639503834e-05,-0.0015896291302937,-0.000318030443395687,0.000164880475187666,-0.0002191486646214,3.57225602767004e-05,-0.000197638692234108,2.57638029467405e-05
"post_x_high_x_female",4.17229823780303e-06,2.06026639503834e-05,0.000190370871734882,-0.000167861179688372,1.6391223297931e-05,2.39008328647066e-05,9.08186303910954e-06,2.00383130138367e-05,1.96357641771437e-05,9.63880965589348e-06
"post_x_high_x_young_x_female",-0.000214627651903748,-0.0015896291302937,-0.000167861179688372,0.00445289045822217,5.46852969185467e-05,-0.000551621965770628,-2.72909146925147e-05,-0.000333020619272131,2.30704100369379e-05,-0.000157438021970396
"q1_x_high_x_young",0.000148552777292149,-0.000318030443395687,1.6391223297931e-05,5.46852969185467e-05,0.000453562573259633,-2.96062087366579e-05,0.000258304669176973,-4.2302500543584e-06,0.000119781481162059,-4.33750570188594e-05
"q1_x_high_x_young_x_female",6.67502906655495e-05,0.000164880475187666,2.39008328647066e-05,-0.000551621965770628,-2.96062087366579e-05,0.000790038371342895,-4.19655359309662e-05,0.000565089447169688,-5.86214313249992e-05,0.000257434084280404
"q2_x_high_x_young",-8.60026071978128e-05,-0.0002191486646214,9.08186303910954e-06,-2.72909146925147e-05,0.000258304669176973,-4.19655359309662e-05,0.000325552158030026,-7.7789567933951e-05,0.000194978777923122,-4.9304138041018e-05
"q2_x_high_x_young_x_female",3.22182007518385e-05,3.57225602767004e-05,2.00383130138367e-05,-0.000333020619272131,-4.2302500543584e-06,0.000565089447169688,-7.7789567933951e-05,0.000638635272954139,-4.97065103204113e-05,0.000314950994446186
"q3_x_high_x_young",-5.79024656801819e-05,-0.000197638692234108,1.96357641771437e-05,2.30704100369379e-05,0.000119781481162059,-5.86214313249992e-05,0.000194978777923122,-4.97065103204113e-05,0.000382571971888623,-0.000106200261021655
"q3_x_high_x_young_x_female",3.6244826584301e-06,2.57638029467405e-05,9.63880965589348e-06,-0.000157438021970396,-4.33750570188594e-05,0.000257434084280404,-4.9304138041018e-05,0.000314950994446186,-0.000106200261021655,0.000499960250390496
