"term","rbw_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young"
"rbw_x_high_x_young",1.87516484444656e-05,1.91063782787561e-06,-2.85384912291351e-06,-5.29851149644949e-07,2.41634320469084e-05,3.00511715168519e-05
"q1_x_high_x_young",1.91063782787561e-06,1.23193498094055e-05,6.05039960668286e-06,2.0289851993666e-06,4.66799735870747e-06,7.57014947039904e-06
"q2_x_high_x_young",-2.85384912291351e-06,6.05039960668286e-06,8.13382582971512e-06,3.5664936083922e-06,-1.61333089027258e-06,1.22932801711484e-06
"q3_x_high_x_young",-5.29851149644949e-07,2.0289851993666e-06,3.5664936083922e-06,6.9270048787432e-06,9.72189351402672e-07,3.89641101131097e-07
"interim_x_high_x_young",2.41634320469084e-05,4.66799735870747e-06,-1.61333089027258e-06,9.72189351402672e-07,6.09104668530243e-05,8.13318770915998e-05
"post_x_high_x_young",3.00511715168519e-05,7.57014947039904e-06,1.22932801711484e-06,3.89641101131097e-07,8.13318770915998e-05,0.000145596773955631
