"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young","rb_x_highlev_x_young","q1_x_highlev_x_young","q2_x_highlev_x_young","q3_x_highlev_x_young","interim_x_highlev_x_young","post_x_highlev_x_young","rb_x_highhlev_x_young","q1_x_highhlev_x_young","q2_x_highhlev_x_young","q3_x_highhlev_x_young","interim_x_highhlev_x_young","post_x_highhlev_x_young"
"rb_x_high_x_young",0.000116266647225599,-3.32687504120556e-05,-4.29294753963158e-05,-1.57100293686802e-05,1.34015748345732e-05,1.97197859825771e-05,1.63127097298265e-05,1.49258028022418e-06,-1.37632973202641e-06,2.44520314523069e-06,7.89269598546033e-07,9.61182230410763e-07,-0.000116111688758296,3.34022935596966e-05,4.27990418755064e-05,1.53992532690509e-05,-1.32705360720567e-05,-1.95176051866474e-05
"q1_x_high_x_young",-3.32687504120556e-05,0.000172820441163164,0.000141711730840938,-4.92088928695026e-06,3.12063818274785e-06,-2.47798840472239e-05,1.77714936556249e-06,1.78367696000568e-05,8.90140629724409e-06,8.9247424502081e-06,5.17554241093486e-06,3.83911525072816e-06,3.32842987479119e-05,-0.000172435667779291,-0.000141629907509466,4.28934435277424e-06,-2.1937094432985e-06,2.5853754471597e-05
"q2_x_high_x_young",-4.29294753963158e-05,0.000141711730840938,0.000139520661400553,-2.60866792309022e-06,9.36038013959839e-06,8.43235988975674e-06,-1.24547107882435e-06,8.77952323856677e-06,8.52955762197212e-06,8.25496277214065e-06,3.67860698664002e-06,3.58501935650365e-06,4.28841443802133e-05,-0.000141469126386355,-0.000139418674845556,2.19029490228964e-06,-8.47909469159012e-06,-7.32942235019049e-06
"q3_x_high_x_young",-1.57100293686802e-05,-4.92088928695026e-06,-2.60866792309022e-06,0.000171127500898058,-1.29364540673834e-05,9.39761160123197e-08,2.44925557704699e-06,8.20553476848508e-06,7.66469089496616e-06,2.76964371803041e-05,7.26161715974554e-06,3.78714391047058e-06,1.54044455327902e-05,4.86166096614479e-06,2.43828716795002e-06,-0.000171651109438089,1.13910334344687e-05,-2.15744869014515e-06
"interim_x_high_x_young",1.34015748345732e-05,3.12063818274785e-06,9.36038013959839e-06,-1.29364540673834e-05,0.00010484491984349,0.000150459474132217,9.55025901937541e-07,4.23370595435447e-06,2.9530662008254e-06,8.90159629999878e-06,1.88782788387335e-05,1.69869423691572e-05,-1.29611929395627e-05,-3.60073555438553e-06,-1.0258143539251e-05,1.18728821035554e-05,-0.000101372488102161,-0.000146856628733018
"post_x_high_x_young",1.97197859825771e-05,-2.47798840472239e-05,8.43235988975674e-06,9.39761160123197e-08,0.000150459474132217,0.000401051751220943,9.80989635908627e-07,2.53582256614373e-06,2.5355999012614e-06,6.2107158002495e-06,1.70335554912921e-05,3.3447022910262e-05,-1.90272103758813e-05,2.45127859605036e-05,-9.30289376824812e-06,-1.94158613335742e-06,-0.000146854524657893,-0.000396697185504144
"rb_x_highlev_x_young",1.63127097298265e-05,1.77714936556249e-06,-1.24547107882435e-06,2.44925557704699e-06,9.55025901937541e-07,9.80989635908627e-07,3.62872903279544e-05,7.63293503907102e-06,2.02622384237882e-06,3.82319582845521e-06,3.53180365731289e-06,1.01625505798321e-05,-3.62269897716894e-05,-7.66298234623124e-06,-2.132203077719e-06,-3.82803457718177e-06,-3.43408361666545e-06,-1.00438225547246e-05
"q1_x_highlev_x_young",1.49258028022418e-06,1.78367696000568e-05,8.77952323856677e-06,8.20553476848508e-06,4.23370595435447e-06,2.53582256614373e-06,7.63293503907102e-06,3.80707251828535e-05,1.96551588972948e-05,6.55432564206171e-06,-1.11503075098628e-06,2.15026092985157e-06,-7.61115959394516e-06,-3.807740574463e-05,-1.97446289644968e-05,-6.53731703531523e-06,1.03624081396774e-06,-2.1815120995613e-06
"q2_x_highlev_x_young",-1.37632973202641e-06,8.90140629724409e-06,8.52955762197212e-06,7.66469089496616e-06,2.9530662008254e-06,2.5355999012614e-06,2.02622384237882e-06,1.96551588972948e-05,2.12996519979771e-05,1.27761639419381e-05,1.10429175836217e-06,1.31471871319837e-06,-2.02136571466046e-06,-1.96902613755238e-05,-2.13658604241485e-05,-1.27017164280004e-05,-1.14394120196286e-06,-1.36136057817428e-06
"q3_x_highlev_x_young",2.44520314523069e-06,8.9247424502081e-06,8.25496277214065e-06,2.76964371803041e-05,8.90159629999878e-06,6.2107158002495e-06,3.82319582845521e-06,6.55432564206171e-06,1.27761639419381e-05,5.73041888503234e-05,1.22930104795793e-05,1.32748633938467e-05,-3.75015520987256e-06,-6.53911250885669e-06,-1.27903534020425e-05,-5.7240684213816e-05,-1.21552750221604e-05,-1.30870231867191e-05
