"term","rb_x_highq2_x_young","q1_x_highq2_x_young","q2_x_highq2_x_young","q3_x_highq2_x_young","interim_x_highq2_x_young","post_x_highq2_x_young","rb_x_highq3_x_young","q1_x_highq3_x_young","q2_x_highq3_x_young","q3_x_highq3_x_young","interim_x_highq3_x_young","post_x_highq3_x_young","rb_x_highq4_x_young","q1_x_highq4_x_young","q2_x_highq4_x_young","q3_x_highq4_x_young","interim_x_highq4_x_young","post_x_highq4_x_young"
"rb_x_highq2_x_young",3.84866954092667e-05,5.29732561626274e-06,5.53493241151364e-06,4.17132407963852e-06,1.28794280526489e-06,1.26338845743216e-05,2.00745634859705e-05,6.01365877860781e-06,6.53905673710583e-06,8.49005572972192e-06,-1.53698375370447e-06,5.02813659707634e-06,2.00034159295811e-05,5.99161271718125e-06,6.56012972670017e-06,8.59486258748462e-06,-1.4531495097066e-06,5.18169619750492e-06
"q1_x_highq2_x_young",5.29732561626274e-06,5.79240842293554e-05,2.9697597984238e-05,-7.32071589072118e-06,-1.90062919330423e-05,-1.55900965123347e-05,6.15251800812465e-06,1.47526159930512e-05,1.31839052669447e-05,8.67911172449237e-06,-6.1625934713503e-06,-1.68439104335187e-06,5.92754567281377e-06,1.44984151011379e-05,1.3037639766211e-05,8.64428184676533e-06,-6.57300015945843e-06,-2.44653607909422e-06
"q2_x_highq2_x_young",5.53493241151364e-06,2.9697597984238e-05,2.85588267241497e-05,1.45355846537303e-05,-6.54714255475546e-06,2.88746233703216e-06,6.57492846038728e-06,1.31205705987515e-05,1.66412175863372e-05,1.37921626303047e-05,-6.01783204538066e-06,1.47977665150894e-06,6.57614322317425e-06,1.30885022196829e-05,1.6577349615156e-05,1.38271749487857e-05,-6.01681377624978e-06,1.40310056068891e-06
"q3_x_highq2_x_young",4.17132407963852e-06,-7.32071589072118e-06,1.45355846537303e-05,5.3048287147347e-05,5.83063373878055e-06,1.32519639393789e-05,8.5486073169939e-06,8.5984347074832e-06,1.36708048676652e-05,1.88213498446015e-05,-3.88282978221681e-06,3.28942499868156e-06,8.65464182857462e-06,8.83337632264128e-06,1.38203842023827e-05,1.89149832266027e-05,-3.54462128274243e-06,3.9452280436057e-06
"interim_x_highq2_x_young",1.28794280526489e-06,-1.90062919330423e-05,-6.54714255475546e-06,5.83063373878055e-06,4.30286968870792e-05,5.38562983671708e-05,-1.64413424486961e-06,-6.261909000837e-06,-6.03412629326241e-06,-3.67315937952548e-06,1.79597009931958e-05,2.21070343196702e-05,-1.43723352750572e-06,-6.42610691485741e-06,-6.12996558931276e-06,-3.41014454720618e-06,1.78556242353134e-05,2.22588081417248e-05
"post_x_highq2_x_young",1.26338845743216e-05,-1.55900965123347e-05,2.88746233703216e-06,1.32519639393789e-05,5.38562983671708e-05,0.000119700977324746,5.04535768160207e-06,-1.78683454113442e-06,1.66035718925287e-06,3.53934913944347e-06,2.22007654261008e-05,5.5207438909685e-05,5.20132485558476e-06,-2.1563334183549e-06,1.38311507144852e-06,3.9494952705792e-06,2.2100490883566e-05,5.52978853518014e-05
"rb_x_highq3_x_young",2.00745634859705e-05,6.15251800812465e-06,6.57492846038728e-06,8.5486073169939e-06,-1.64413424486961e-06,5.04535768160207e-06,7.70751375545923e-05,3.06078023649165e-05,1.62968812084434e-05,1.28534357614865e-05,2.98032412593747e-05,8.63253018671862e-05,1.98995114073226e-05,6.08461760700135e-06,6.56128962361598e-06,8.62065715912076e-06,-1.32257127146539e-06,5.30307233250288e-06
"q1_x_highq3_x_young",6.01365877860781e-06,1.47526159930512e-05,1.31205705987515e-05,8.5984347074832e-06,-6.261909000837e-06,-1.78683454113442e-06,3.06078023649165e-05,0.000100065240043619,6.14149901097852e-05,2.12908826946038e-05,4.4668381285075e-06,4.3396127832446e-05,5.96711673788799e-06,1.46083983745988e-05,1.29754205519336e-05,8.72396558368548e-06,-6.540105342492e-06,-2.50529418123187e-06
"q2_x_highq3_x_young",6.53905673710583e-06,1.31839052669447e-05,1.66412175863372e-05,1.36708048676652e-05,-6.03412629326241e-06,1.66035718925287e-06,1.62968812084434e-05,6.14149901097852e-05,5.78256232484929e-05,2.25002690831575e-05,4.86158676794343e-06,2.46608170917535e-05,6.5774391164738e-06,1.31436881054881e-05,1.6509708837451e-05,1.3847677856488e-05,-5.99142477022614e-06,1.223819232416e-06
"q3_x_highq3_x_young",8.49005572972192e-06,8.67911172449237e-06,1.37921626303047e-05,1.88213498446015e-05,-3.67315937952548e-06,3.53934913944347e-06,1.28534357614865e-05,2.12908826946038e-05,2.25002690831575e-05,6.98652510814078e-05,1.13793682058252e-05,1.98521815228246e-05,8.79230009969857e-06,8.79022647955896e-06,1.38067244379313e-05,1.891289160561e-05,-3.79966076391602e-06,3.74906952063972e-06
