"term","rb_x_highz_x_young","q1_x_highz_x_young","q2_x_highz_x_young","q3_x_highz_x_young","interim_x_highz_x_young","post_x_highz_x_young"
"rb_x_highz_x_young",7.85686775590405e-06,9.28232876668563e-07,-9.24742029292642e-07,-9.75712365002427e-07,1.70792237267092e-06,4.32422202920092e-06
"q1_x_highz_x_young",9.28232876668563e-07,1.50388723693752e-05,8.30287976025525e-06,-2.24327784835944e-06,7.71879800339605e-07,5.24281881944162e-06
"q2_x_highz_x_young",-9.24742029292642e-07,8.30287976025525e-06,1.15530708634033e-05,6.8274144146666e-06,-5.25780104573688e-07,2.39133313656266e-06
"q3_x_highz_x_young",-9.75712365002427e-07,-2.24327784835944e-06,6.8274144146666e-06,1.62089071346318e-05,-2.35362234795641e-06,-3.44727445581399e-06
"interim_x_highz_x_young",1.70792237267092e-06,7.71879800339605e-07,-5.25780104573688e-07,-2.35362234795641e-06,1.21077660049893e-05,1.60490351694383e-05
"post_x_highz_x_young",4.32422202920092e-06,5.24281881944162e-06,2.39133313656266e-06,-3.44727445581399e-06,1.60490351694383e-05,3.63695495894721e-05
