geo,russia,exposed_occ,2019,2021,2022,2023,2024,chg_pct
FI,False,False,696.0,708.5,717.3,696.6,703.5,-1.9238812212463374
FI,False,True,1108.9,1087.2,1115.3,1102.1,1095.7,-1.7573746973908233
FI,True,False,325.5,325.3,324.4,316.2,316.6,-2.404438964241662
FI,True,True,213.8,200.2,205.6,205.0,197.0,-4.182879377431902
SE,False,False,1319.4,1209.3,1237.3999999999999,1215.4,1207.1,-2.448682721836104
SE,False,True,2539.9,2592.8,2731.4,2788.0,2771.3,1.4607893388006277
SE,True,False,428.6,377.0,381.8,377.7,383.3,0.39287585123100044
SE,True,True,374.8,373.2,369.5,403.6,388.9,5.250338294993218
