young_band,spec,n_firms,n_not_from_2019,share_not_from_2019,n_groups,retained_share,term,coef,se,n_obs,status
22-25,baseline_same_sample,110151,4224,0.03834735953373097,259,1.0,rb_x_high_x_young,0.0213907375600201,0.0078329722748416,26115696,ok
22-25,baseline_same_sample,110151,4224,0.03834735953373097,259,1.0,q1_x_high_x_young,-0.125244557486134,0.0116490054996937,26115696,ok
22-25,baseline_same_sample,110151,4224,0.03834735953373097,259,1.0,q2_x_high_x_young,-0.121373978546969,0.0092646936644449,26115696,ok
22-25,baseline_same_sample,110151,4224,0.03834735953373097,259,1.0,q3_x_high_x_young,-0.0896949659119836,0.0125250486007259,26115696,ok
22-25,baseline_same_sample,110151,4224,0.03834735953373097,259,1.0,interim_x_high_x_young,-0.0140255124959603,0.0094766276765569,26115696,ok
22-25,baseline_same_sample,110151,4224,0.03834735953373097,259,1.0,post_x_high_x_young,-0.0408650491351367,0.0150146254796328,26115696,ok
22-25,industry_age_month,110151,4224,0.03834735953373097,259,0.8515964282067977,rb_x_high_x_young,0.004008822963291,0.0099152604290784,26115696,ok
22-25,industry_age_month,110151,4224,0.03834735953373097,259,0.8515964282067977,q1_x_high_x_young,-0.0959274905071161,0.0096694181643997,26115696,ok
22-25,industry_age_month,110151,4224,0.03834735953373097,259,0.8515964282067977,q2_x_high_x_young,-0.0709865340264877,0.0084760954135969,26115696,ok
22-25,industry_age_month,110151,4224,0.03834735953373097,259,0.8515964282067977,q3_x_high_x_young,-0.0175463737156848,0.0108558507558192,26115696,ok
22-25,industry_age_month,110151,4224,0.03834735953373097,259,0.8515964282067977,interim_x_high_x_young,-0.0131663813918065,0.0083470259750026,26115696,ok
22-25,industry_age_month,110151,4224,0.03834735953373097,259,0.8515964282067977,post_x_high_x_young,-0.0348005298819777,0.0133587580915044,26115696,ok
26-30,baseline_same_sample,125347,6560,0.05233471882055414,262,1.0,rb_x_high_x_young,0.0222709106411518,0.0043345929317396,29862540,ok
26-30,baseline_same_sample,125347,6560,0.05233471882055414,262,1.0,q1_x_high_x_young,-0.0456835622575927,0.0035118107578076,29862540,ok
26-30,baseline_same_sample,125347,6560,0.05233471882055414,262,1.0,q2_x_high_x_young,-0.0519526964232046,0.0028542601258193,29862540,ok
26-30,baseline_same_sample,125347,6560,0.05233471882055414,262,1.0,q3_x_high_x_young,-0.0403354221707325,0.0026336750738946,29862540,ok
26-30,baseline_same_sample,125347,6560,0.05233471882055414,262,1.0,interim_x_high_x_young,-0.003570366031635,0.0056057083567372,29862540,ok
26-30,baseline_same_sample,125347,6560,0.05233471882055414,262,1.0,post_x_high_x_young,-0.0395791039031864,0.0102248667555388,29862540,ok
26-30,industry_age_month,125347,6560,0.05233471882055414,262,0.47381138803782635,rb_x_high_x_young,0.0101580201286602,0.0056177027432306,29862540,ok
26-30,industry_age_month,125347,6560,0.05233471882055414,262,0.47381138803782635,q1_x_high_x_young,-0.0301034880272613,0.0039823493250973,29862540,ok
26-30,industry_age_month,125347,6560,0.05233471882055414,262,0.47381138803782635,q2_x_high_x_young,-0.0281418318066003,0.0032469709716083,29862540,ok
26-30,industry_age_month,125347,6560,0.05233471882055414,262,0.47381138803782635,q3_x_high_x_young,-0.0155179233336684,0.0038890748079382,29862540,ok
26-30,industry_age_month,125347,6560,0.05233471882055414,262,0.47381138803782635,interim_x_high_x_young,-0.0045495073604874,0.005310915424908,29862540,ok
26-30,industry_age_month,125347,6560,0.05233471882055414,262,0.47381138803782635,post_x_high_x_young,-0.0187530301576621,0.0092598986525495,29862540,ok
