"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young"
"rb_x_high_x_young",6.1355454658438e-05,5.36907811732005e-06,-1.31110551060931e-05,-1.7311491186752e-05,1.53037530877435e-05,2.67723666529588e-05
"q1_x_high_x_young",5.36907811732005e-06,0.000135699329131895,6.37186853676032e-05,-2.84425929718993e-05,1.09247406640872e-05,2.72417836066068e-05
"q2_x_high_x_young",-1.31110551060931e-05,6.37186853676032e-05,8.58345486960069e-05,5.07964214168208e-05,1.93270615002034e-06,4.4689403963271e-06
"q3_x_high_x_young",-1.7311491186752e-05,-2.84425929718993e-05,5.07964214168208e-05,0.000156876842450545,-1.38159559930633e-05,-3.16109347902925e-05
"interim_x_high_x_young",1.53037530877435e-05,1.09247406640872e-05,1.93270615002034e-06,-1.38159559930633e-05,8.98064721200841e-05,0.000108064506871935
"post_x_high_x_young",2.67723666529588e-05,2.72417836066068e-05,4.4689403963271e-06,-3.16109347902925e-05,0.000108064506871935,0.000225438978293639
