spec,age_group,gamma1,se1,p1,gamma2,se2,p2,n_obs,n_emp_total,n_employers,estimator,fe,vcov,elapsed_s
STEP5_no_ict,22-25,-0.0079816601747301,0.0107141065822804,0.45629142493713,-0.170096908382307,0.0114132120585512,3.12715637129671e-50,11375130,20866103,44988,Poisson PML (R fixest::fepois via subprocess),employer x bin + employer x month,CRV1 by employer,114.7
STEP5_no_ict,26-30,0.0124329395938802,0.0078636957574942,0.113865343500576,-0.0557108706315568,0.0072344786474176,1.3527588288397e-14,15489474,34740771,63565,Poisson PML (R fixest::fepois via subprocess),employer x bin + employer x month,CRV1 by employer,157.4
STEP5_no_ict,31-34,0.02123167751168,0.0065149776596807,0.0011184406630814,0.0028570800648033,0.0056395894939754,0.612427540775542,13756392,30248707,59241,Poisson PML (R fixest::fepois via subprocess),employer x bin + employer x month,CRV1 by employer,140.1
STEP5_no_ict,35-40,0.0044816231131281,0.0065006443473217,0.490563947618047,0.0008035426602043,0.0044643196432452,0.857158701169755,16456518,43276700,72114,Poisson PML (R fixest::fepois via subprocess),employer x bin + employer x month,CRV1 by employer,179.7
STEP5_no_ict,41-49,0.0156717770617862,0.0052695811472356,0.0029393730740858,-0.0013200953753622,0.0031135739425074,0.671579861602178,20749716,66104748,91806,Poisson PML (R fixest::fepois via subprocess),employer x bin + employer x month,CRV1 by employer,231.3
STEP5_no_ict,50+,0.028588679131915,0.0042610522836416,1.9555992043590798e-11,0.0198261042028393,0.0036797978592635,7.13157306223054e-08,29065998,124663822,126718,Poisson PML (R fixest::fepois via subprocess),employer x bin + employer x month,CRV1 by employer,325.6
