ssyk4,pctl_rank_genai,pctl_rank_allapps,exposure_quartile,high_exposure
8213,19.030001,28.959999,Q1 (lowest),0
8214,20.209999,31.559999,Q1 (lowest),0
8219,19.98,31.799999,Q1 (lowest),0
8311,10.28,18.09,Q1 (lowest),0
8312,24.0,19.74,Q1 (lowest),0
8321,18.09,16.67,Q1 (lowest),0
8329,16.9,17.139999,Q1 (lowest),0
8331,18.559999,33.919998,Q1 (lowest),0
8332,24.940001,22.809999,Q1 (lowest),0
8341,1.3,15.72,Q1 (lowest),0
8342,0.82999998,7.9200001,Q1 (lowest),0
8343,17.85,20.209999,Q1 (lowest),0
8344,21.16,21.870001,Q1 (lowest),0
8350,1.77,3.1900001,Q1 (lowest),0
9111,9.8100004,9.8100004,Q1 (lowest),0
9119,34.869999,21.16,Q2,0
9120,2.25,9.1000004,Q1 (lowest),0
9210,2.96,2.48,Q1 (lowest),0
9310,1.0599999,2.01,Q1 (lowest),0
9320,4.6100001,11.47,Q1 (lowest),0
9331,14.07,9.3400002,Q1 (lowest),0
9332,19.5,16.9,Q1 (lowest),0
9411,28.49,34.400002,Q2,0
9412,3.4300001,3.4300001,Q1 (lowest),0
9413,18.32,12.88,Q1 (lowest),0
9520,54.959999,55.200001,Q3,0
9610,26.6,21.629999,Q2,0
9621,5.79,5.79,Q1 (lowest),0
9622,23.76,33.220001,Q1 (lowest),0
9629,23.290001,33.450001,Q1 (lowest),0
