year_month,age_group,n_excluded,excluded_share
2019-01,22-25,4594,0.012730487216861652
2019-01,26-30,33711,0.05573770491803276
2019-01,31-34,22952,0.0493642354479602
2019-01,35-40,29065,0.04387812253265766
2019-01,41-49,41348,0.03917014020462295
2019-01,50+,110463,0.0573056790533355
2019-02,22-25,4444,0.012623924097378114
2019-02,26-30,33119,0.05520201346756448
2019-02,31-34,22744,0.04909214922770089
2019-02,35-40,28606,0.04331249924294733
2019-02,41-49,40826,0.03884224867563779
2019-02,50+,108414,0.056771629999408324
2019-03,22-25,4413,0.012500743586039254
2019-03,26-30,33209,0.0552383170186046
2019-03,31-34,22938,0.04934325160368791
2019-03,35-40,28984,0.043674149616811486
2019-03,41-49,41317,0.039119982654159724
2019-03,50+,110571,0.05756870356785282
2019-04,22-25,4581,0.012646905359405713
2019-04,26-30,34243,0.05609358158247357
2019-04,31-34,23304,0.04957327501850706
2019-04,35-40,29538,0.044117317593008853
2019-04,41-49,42045,0.03956941847212825
2019-04,50+,112096,0.058037856944262556
2019-05,22-25,4683,0.012634356384356393
2019-05,26-30,34932,0.0564581299577841
2019-05,31-34,23803,0.05011717096855017
2019-05,35-40,30007,0.04446568420428698
2019-05,41-49,42350,0.03961053537356429
2019-05,50+,113106,0.05832187325488403
2019-06,22-25,5216,0.01317158412541286
2019-06,26-30,36833,0.05774681893151212
2019-06,31-34,24500,0.050599448569274785
2019-06,35-40,30824,0.04507836504642526
2019-06,41-49,43216,0.03999178251044311
2019-06,50+,116531,0.059306567485643
2019-07,22-25,5608,0.013582770613937312
2019-07,26-30,36846,0.05821358885843164
2019-07,31-34,23922,0.05043005312420945
2019-07,35-40,29663,0.04432493496130552
2019-07,41-49,41710,0.03943835098335857
2019-07,50+,110568,0.05802251778306622
2019-08,22-25,5372,0.01330938371012702
2019-08,26-30,36044,0.0575670556217478
2019-08,31-34,23227,0.049448081324178994
2019-08,35-40,28779,0.04343488615679969
2019-08,41-49,40541,0.0387454950154873
2019-08,50+,106115,0.05687476350196108
2019-09,22-25,5402,0.013291570605010072
2019-09,26-30,36304,0.05715734170499043
2019-09,31-34,23651,0.04949285052117014
2019-09,35-40,29728,0.04405655861487412
2019-09,41-49,41755,0.03928651067477207
2019-09,50+,110049,0.058020045963049216
2019-10,22-25,4531,0.012205338455032022
2019-10,26-30,34308,0.05543956718742926
2019-10,31-34,23396,0.04937031534877434
2019-10,35-40,29717,0.04414998246896418
2019-10,41-49,41966,0.03946049531073992
2019-10,50+,111050,0.05825408749076744
2019-11,22-25,4617,0.012377385602341917
2019-11,26-30,34895,0.056327865465263804
2019-11,31-34,23631,0.049793396701511394
2019-11,35-40,29955,0.044512502284692834
2019-11,41-49,42195,0.03967724099539616
2019-11,50+,112138,0.05877968390286448
2019-12,22-25,4690,0.012520957252544207
2019-12,26-30,35325,0.0566458898255483
2019-12,31-34,23834,0.04983190044492025
2019-12,35-40,30410,0.04467998201634393
2019-12,41-49,43235,0.04004779614388865
2019-12,50+,117765,0.06035943501539165
2020-01,22-25,0,0.0
2020-01,26-30,0,0.0
2020-01,31-34,0,0.0
2020-01,35-40,0,0.0
2020-01,41-49,0,0.0
2020-01,50+,0,0.0
2020-02,22-25,0,0.0
2020-02,26-30,0,0.0
2020-02,31-34,0,0.0
2020-02,35-40,0,0.0
2020-02,41-49,0,0.0
2020-02,50+,0,0.0
2020-03,22-25,0,0.0
2020-03,26-30,0,0.0
2020-03,31-34,0,0.0
2020-03,35-40,0,0.0
2020-03,41-49,0,0.0
2020-03,50+,0,0.0
2020-04,22-25,0,0.0
2020-04,26-30,0,0.0
2020-04,31-34,0,0.0
2020-04,35-40,0,0.0
2020-04,41-49,0,0.0
2020-04,50+,0,0.0
2020-05,22-25,0,0.0
2020-05,26-30,0,0.0
2020-05,31-34,0,0.0
2020-05,35-40,0,0.0
2020-05,41-49,0,0.0
2020-05,50+,0,0.0
2020-06,22-25,0,0.0
2020-06,26-30,0,0.0
2020-06,31-34,0,0.0
2020-06,35-40,0,0.0
2020-06,41-49,0,0.0
2020-06,50+,0,0.0
2020-07,22-25,0,0.0
2020-07,26-30,0,0.0
2020-07,31-34,0,0.0
2020-07,35-40,0,0.0
2020-07,41-49,0,0.0
2020-07,50+,0,0.0
2020-08,22-25,0,0.0
2020-08,26-30,0,0.0
2020-08,31-34,0,0.0
2020-08,35-40,0,0.0
2020-08,41-49,0,0.0
2020-08,50+,0,0.0
2020-09,22-25,0,0.0
2020-09,26-30,0,0.0
2020-09,31-34,0,0.0
2020-09,35-40,0,0.0
2020-09,41-49,0,0.0
2020-09,50+,0,0.0
2020-10,22-25,0,0.0
2020-10,26-30,0,0.0
2020-10,31-34,0,0.0
2020-10,35-40,0,0.0
2020-10,41-49,0,0.0
2020-10,50+,0,0.0
2020-11,22-25,0,0.0
2020-11,26-30,0,0.0
2020-11,31-34,0,0.0
2020-11,35-40,0,0.0
2020-11,41-49,0,0.0
2020-11,50+,0,0.0
2020-12,22-25,0,0.0
2020-12,26-30,0,0.0
2020-12,31-34,0,0.0
2020-12,35-40,0,0.0
2020-12,41-49,0,0.0
2020-12,50+,0,0.0
2021-01,22-25,0,0.0
2021-01,26-30,0,0.0
2021-01,31-34,0,0.0
2021-01,35-40,0,0.0
2021-01,41-49,0,0.0
2021-01,50+,0,0.0
2021-02,22-25,0,0.0
2021-02,26-30,0,0.0
2021-02,31-34,0,0.0
2021-02,35-40,0,0.0
2021-02,41-49,0,0.0
2021-02,50+,0,0.0
2021-03,22-25,0,0.0
2021-03,26-30,0,0.0
2021-03,31-34,0,0.0
2021-03,35-40,0,0.0
2021-03,41-49,0,0.0
2021-03,50+,0,0.0
2021-04,22-25,0,0.0
2021-04,26-30,0,0.0
2021-04,31-34,0,0.0
