year_month,age_group,n_excluded,excluded_share
2021-04,35-40,0,0.0
2021-04,41-49,0,0.0
2021-04,50+,0,0.0
2021-05,22-25,0,0.0
2021-05,26-30,0,0.0
2021-05,31-34,0,0.0
2021-05,35-40,0,0.0
2021-05,41-49,0,0.0
2021-05,50+,0,0.0
2021-06,22-25,0,0.0
2021-06,26-30,0,0.0
2021-06,31-34,0,0.0
2021-06,35-40,0,0.0
2021-06,41-49,0,0.0
2021-06,50+,0,0.0
2021-07,22-25,0,0.0
2021-07,26-30,0,0.0
2021-07,31-34,0,0.0
2021-07,35-40,0,0.0
2021-07,41-49,0,0.0
2021-07,50+,0,0.0
2021-08,22-25,0,0.0
2021-08,26-30,0,0.0
2021-08,31-34,0,0.0
2021-08,35-40,0,0.0
2021-08,41-49,0,0.0
2021-08,50+,0,0.0
2021-09,22-25,0,0.0
2021-09,26-30,0,0.0
2021-09,31-34,0,0.0
2021-09,35-40,0,0.0
2021-09,41-49,0,0.0
2021-09,50+,0,0.0
2021-10,22-25,0,0.0
2021-10,26-30,0,0.0
2021-10,31-34,0,0.0
2021-10,35-40,0,0.0
2021-10,41-49,0,0.0
2021-10,50+,0,0.0
2021-11,22-25,0,0.0
2021-11,26-30,0,0.0
2021-11,31-34,0,0.0
2021-11,35-40,0,0.0
2021-11,41-49,0,0.0
2021-11,50+,0,0.0
2021-12,22-25,0,0.0
2021-12,26-30,0,0.0
2021-12,31-34,0,0.0
2021-12,35-40,0,0.0
2021-12,41-49,0,0.0
2021-12,50+,0,0.0
2022-01,22-25,0,0.0
2022-01,26-30,0,0.0
2022-01,31-34,0,0.0
2022-01,35-40,0,0.0
2022-01,41-49,0,0.0
2022-01,50+,0,0.0
2022-02,22-25,0,0.0
2022-02,26-30,0,0.0
2022-02,31-34,0,0.0
2022-02,35-40,0,0.0
2022-02,41-49,0,0.0
2022-02,50+,0,0.0
2022-03,22-25,0,0.0
2022-03,26-30,0,0.0
2022-03,31-34,0,0.0
2022-03,35-40,0,0.0
2022-03,41-49,0,0.0
2022-03,50+,0,0.0
2022-04,22-25,0,0.0
2022-04,26-30,0,0.0
2022-04,31-34,0,0.0
2022-04,35-40,0,0.0
2022-04,41-49,0,0.0
2022-04,50+,0,0.0
2022-05,22-25,0,0.0
2022-05,26-30,0,0.0
2022-05,31-34,0,0.0
2022-05,35-40,0,0.0
2022-05,41-49,0,0.0
2022-05,50+,0,0.0
2022-06,22-25,0,0.0
2022-06,26-30,0,0.0
2022-06,31-34,0,0.0
2022-06,35-40,0,0.0
2022-06,41-49,0,0.0
2022-06,50+,0,0.0
2022-07,22-25,0,0.0
2022-07,26-30,0,0.0
2022-07,31-34,0,0.0
2022-07,35-40,0,0.0
2022-07,41-49,0,0.0
2022-07,50+,0,0.0
2022-08,22-25,0,0.0
2022-08,26-30,0,0.0
2022-08,31-34,0,0.0
2022-08,35-40,0,0.0
2022-08,41-49,0,0.0
2022-08,50+,0,0.0
2022-09,22-25,0,0.0
2022-09,26-30,0,0.0
2022-09,31-34,0,0.0
2022-09,35-40,0,0.0
2022-09,41-49,0,0.0
2022-09,50+,0,0.0
2022-10,22-25,0,0.0
2022-10,26-30,0,0.0
2022-10,31-34,0,0.0
2022-10,35-40,0,0.0
2022-10,41-49,0,0.0
2022-10,50+,0,0.0
2022-11,22-25,0,0.0
2022-11,26-30,0,0.0
2022-11,31-34,0,0.0
2022-11,35-40,0,0.0
2022-11,41-49,0,0.0
2022-11,50+,0,0.0
2022-12,22-25,0,0.0
2022-12,26-30,0,0.0
2022-12,31-34,0,0.0
2022-12,35-40,0,0.0
2022-12,41-49,0,0.0
2022-12,50+,0,0.0
2023-01,22-25,0,0.0
2023-01,26-30,0,0.0
2023-01,31-34,0,0.0
2023-01,35-40,0,0.0
2023-01,41-49,0,0.0
2023-01,50+,0,0.0
2023-02,22-25,0,0.0
2023-02,26-30,0,0.0
2023-02,31-34,0,0.0
2023-02,35-40,0,0.0
2023-02,41-49,0,0.0
2023-02,50+,0,0.0
2023-03,22-25,0,0.0
2023-03,26-30,0,0.0
2023-03,31-34,0,0.0
2023-03,35-40,0,0.0
2023-03,41-49,0,0.0
2023-03,50+,0,0.0
2023-04,22-25,0,0.0
2023-04,26-30,0,0.0
2023-04,31-34,0,0.0
2023-04,35-40,0,0.0
2023-04,41-49,0,0.0
2023-04,50+,0,0.0
2023-05,22-25,0,0.0
2023-05,26-30,0,0.0
2023-05,31-34,0,0.0
2023-05,35-40,0,0.0
2023-05,41-49,0,0.0
2023-05,50+,0,0.0
2023-06,22-25,0,0.0
2023-06,26-30,0,0.0
2023-06,31-34,0,0.0
2023-06,35-40,0,0.0
2023-06,41-49,0,0.0
2023-06,50+,0,0.0
2023-07,22-25,0,0.0
2023-07,26-30,0,0.0
2023-07,31-34,0,0.0
2023-07,35-40,0,0.0
2023-07,41-49,0,0.0
2023-07,50+,0,0.0
2023-08,22-25,0,0.0
2023-08,26-30,0,0.0
2023-08,31-34,0,0.0
2023-08,35-40,0,0.0
2023-08,41-49,0,0.0
2023-08,50+,0,0.0
2023-09,22-25,0,0.0
2023-09,26-30,0,0.0
2023-09,31-34,0,0.0
2023-09,35-40,0,0.0
2023-09,41-49,0,0.0
2023-09,50+,0,0.0
2023-10,22-25,0,0.0
2023-10,26-30,0,0.0
2023-10,31-34,0,0.0
2023-10,35-40,0,0.0
2023-10,41-49,0,0.0
2023-10,50+,0,0.0
2023-11,22-25,0,0.0
2023-11,26-30,0,0.0
2023-11,31-34,0,0.0
2023-11,35-40,0,0.0
2023-11,41-49,0,0.0
2023-11,50+,0,0.0
2023-12,22-25,0,0.0
2023-12,26-30,0,0.0
2023-12,31-34,0,0.0
2023-12,35-40,0,0.0
2023-12,41-49,0,0.0
2023-12,50+,0,0.0
2024-01,22-25,0,0.0
2024-01,26-30,0,0.0
2024-01,31-34,0,0.0
2024-01,35-40,0,0.0
2024-01,41-49,0,0.0
2024-01,50+,0,0.0
2024-02,22-25,0,0.0
2024-02,26-30,0,0.0
2024-02,31-34,0,0.0
2024-02,35-40,0,0.0
2024-02,41-49,0,0.0
2024-02,50+,0,0.0
2024-03,22-25,0,0.0
2024-03,26-30,0,0.0
2024-03,31-34,0,0.0
2024-03,35-40,0,0.0
2024-03,41-49,0,0.0
2024-03,50+,0,0.0
2024-04,22-25,0,0.0
2024-04,26-30,0,0.0
2024-04,31-34,0,0.0
2024-04,35-40,0,0.0
2024-04,41-49,0,0.0
2024-04,50+,0,0.0
2024-05,22-25,0,0.0
2024-05,26-30,0,0.0
2024-05,31-34,0,0.0
2024-05,35-40,0,0.0
2024-05,41-49,0,0.0
2024-05,50+,0,0.0
2024-06,22-25,0,0.0
2024-06,26-30,0,0.0
2024-06,31-34,0,0.0
2024-06,35-40,0,0.0
2024-06,41-49,0,0.0
2024-06,50+,0,0.0
2024-07,22-25,0,0.0
2024-07,26-30,0,0.0
2024-07,31-34,0,0.0
2024-07,35-40,0,0.0
2024-07,41-49,0,0.0
2024-07,50+,0,0.0
2024-08,22-25,0,0.0
2024-08,26-30,0,0.0
2024-08,31-34,0,0.0
2024-08,35-40,0,0.0
2024-08,41-49,0,0.0
2024-08,50+,0,0.0
2024-09,22-25,0,0.0
2024-09,26-30,0,0.0
2024-09,31-34,0,0.0
2024-09,35-40,0,0.0
2024-09,41-49,0,0.0
2024-09,50+,0,0.0
2024-10,22-25,0,0.0
2024-10,26-30,0,0.0
2024-10,31-34,0,0.0
2024-10,35-40,0,0.0
2024-10,41-49,0,0.0
2024-10,50+,0,0.0
2024-11,22-25,0,0.0
2024-11,26-30,0,0.0
2024-11,31-34,0,0.0
2024-11,35-40,0,0.0
2024-11,41-49,0,0.0
2024-11,50+,0,0.0
2024-12,22-25,0,0.0
2024-12,26-30,0,0.0
2024-12,31-34,0,0.0
2024-12,35-40,0,0.0
2024-12,41-49,0,0.0
2024-12,50+,0,0.0
2025-01,22-25,0,0.0
2025-01,26-30,0,0.0
2025-01,31-34,0,0.0
2025-01,35-40,0,0.0
2025-01,41-49,0,0.0
2025-01,50+,0,0.0
2025-02,22-25,0,0.0
2025-02,26-30,0,0.0
2025-02,31-34,0,0.0
2025-02,35-40,0,0.0
2025-02,41-49,0,0.0
2025-02,50+,0,0.0
2025-03,22-25,0,0.0
2025-03,26-30,0,0.0
2025-03,31-34,0,0.0
2025-03,35-40,0,0.0
2025-03,41-49,0,0.0
2025-03,50+,0,0.0
2025-04,22-25,0,0.0
2025-04,26-30,0,0.0
2025-04,31-34,0,0.0
2025-04,35-40,0,0.0
2025-04,41-49,0,0.0
2025-04,50+,0,0.0
2025-05,22-25,0,0.0
2025-05,26-30,0,0.0
2025-05,31-34,0,0.0
2025-05,35-40,0,0.0
2025-05,41-49,0,0.0
2025-05,50+,0,0.0
2025-06,22-25,0,0.0
2025-06,26-30,0,0.0
2025-06,31-34,0,0.0
2025-06,35-40,0,0.0
2025-06,41-49,0,0.0
2025-06,50+,0,0.0
