"period","coef","se","pvalue","n_obs","n_emp_total","converged","elapsed_s","status"
"2019H1",0.0910393234398399,0.00995070764131165,5.74469986355362e-20,13582062,31670000,TRUE,50.0398960113525,"ok"
"2019H2",0.0819308795979988,0.00867281368347646,3.4913849284183e-21,13582062,31670000,TRUE,50.0398960113525,"ok"
"2020H1",0.0577866883182384,0.00711691929478023,4.6764122034549e-16,13582062,31670000,TRUE,50.0398960113525,"ok"
"2020H2",0.0568735379319862,0.00632972762187886,2.58386884195686e-19,13582062,31670000,TRUE,50.0398960113525,"ok"
"2021H1",0.0350578238607936,0.00475646853239269,1.69916213709303e-13,13582062,31670000,TRUE,50.0398960113525,"ok"
"2021H2",0.029402879373833,0.00368237280928936,1.40790925364742e-15,13582062,31670000,TRUE,50.0398960113525,"ok"
"2022H1",0,0,NA,13582062,31670000,TRUE,50.0398960113525,"reference"
"2022H2",-0.0139406909265029,0.00292891632182433,1.9390456583928e-06,13582062,31670000,TRUE,50.0398960113525,"ok"
"2023H1",-0.0508695000485541,0.00523641471730052,2.6135824939301e-22,13582062,31670000,TRUE,50.0398960113525,"ok"
"2023H2",-0.0586819067876878,0.00626374532624588,7.35696431487603e-21,13582062,31670000,TRUE,50.0398960113525,"ok"
"2024H1",-0.101102791932644,0.00741395164025142,2.4184978681749e-42,13582062,31670000,TRUE,50.0398960113525,"ok"
"2024H2",-0.106740708271007,0.00780847466309755,1.53703355901519e-42,13582062,31670000,TRUE,50.0398960113525,"ok"
"2025H1",-0.155618314378238,0.00913951513729139,5.18125444454819e-65,13582062,31670000,TRUE,50.0398960113525,"ok"
