"period","coef","se","pvalue","n_obs","n_emp_total","converged","elapsed_s","status"
"2019H1",0.00306010037048635,0.00544342209756078,0.574003732196017,18867654,67708013,TRUE,75.6189661026001,"ok"
"2019H2",-0.00121062648847765,0.00469794516045445,0.796644028585735,18867654,67708013,TRUE,75.6189661026001,"ok"
"2020H1",0.00581273991765076,0.00412366939379065,0.158656713636001,18867654,67708013,TRUE,75.6189661026001,"ok"
"2020H2",0.00831699665522693,0.00378000083697052,0.0277882281513216,18867654,67708013,TRUE,75.6189661026001,"ok"
"2021H1",0.0106053979300855,0.00245262881318093,1.53159873244631e-05,18867654,67708013,TRUE,75.6189661026001,"ok"
"2021H2",0.00710995855247043,0.00196561631893056,0.000297847447573337,18867654,67708013,TRUE,75.6189661026001,"ok"
"2022H1",0,0,NA,18867654,67708013,TRUE,75.6189661026001,"reference"
"2022H2",-0.00593154295064638,0.00140191590112041,2.32627539378134e-05,18867654,67708013,TRUE,75.6189661026001,"ok"
"2023H1",-0.0148116733538391,0.00250548485538752,3.3859601300888e-09,18867654,67708013,TRUE,75.6189661026001,"ok"
"2023H2",-0.0179210787332792,0.002985715180066,1.94573733846412e-09,18867654,67708013,TRUE,75.6189661026001,"ok"
"2024H1",-0.0258458149921487,0.00362251277714122,9.69453382693733e-13,18867654,67708013,TRUE,75.6189661026001,"ok"
"2024H2",-0.0255578678126596,0.0037695920374311,1.20168424655657e-11,18867654,67708013,TRUE,75.6189661026001,"ok"
"2025H1",-0.0336667669672804,0.00472834102086032,1.07765069075844e-12,18867654,67708013,TRUE,75.6189661026001,"ok"
