"period","coef","se","pvalue","n_obs","n_emp_total","converged","elapsed_s","status"
"2019H1",0.195636003051949,0.00969403889047945,1.43626153611028e-90,15705144,36326712,TRUE,59.3069250583649,"ok"
"2019H2",0.190347159010461,0.00830785624888275,3.55161330318295e-116,15705144,36326712,TRUE,59.3069250583649,"ok"
"2020H1",0.140742028254677,0.0076892346424143,7.72076185074256e-75,15705144,36326712,TRUE,59.3069250583649,"ok"
"2020H2",0.149587513817916,0.00671189519699797,4.94819417301342e-110,15705144,36326712,TRUE,59.3069250583649,"ok"
"2021H1",0.0936255328025791,0.00602937352840679,2.23443370057785e-54,15705144,36326712,TRUE,59.3069250583649,"ok"
"2021H2",0.0900713806676205,0.00404245523375275,5.60366677137974e-110,15705144,36326712,TRUE,59.3069250583649,"ok"
"2022H1",0,0,NA,15705144,36326712,TRUE,59.3069250583649,"reference"
"2022H2",-0.024745109213347,0.00455144921850585,5.42600049437148e-08,15705144,36326712,TRUE,59.3069250583649,"ok"
"2023H1",-0.129364780264715,0.00721602698553629,7.20401325314607e-72,15705144,36326712,TRUE,59.3069250583649,"ok"
"2023H2",-0.139983531027122,0.00948556945850889,2.75194740457091e-49,15705144,36326712,TRUE,59.3069250583649,"ok"
"2024H1",-0.262770517910325,0.010645315513848,1.5829558090308e-134,15705144,36326712,TRUE,59.3069250583649,"ok"
"2024H2",-0.283752752533134,0.0111685793273193,2.14604809491009e-142,15705144,36326712,TRUE,59.3069250583649,"ok"
"2025H1",-0.474108626086225,0.013018358042937,2.17218701013643e-290,15705144,36326712,TRUE,59.3069250583649,"ok"
