"term","coef","se","pvalue","n_obs","n_emp_total","converged","elapsed_s","status"
"post_rb_x_high",0.00710359887132555,0.00643988998291455,0.270000177667519,16967730,45465068,TRUE,32.1837019920349,"ok"
"post_gpt_x_high",0.00576371868085525,0.00459128423243945,0.209347778570314,16967730,45465068,TRUE,32.1837019920349,"ok"
