band,coef,se,n_firms,status,t
22-25,-0.0216765108492799,0.0123635415257232,104333,ok,-1.7532606498049468
26-30,-0.0105151525735117,0.0086965766701872,104333,ok,-1.2091139964945947
31-34,0.0166959588478486,0.0066658160356432,104333,ok,2.5047134152176715
35-40,0.0183522534579272,0.0055769785426463,104333,ok,3.2907161678300048
41-49,0.0,0.0,104333,reference,
50-64,0.0392024060633972,0.0038526937431501,104333,ok,10.175323728520375
65-69,0.190233003653139,0.0320581750054436,104333,ok,5.933993548317605
