track,male,male_se,diff,diff_se,n_obs,n_firms,status
all,-9.12667540600385e-05,0.0138644255860855,-0.0658685782227958,0.0130758471363016,40520358,111459,ok
ict,-0.0897687270894805,0.0470368223547009,0.098616431891241,0.066729981704045,1751382,6247,ok
engineering,-0.0224538438635484,0.0190455297158267,-0.0580233859759407,0.0251687680106313,14277924,53559,ok
business_law_social,-0.0603432185999868,0.0204205582935141,-0.0326183308080011,0.0201969241660627,12505158,41870,ok
health_education_care,0.0607500021459939,0.0299581608508732,-0.105392962636035,0.0339098748325323,7390602,25115,ok
other,0.0408192037123424,0.0218834489754256,-0.0601770051590013,0.0198399938319742,23711400,71963,ok
