dimension,exposed,gender,cell,person_months,persons_avg,share,mean_score,scored_share,year
track,0,men,business_law_social,237264.0,19772.0,0.1324896192341798,61.0543561643718,0.982959909636523,2023
track,0,men,engineering,687239.0,57269.916666666664,0.38375831745599204,38.764419839060245,0.9837581976575834,2023
track,0,men,health_education_care,179068.0,14922.333333333334,0.09999262904202116,41.02566165377225,0.9904728929792034,2023
track,0,men,ict,22059.0,1838.25,0.012317875913272863,71.23370809109196,1.0,2023
track,0,men,na,3205.0,267.0833333333333,0.0017896909334983236,,0.0,2023
track,0,men,other,661977.0,55164.75,0.36965186742103584,39.73430349535374,0.9086524154162455,2023
track,0,women,business_law_social,307077.0,25589.75,0.19773912707509628,62.79261884429044,0.9796891333444054,2023
track,0,women,engineering,99734.0,8311.166666666666,0.06422270016871225,47.51660515677927,0.9709126275893878,2023
track,0,women,health_education_care,469423.0,39118.583333333336,0.3022801911213569,43.95552642224885,0.985403356887072,2023
track,0,women,ict,10085.0,840.4166666666666,0.0064941337076770515,72.25879060699164,1.0,2023
track,0,women,na,3724.0,310.3333333333333,0.0023980321197213028,,0.0,2023
track,0,women,other,662897.0,55241.416666666664,0.4268658158074362,42.96372486221711,0.9543473571308967,2023
track,1,men,business_law_social,101792.0,8482.666666666666,0.2779774323571499,66.52198095251127,0.9892329456145866,2023
track,1,men,engineering,132708.0,11059.0,0.36240401105443104,55.07835611930962,0.9792928836241975,2023
track,1,men,health_education_care,20237.0,1686.4166666666667,0.055263962773220314,46.22109790737116,0.9741068340168998,2023
track,1,men,ict,24645.0,2053.75,0.06730149540673097,76.14479350715779,1.0,2023
track,1,men,na,1666.0,138.83333333333334,0.00454957562781959,,0.0,2023
track,1,men,other,85140.0,7095.0,0.2325035227806482,47.594200905023506,0.9048390885600188,2023
track,1,women,business_law_social,159433.0,13286.083333333334,0.40573871661428446,67.37010230116148,0.9892870359335897,2023
track,1,women,engineering,45767.0,3813.9166666666665,0.11647177085851709,61.74935172304971,0.9804881246312845,2023
track,1,women,health_education_care,55862.0,4655.166666666667,0.14216238913842905,48.45745805686169,0.9750277469478358,2023
track,1,women,ict,10625.0,885.4166666666666,0.02703940755067503,77.00503677398427,1.0,2023
track,1,women,na,2187.0,182.25,0.005565664405960122,,0.0,2023
track,1,women,other,119071.0,9922.583333333334,0.3030220514321343,49.014903424564245,0.9441761638014294,2023
level,0,men,below_upper_secondary,180567.0,15047.25,0.10082967949734534,32.24799469627434,1.0,2023
level,0,men,na,54202.0,4516.833333333333,0.030266716997652463,,0.0,2023
level,0,men,post_secondary,351858.0,29321.5,0.19647958579683406,59.38564251767635,0.9273030597570611,2023
level,0,men,upper_secondary,1204185.0,100348.75,0.6724240177081682,39.884224782523965,0.9993314980671575,2023
level,0,women,below_upper_secondary,96766.0,8063.833333333333,0.06231148659961106,32.92008526248632,1.0,2023
level,0,women,na,21913.0,1826.0833333333333,0.01411065462928381,,0.0,2023
level,0,women,post_secondary,626219.0,52184.916666666664,0.4032473888237794,56.361549385768136,0.9552792234026755,2023
level,0,women,upper_secondary,808042.0,67336.83333333333,0.5203304699473257,43.10918526245791,0.9999269839934063,2023
level,1,men,below_upper_secondary,11977.0,998.0833333333334,0.032707243273946716,32.7968940105,1.0,2023
level,1,men,na,8780.0,731.6666666666666,0.023976755109397358,,0.0,2023
level,1,men,post_secondary,221529.0,18460.75,0.6049597474521284,66.46511821622188,0.9758496630238027,2023
level,1,men,upper_secondary,123902.0,10325.166666666666,0.3383562541645275,44.792538525733484,0.9999515746315637,2023
level,1,women,below_upper_secondary,7627.0,635.5833333333334,0.01940984107190574,33.20392149114293,1.0,2023
level,1,women,na,7372.0,614.3333333333334,0.018760895290689538,,0.0,2023
level,1,women,post_secondary,269785.0,22482.083333333332,0.6865719120996577,64.4813022771758,0.9797801953407342,2023
level,1,women,upper_secondary,108161.0,9013.416666666666,0.275257351537747,46.85056344275858,0.9999722635700483,2023
