"term","rb_x_high_x_young","post_x_high_x_young","post_x_high_x_female","post_x_high_x_young_x_female","q1_x_high_x_young","q1_x_high_x_young_x_female","q2_x_high_x_young","q2_x_high_x_young_x_female","q3_x_high_x_young","q3_x_high_x_young_x_female"
"rb_x_high_x_young",0.000358336358932826,-7.07351045628201e-05,-2.84365640548489e-05,2.76375127612213e-05,0.000112828134097495,5.76869547738932e-06,3.11254619548661e-05,-1.64489074000239e-05,9.8435128700442e-05,-2.93344551588428e-05
"post_x_high_x_young",-7.07351045628201e-05,0.000897491401566791,5.39489645846078e-05,-0.000759389674073607,-1.03489361962264e-05,0.000109039459774823,-8.13935812114985e-05,7.34251513722355e-05,-0.000332793509586508,9.33178213053268e-05
"post_x_high_x_female",-2.84365640548489e-05,5.39489645846078e-05,4.59925021754331e-05,-5.32276421309237e-05,-2.90309251995194e-06,1.50171189013144e-05,-1.76535105865965e-05,1.78549795397705e-06,-5.39473045229308e-05,1.93456193317133e-06
"post_x_high_x_young_x_female",2.76375127612213e-05,-0.000759389674073607,-5.32276421309237e-05,0.00114987961115801,-5.23487973284636e-05,-0.00014652210639031,8.70076253970938e-05,-0.000100341318296449,0.000340012174130354,-4.82938490840324e-05
"q1_x_high_x_young",0.000112828134097495,-1.03489361962264e-05,-2.90309251995194e-06,-5.23487973284636e-05,0.000375299997724477,-4.56130931128091e-05,0.00014166883301205,-5.7639138854786e-05,-2.09539753406143e-05,-5.61504299760435e-05
"q1_x_high_x_young_x_female",5.76869547738932e-06,0.000109039459774823,1.50171189013144e-05,-0.00014652210639031,-4.56130931128091e-05,0.000198139422757905,-0.000107020926496697,0.000126702033946384,-0.000176244742461601,3.83237674282498e-05
"q2_x_high_x_young",3.11254619548661e-05,-8.13935812114985e-05,-1.76535105865965e-05,8.70076253970938e-05,0.00014166883301205,-0.000107020926496697,0.000231538935051071,-0.000108357764364113,0.000294226517339449,-8.55101317064668e-05
"q2_x_high_x_young_x_female",-1.64489074000239e-05,7.34251513722355e-05,1.78549795397705e-06,-0.000100341318296449,-5.7639138854786e-05,0.000126702033946384,-0.000108357764364113,0.00015339301441142,-0.000149980332984207,8.28482612921757e-05
"q3_x_high_x_young",9.8435128700442e-05,-0.000332793509586508,-5.39473045229308e-05,0.000340012174130354,-2.09539753406143e-05,-0.000176244742461601,0.000294226517339449,-0.000149980332984207,0.0009928782934001,-0.000256040427114691
"q3_x_high_x_young_x_female",-2.93344551588428e-05,9.33178213053268e-05,1.93456193317133e-06,-4.82938490840324e-05,-5.61504299760435e-05,3.83237674282498e-05,-8.55101317064668e-05,8.28482612921757e-05,-0.000256040427114691,0.000234402475507813
