young_band,term,coef,se_employer,se_industry,coef_employer_run,coef_match_4dp,n_clusters_industry,n_obs,status
22-25,rb_x_high_x_young,0.0222660289769013,0.0101815884996887,0.0131873172737814,0.0222660289769013,True,5545,40520358,ok
22-25,rb_x_high_x_female,0.0113285290173532,0.0021270730390725,0.0040061903283924,0.0113285290173532,True,5545,40520358,ok
22-25,rb_x_high_x_young_x_female,0.0005647165101207,0.0101425522218826,0.0109390665995189,0.0005647165101207,True,5545,40520358,ok
22-25,interim_x_high_x_young,-0.0032057615364579,0.0108990550535227,0.0170441385004141,-0.0032057615364579,True,5545,40520358,ok
22-25,interim_x_high_x_female,0.0029312294211882,0.0022745165058457,0.0036308256753558,0.0029312294211882,True,5545,40520358,ok
22-25,interim_x_high_x_young_x_female,-0.0218893996912744,0.008736784035123,0.0087744051726982,-0.0218893996912744,True,5545,40520358,ok
22-25,post_x_high_x_young,-0.0046633533800271,0.0176858584219683,0.035307691798632,-0.0046633533800271,True,5545,40520358,ok
22-25,post_x_high_x_female,0.0063689173879476,0.0040861452829857,0.0076419980245082,0.0063689173879476,True,5545,40520358,ok
22-25,post_x_high_x_young_x_female,-0.0746192939363766,0.0142379617768609,0.0178659532473588,-0.0746192939363766,True,5545,40520358,ok
22-25,q1_x_high_x_young,-0.133952583178539,0.0110718704825118,0.0359037825259067,-0.133952583178539,True,5545,40520358,ok
22-25,q1_x_high_x_female,0.0013830212439119,0.0013320373018552,0.0024025810684763,0.0013830212439119,True,5545,40520358,ok
22-25,q1_x_high_x_young_x_female,0.0135867422673342,0.0072305334759381,0.0190307977375651,0.0135867422673342,True,5545,40520358,ok
22-25,q2_x_high_x_young,-0.125898926854794,0.0094534583649476,0.0259637794104155,-0.125898926854794,True,5545,40520358,ok
22-25,q2_x_high_x_female,-0.0011982416770788,0.0010484508752798,0.0018708170851638,-0.0011982416770788,True,5545,40520358,ok
22-25,q2_x_high_x_young_x_female,0.0051058843017377,0.0058584362080311,0.0124209541322714,0.0051058843017377,True,5545,40520358,ok
22-25,q3_x_high_x_young,-0.0653685050581476,0.012307223474228,0.031663586342794,-0.0653685050581476,True,5545,40520358,ok
22-25,q3_x_high_x_female,0.0036375897545698,0.0012780575143581,0.0020502800516566,0.0036375897545698,True,5545,40520358,ok
22-25,q3_x_high_x_young_x_female,-0.0517289678487386,0.0071092154468086,0.0137945280599499,-0.0517289678487386,True,5545,40520358,ok
