group,n_occ,n_obs,beta1_rb,se_rb,p_rb,beta2_gpt,se_gpt,p_gpt
Teleworkable,187,13562,-0.13798298061336786,0.047075603857302833,0.0033777146863909822,-0.004694566596004731,0.045021001643915225,0.9169510877753715
Non-teleworkable,182,13110,-0.16247526552865219,0.12747834926382698,0.2024748557334365,-0.23296745037497268,0.07300480262899715,0.0014171995404281624
All,369,26672,-0.1101261987013139,0.03727098343684046,0.0031292902876224986,-0.062044280823342214,0.03567005768962364,0.08196550016490618
