variable,coefficient,std_error,t_stat,p_value
post_rb_x_high,-0.12711112004522548,0.03881507106132909,-3.2747877710795823,0.0010587842444187423
post_gpt_x_high,-0.061534274209258194,0.0379779167136574,-1.620264604644035,0.10518747199671097
