year_month,coef,se,date,ci_lo,ci_hi
2020-01,-0.020602003358377436,0.048143501562681885,2020-01-01,-0.11496326642123393,0.07375925970447907
2020-02,0.0,0.0,2020-02-01,0.0,0.0
2020-03,0.05179413481049502,0.050679961654494635,2020-03-01,-0.04753859003231447,0.1511268596533045
2020-04,0.05258085321296173,0.07070326668932125,2020-04-01,-0.08599754949810794,0.19115925592403138
2020-05,0.1326727278729351,0.07345764002359566,2020-05-01,-0.011304246573312388,0.2766497023191826
2020-06,0.025696142478016916,0.07028640717678225,2020-06-01,-0.11206521558847629,0.1634575005445101
2020-07,0.009088575831686844,0.061356419468017565,2020-07-01,-0.11117000632562758,0.12934715798900126
2020-08,-0.20856975458351185,0.06448301538810637,2020-08-01,-0.3349564647442003,-0.08218304442282337
2020-09,-0.10989622240188208,0.057239754457761076,2020-09-01,-0.2220861411390938,0.002293696335329623
2020-10,0.06947363681459162,0.059915384210670074,2020-10-01,-0.04796051623832172,0.18690778986750495
2020-11,0.15544841974869655,0.06280962352259604,2020-11-01,0.03234155764440831,0.2785552818529848
2020-12,0.25865036024681526,0.06801708887150079,2020-12-01,0.1253368660586737,0.39196385443495685
2021-01,-0.011912801753765826,0.06011247837244326,2021-01-01,-0.1297332593637546,0.10590765585622296
2021-02,0.009964659290902452,0.054337119703634994,2021-02-01,-0.09653609532822213,0.11646541391002704
2021-03,-0.02214376078936491,0.05722371058248789,2021-03-01,-0.13430223353104118,0.09001471195231135
2021-04,0.03062447042604063,0.05899376736617248,2021-04-01,-0.08500331361165742,0.14625225446373868
2021-05,0.04260894182240107,0.058856196754350505,2021-05-01,-0.07274920381612593,0.15796708746092805
2021-06,-0.015505094294841584,0.05710157721893897,2021-06-01,-0.12742418564396196,0.0964139970542788
2021-07,-0.0708024972727744,0.07242711302918114,2021-07-01,-0.21275963880996945,0.07115464426442064
2021-08,-0.18024717173545224,0.06791522296166949,2021-08-01,-0.31336100874032446,-0.04713333473058004
2021-09,-0.06766713486897695,0.06479484992350694,2021-09-01,-0.19466504071905055,0.05933077098109664
2021-10,0.07321857496686629,0.06735949235076562,2021-10-01,-0.05880603004063431,0.2052431799743669
2021-11,0.0025716054873760404,0.07249996640075937,2021-11-01,-0.13952832865811232,0.1446715396328644
2021-12,0.1390537669863604,0.06621894799059524,2021-12-01,0.009264628924793739,0.26884290504792707
2022-01,-0.14632194048921962,0.06867416178175617,2022-01-01,-0.28092329758146173,-0.01172058339697754
2022-02,-0.05741348274389264,0.06387949023261247,2022-02-01,-0.18261728359981305,0.06779031811202779
2022-03,-0.07845373133567857,0.057015079591849635,2022-03-01,-0.19020328733570385,0.03329582466434672
2022-04,-0.11427248368382248,0.06358453204856811,2022-04-01,-0.23889816649901596,0.010353199131371005
2022-05,-0.1340231692398482,0.06933753503038521,2022-05-01,-0.2699247378994032,0.0018783994197068277
2022-06,-0.1067438451690828,0.07415259386803151,2022-06-01,-0.2520829291504246,0.03859523881225897
2022-07,-0.21646010762051868,0.07955045304693487,2022-07-01,-0.372378995592511,-0.06054121964852635
2022-08,-0.23264831920421727,0.07428428633092,2022-08-01,-0.37824552041282045,-0.08705111799561407
2022-09,-0.11661808539451879,0.06826522887185388,2022-09-01,-0.2504179339833524,0.017181763194314803
2022-10,-0.0778398292413719,0.06808518613958622,2022-10-01,-0.2112867940749609,0.05560713559221711
2022-11,0.000725980971908416,0.07131551300445416,2022-11-01,-0.1390524245168217,0.14050438646063856
2022-12,-0.01304283403260457,0.07586286091858653,2022-12-01,-0.16173404143303416,0.13564837336782504
2023-01,-0.20079201358185128,0.07292457281226031,2023-01-01,-0.3437241762938815,-0.05785985086982107
2023-02,-0.21107696280239213,0.06828424056658368,2023-02-01,-0.3449140743128961,-0.07723985129188812
2023-03,-0.2101937427963538,0.07011368446877732,2023-03-01,-0.3476165643551573,-0.07277092123755027
2023-04,-0.21258412326475926,0.07282707671177331,2023-04-01,-0.35532519361983494,-0.06984305290968357
2023-05,-0.1255156232814227,0.08181992620875084,2023-05-01,-0.2858826786505744,0.03485143208772892
2023-06,-0.07188759726410043,0.07905013515111042,2023-06-01,-0.22682586216027686,0.083050667632076
