exposure_quartile,mean,median,std,count
Q1 (lowest),-0.1582657117741214,-0.11150763982899448,0.3291136744784212,96
Q2,-0.12804092128093736,-0.12639379582859434,0.20639303246562568,95
Q3,-0.08792501800640283,-0.08691373504257172,0.2937412161797236,73
Q4 (highest),-0.1530312582724265,-0.16652197162980498,0.2085923678178445,89
