variable,coefficient,std_error,p_value
post_high,0.02019545922467912,0.011579006159679685,0.08122625745375811
post_young,0.33860968914927353,0.028772725301133267,0.0
post_young_high,0.03751788107724499,0.05348697347821556,0.4830777783312006
