grp,n_workers,mean_daioe,edu_quartile
01Z,116362.0,24.968536576332045,1
83T,63471.0,26.29978512404326,1
63Z,84264.0,29.186714246873276,1
53R,34894.0,29.465599901022813,1
53F,108582.0,30.793372056495365,1
53B,163965.0,31.92353191376013,1
53I,252922.0,32.852537459201734,1
73O,247055.0,33.060270392656214,1
75Y,10460.0,33.18152737437668,1
02Z,426245.0,33.817962941431105,2
75T,3811.0,33.939779672894254,2
73T,12801.0,34.32709155760175,2
73X,13022.0,35.921237123356626,2
83R,114198.0,36.18773122822107,2
93Z,72716.0,37.6632773725374,2
75V,10299.0,39.24227632558113,2
83X,92291.0,39.788904406998626,2
03T,24051.0,40.015042126955635,2
75N,67520.0,40.547636914807164,2
45X,4050.0,40.609432116753084,2
75SD,17926.0,40.7206749761899,2
75SB,6387.0,40.929749479051196,2
74P,50444.0,41.287441668182936,2
53E,170585.0,41.69992368115913,2
23X,22104.0,42.42993816069535,2
75R,4464.0,42.68674428319892,2
73B,116354.0,42.85606922497318,2
75SA,19585.0,43.06436264406943,2
13Z,2649.0,43.45571904949038,2
85T,12818.0,43.59330353488454,2
75SP,5852.0,43.69601502235133,2
64P,3971.0,44.57876623579451,2
23E,62805.0,45.26909779706966,2
75SX,25656.0,45.38548809758341,2
95Z,35322.0,45.40638303133655,2
65V,4157.0,46.00497470911716,2
75M,9399.0,46.34201060078732,2
03A,404214.0,46.43596857811709,3
55T,24155.0,48.66997274858663,3
75L,19957.0,49.02294020383926,3
43Z,22625.0,49.235465728762875,3
75X,13765.0,49.290949536605886,3
03N,72319.0,49.31983586933088,3
75F,13180.0,50.37719053253263,3
33H,244627.0,51.59649648996713,3
84P,10631.0,51.68293131277302,3
75O,20912.0,52.02711787720495,3
53A,40652.0,52.593609287109125,3
14P,64346.0,53.5376351989039,3
75J,6214.0,53.54781429188606,3
75HS,26456.0,53.63889408208724,3
75D,12022.0,55.08050979429131,3
83H,23117.0,56.41549052655578,3
15V,13374.0,56.722161505724536,3
25K,34226.0,58.12077258220885,3
24P,63720.0,58.318806625384966,3
75P,55792.0,58.33163223624928,3
75B,12829.0,59.14892975380622,3
33E,131335.0,59.41914265391,3
65S,3296.0,59.552048128073416,3
15B,79446.0,61.529166143658095,3
25T,7491.0,61.92514408326926,3
15F,18514.0,62.198534806208286,3
54P,96762.0,62.46560112012918,3
65J,4820.0,63.08841307029044,3
55L,3786.0,63.81878789093502,3
34P,162785.0,63.830976568918324,4
75A,5969.0,63.972610461467575,4
55Q,70503.0,64.35017216882913,4
15S,23769.0,65.88869213829736,4
55K,4980.0,65.92652207598996,4
85P,9528.0,66.0328400962164,4
75H,36842.0,66.1041056930316,4
44P,45909.0,66.76080347626936,4
25H,35968.0,67.20379744451208,4
15G,112884.0,67.4455112689793,4
25M,15590.0,67.72219479812188,4
55H,21080.0,68.03961187397438,4
15P,22832.0,68.708928957101,4
55I,25136.0,69.84376065179265,4
45Q,14862.0,70.30322511886692,4
45B,22820.0,70.3568355158957,4
35F,44330.0,70.45779065265982,4
35Y,53110.0,71.86394779023347,4
15H,73782.0,72.23392408504256,4
35S,52096.0,72.48959300408822,4
45G,5214.0,73.73606418309551,4
35J,53269.0,73.78063148380052,4
45K,7644.0,74.54598115767922,4
55J,30567.0,75.76401446353846,4
45DL,24080.0,76.10730187411627,4
35E,182683.0,76.27819831065332,4
55G,18506.0,76.4204969118086,4
35M,23762.0,76.72000502362091,4
55C,20477.0,77.04450801780436,4
35V,14833.0,77.31604601067214,4
35P,17149.0,77.48386457770714,4
55F,17954.0,77.48762571623594,4
35B,7711.0,78.74893801234602,4
55D,31567.0,80.16949096908701,4
45FM,11119.0,81.4868742067587,4
55A,9774.0,82.2855016664385,4
55B,14836.0,82.77487615954436,4
55E,48242.0,86.02523366431284,4
45DH,42961.0,86.13035139241428,4
