"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young","rb_x_highwfh_x_young","q1_x_highwfh_x_young","q2_x_highwfh_x_young","q3_x_highwfh_x_young","interim_x_highwfh_x_young","post_x_highwfh_x_young"
"rb_x_high_x_young",9.38904509903992e-05,1.30367354629176e-05,-1.6568982457786e-05,-1.22299012695532e-05,2.55340448217305e-05,7.50147200301547e-05,-2.11380068601534e-05,-5.48482993728832e-06,-6.34461046811689e-08,-1.76826646070614e-06,-5.27067181966553e-06,-2.10420695437193e-05
"q1_x_high_x_young",1.30367354629176e-05,0.000190145422793087,9.40355762198827e-05,-1.33614523433512e-05,2.3589366120268e-05,5.85198962590178e-05,-5.73795911637611e-06,-3.05317887359973e-05,-1.79716955992447e-05,-1.28798135618457e-05,-8.23843118075517e-06,-1.87830856261283e-05
"q2_x_high_x_young",-1.6568982457786e-05,9.40355762198827e-05,0.000132617654963993,6.36967021032734e-05,1.69015496377749e-05,1.69498502542732e-05,-2.98429576603585e-07,-1.82264683778113e-05,-2.29229083337815e-05,-1.07578903592144e-05,-8.96387080847827e-06,-1.02308831708496e-05
"q3_x_high_x_young",-1.22299012695532e-05,-1.33614523433512e-05,6.36967021032734e-05,0.000210542516792758,2.96972205984158e-06,-1.795092490567e-05,-2.06864841938178e-06,-1.2819557698666e-05,-1.06286624418149e-05,-3.59783102077228e-05,-9.64595040566237e-06,-8.36418735383378e-06
"interim_x_high_x_young",2.55340448217305e-05,2.3589366120268e-05,1.69015496377749e-05,2.96972205984158e-06,0.000144155783440875,0.000195457644230751,-5.21985491227402e-06,-8.22540245749027e-06,-8.8569896017636e-06,-1.01554194825889e-05,-2.8029716604361e-05,-4.22488263160638e-05
"post_x_high_x_young",7.50147200301547e-05,5.85198962590178e-05,1.69498502542732e-05,-1.795092490567e-05,0.000195457644230751,0.000563098295828402,-2.09284922514308e-05,-1.84696018164356e-05,-9.96677463797196e-06,-8.84632247574608e-06,-4.23500127602127e-05,-0.000154255538917864
"rb_x_highwfh_x_young",-2.11380068601534e-05,-5.73795911637611e-06,-2.98429576603585e-07,-2.06864841938178e-06,-5.21985491227402e-06,-2.09284922514308e-05,1.14963817740835e-05,2.44292978702682e-06,2.59618848789901e-08,1.0911043188476e-06,2.63254286515166e-06,8.4787547580034e-06
"q1_x_highwfh_x_young",-5.48482993728832e-06,-3.05317887359973e-05,-1.82264683778113e-05,-1.2819557698666e-05,-8.22540245749027e-06,-1.84696018164356e-05,2.44292978702682e-06,1.51439732465792e-05,8.63794632310546e-06,5.8245484749149e-06,3.87600802717114e-06,9.50563612711503e-06
"q2_x_highwfh_x_young",-6.34461046811689e-08,-1.79716955992447e-05,-2.29229083337815e-05,-1.06286624418149e-05,-8.8569896017636e-06,-9.96677463797196e-06,2.59618848789901e-08,8.63794632310546e-06,1.0085158657945e-05,5.52034652024173e-06,3.39376186143187e-06,4.92999503852211e-06
"q3_x_highwfh_x_young",-1.76826646070614e-06,-1.28798135618457e-05,-1.07578903592144e-05,-3.59783102077228e-05,-1.01554194825889e-05,-8.84632247574608e-06,1.0911043188476e-06,5.8245484749149e-06,5.52034652024173e-06,1.71841699387253e-05,4.48140214141888e-06,3.84763674250952e-06
"interim_x_highwfh_x_young",-5.27067181966553e-06,-8.23843118075517e-06,-8.96387080847827e-06,-9.64595040566237e-06,-2.8029716604361e-05,-4.23500127602127e-05,2.63254286515166e-06,3.87600802717114e-06,3.39376186143187e-06,4.48140214141888e-06,1.5257974734239e-05,2.12647622812179e-05
"post_x_highwfh_x_young",-2.10420695437193e-05,-1.87830856261283e-05,-1.02308831708496e-05,-8.36418735383378e-06,-4.22488263160638e-05,-0.000154255538917864,8.4787547580034e-06,9.50563612711503e-06,4.92999503852211e-06,3.84763674250952e-06,2.12647622812179e-05,6.83055207071313e-05
