"term","rb_x_highwfh_x_young","q1_x_highwfh_x_young","q2_x_highwfh_x_young","q3_x_highwfh_x_young","interim_x_highwfh_x_young","post_x_highwfh_x_young"
"rb_x_highwfh_x_young",7.05108060570564e-06,-1.86980541727214e-07,-1.83429019610501e-06,-1.17772651696782e-06,1.5718383124963e-06,2.30778130501485e-06
"q1_x_highwfh_x_young",-1.86980541727214e-07,1.13485260238589e-05,5.96515816011381e-06,-1.62598164529877e-06,5.31183770357879e-07,2.47420768151277e-06
"q2_x_highwfh_x_young",-1.83429019610501e-06,5.96515816011381e-06,8.82737575667288e-06,5.68208813324707e-06,-5.72471304132466e-07,2.10217631674593e-07
"q3_x_highwfh_x_young",-1.17772651696782e-06,-1.62598164529877e-06,5.68208813324707e-06,1.43361959915087e-05,-9.59914201902856e-07,-2.41574522182194e-06
"interim_x_highwfh_x_young",1.5718383124963e-06,5.31183770357879e-07,-5.72471304132466e-07,-9.59914201902856e-07,1.06804893480905e-05,1.24885765093415e-05
"post_x_highwfh_x_young",2.30778130501485e-06,2.47420768151277e-06,2.10217631674593e-07,-2.41574522182194e-06,1.24885765093415e-05,2.51793245776053e-05
