ssyk4,year_month,n_ads
1112,2023-01,8
1112,2023-02,13
1112,2023-03,18
1112,2023-04,14
1112,2023-05,20
1112,2023-06,9
1112,2023-07,6
1112,2023-08,8
1112,2023-09,19
1112,2023-10,13
1112,2023-11,15
1112,2023-12,7
1112,2024-01,6
1112,2024-02,21
1112,2024-03,17
1112,2024-04,5
1112,2024-05,25
1112,2024-06,14
1112,2024-07,5
1112,2024-08,10
1112,2024-09,16
1112,2024-10,9
1112,2024-11,15
1112,2024-12,14
1112,2025-01,9
1112,2025-02,20
1112,2025-03,9
1112,2025-04,12
1112,2025-05,10
1112,2025-06,12
1112,2025-07,7
1112,2025-08,4
1112,2025-09,15
1112,2025-10,13
1112,2025-11,7
1112,2025-12,14
1113,2020-01,26
1113,2020-02,39
1113,2020-03,24
1113,2020-04,32
1113,2020-05,18
1113,2020-06,14
1113,2020-07,15
1113,2020-08,21
1113,2020-09,30
1113,2020-10,23
1113,2020-11,18
1113,2020-12,15
1113,2021-01,25
1113,2021-02,29
1113,2021-03,34
1113,2021-04,16
1113,2021-05,20
1113,2021-06,22
1113,2021-07,14
1113,2021-08,18
1113,2021-09,20
1113,2021-10,28
1113,2021-11,19
1113,2021-12,26
1113,2022-01,22
1113,2022-02,32
1113,2022-03,34
1113,2022-04,17
1113,2022-05,23
1113,2022-06,26
1113,2022-07,12
1113,2022-08,19
1113,2022-09,16
1113,2022-10,30
1113,2022-11,27
1113,2022-12,30
1113,2023-01,22
1113,2023-02,19
1113,2023-03,25
1113,2023-04,29
1113,2023-05,19
1113,2023-06,23
1113,2023-07,19
1113,2023-08,16
1113,2023-09,16
1113,2023-10,17
1113,2023-11,17
1113,2023-12,15
1113,2024-01,19
1113,2024-02,26
1113,2024-03,27
1113,2024-04,24
1113,2024-05,22
1113,2024-06,21
1113,2024-07,18
1113,2024-08,17
1113,2024-09,21
1113,2024-10,49
1113,2024-11,38
1113,2024-12,34
1113,2025-01,36
1113,2025-02,27
1113,2025-03,28
1113,2025-04,25
1113,2025-05,23
1113,2025-06,23
1113,2025-07,14
1113,2025-08,30
1113,2025-09,28
1113,2025-10,35
1113,2025-11,23
1113,2025-12,22
1120,2020-01,79
1120,2020-02,65
1120,2020-03,89
1120,2020-04,76
1120,2020-05,67
1120,2020-06,44
1120,2020-07,48
1120,2020-08,50
1120,2020-09,76
1120,2020-10,64
1120,2020-11,67
1120,2020-12,74
1120,2021-01,69
1120,2021-02,87
1120,2021-03,92
1120,2021-04,119
1120,2021-05,87
1120,2021-06,87
1120,2021-07,66
1120,2021-08,83
1120,2021-09,126
1120,2021-10,114
1120,2021-11,105
1120,2021-12,131
1120,2022-01,94
1120,2022-02,117
1120,2022-03,124
1120,2022-04,112
1120,2022-05,100
1120,2022-06,125
1120,2022-07,84
1120,2022-08,101
1120,2022-09,112
1120,2022-10,95
1120,2022-11,97
1120,2022-12,96
1120,2023-01,103
1120,2023-02,82
1120,2023-03,113
1120,2023-04,93
1120,2023-05,91
1120,2023-06,76
1120,2023-07,74
1120,2023-08,69
1120,2023-09,89
1120,2023-10,79
1120,2023-11,103
1120,2023-12,102
1120,2024-01,81
1120,2024-02,98
1120,2024-03,99
1120,2024-04,112
1120,2024-05,147
1120,2024-06,113
1120,2024-07,76
1120,2024-08,67
1120,2024-09,98
1120,2024-10,104
1120,2024-11,104
1120,2024-12,93
1120,2025-01,103
1120,2025-02,104
1120,2025-03,101
1120,2025-04,90
1120,2025-05,82
1120,2025-06,113
1120,2025-07,61
1120,2025-08,61
1120,2025-09,92
1120,2025-10,92
1120,2025-11,76
1120,2025-12,84
1210,2020-01,156
1210,2020-02,172
1210,2020-03,163
1210,2020-04,111
1210,2020-05,96
1210,2020-06,85
1210,2020-07,64
1210,2020-08,84
1210,2020-09,120
1210,2020-10,129
1210,2020-11,99
1210,2020-12,132
1210,2021-01,85
1210,2021-02,140
1210,2021-03,163
1210,2021-04,125
1210,2021-05,145
1210,2021-06,135
1210,2021-07,117
1210,2021-08,122
1210,2021-09,162
1210,2021-10,175
1210,2021-11,191
1210,2021-12,205
1210,2022-01,203
1210,2022-02,191
1210,2022-03,217
1210,2022-04,167
1210,2022-05,187
1210,2022-06,170
1210,2022-07,120
1210,2022-08,161
1210,2022-09,180
1210,2022-10,176
1210,2022-11,220
1210,2022-12,160
1210,2023-01,172
1210,2023-02,161
1210,2023-03,163
1210,2023-04,146
1210,2023-05,203
1210,2023-06,124
1210,2023-07,97
1210,2023-08,124
1210,2023-09,150
1210,2023-10,143
1210,2023-11,138
1210,2023-12,160
1210,2024-01,120
1210,2024-02,159
1210,2024-03,151
1210,2024-04,151
1210,2024-05,161
1210,2024-06,110
1210,2024-07,102
1210,2024-08,121
1210,2024-09,140
1210,2024-10,164
1210,2024-11,157
1210,2024-12,116
1210,2025-01,117
1210,2025-02,115
1210,2025-03,142
1210,2025-04,125
1210,2025-05,115
1210,2025-06,93
1210,2025-07,80
1210,2025-08,102
1210,2025-09,87
1210,2025-10,136
1210,2025-11,85
1210,2025-12,94
1220,2020-01,44
1220,2020-02,60
1220,2020-03,35
1220,2020-04,35
1220,2020-05,28
1220,2020-06,32
1220,2020-07,22
1220,2020-08,23
1220,2020-09,42
1220,2020-10,53
1220,2020-11,44
1220,2020-12,57
1220,2021-01,29
1220,2021-02,66
1220,2021-03,64
1220,2021-04,78
1220,2021-05,66
1220,2021-06,69
1220,2021-07,49
1220,2021-08,57
1220,2021-09,116
1220,2021-10,82
1220,2021-11,94
1220,2021-12,89
1220,2022-01,66
1220,2022-02,115
1220,2022-03,127
1220,2022-04,95
1220,2022-05,90
1220,2022-06,74
1220,2022-07,61
1220,2022-08,83
1220,2022-09,83
1220,2022-10,75
1220,2022-11,88
1220,2022-12,82
1220,2023-01,116
1220,2023-02,95
1220,2023-03,118
1220,2023-04,68
1220,2023-05,82
1220,2023-06,82
1220,2023-07,42
1220,2023-08,44
1220,2023-09,68
1220,2023-10,70
1220,2023-11,51
1220,2023-12,57
1220,2024-01,56
1220,2024-02,70
1220,2024-03,42
1220,2024-04,54
1220,2024-05,39
1220,2024-06,29
1220,2024-07,48
1220,2024-08,51
1220,2024-09,66
1220,2024-10,50
1220,2024-11,55
1220,2024-12,68
1220,2025-01,40
1220,2025-02,57
1220,2025-03,53
1220,2025-04,58
1220,2025-05,49
1220,2025-06,36
1220,2025-07,38
1220,2025-08,35
1220,2025-09,43
1220,2025-10,46
1220,2025-11,41
1220,2025-12,35
1230,2020-01,161
1230,2020-02,183
1230,2020-03,185
1230,2020-04,126
1230,2020-05,136
1230,2020-06,124
1230,2020-07,89
1230,2020-08,93
1230,2020-09,131
1230,2020-10,182
1230,2020-11,160
1230,2020-12,187
1230,2021-01,121
1230,2021-02,156
1230,2021-03,214
1230,2021-04,183
1230,2021-05,171
1230,2021-06,158
1230,2021-07,116
1230,2021-08,115
1230,2021-09,179
1230,2021-10,252
1230,2021-11,211
1230,2021-12,293
1230,2022-01,174
1230,2022-02,267
1230,2022-03,295
1230,2022-04,295
1230,2022-05,329
1230,2022-06,195
1230,2022-07,139
1230,2022-08,171
1230,2022-09,249
1230,2022-10,227
1230,2022-11,239
1230,2022-12,251
1230,2023-01,228
1230,2023-02,246
1230,2023-03,268
1230,2023-04,214
1230,2023-05,278
1230,2023-06,197
1230,2023-07,109
1230,2023-08,159
1230,2023-09,217
1230,2023-10,210
1230,2023-11,186
1230,2023-12,213
1230,2024-01,173
1230,2024-02,173
1230,2024-03,226
1230,2024-04,161
1230,2024-05,201
1230,2024-06,123
1230,2024-07,129
1230,2024-08,140
1230,2024-09,188
1230,2024-10,232
1230,2024-11,203
1230,2024-12,224
1230,2025-01,183
1230,2025-02,250
1230,2025-03,227
1230,2025-04,250
1230,2025-05,229
1230,2025-06,131
1230,2025-07,126
1230,2025-08,159
1230,2025-09,219
1230,2025-10,247
1230,2025-11,261
1230,2025-12,258
1240,2020-01,30
1240,2020-02,16
1240,2020-03,17
1240,2020-04,13
1240,2020-05,14
1240,2020-06,15
1240,2020-07,6
1240,2020-08,7
1240,2020-09,14
1240,2020-10,15
1240,2020-11,15
1240,2020-12,18
1240,2021-01,12
1240,2021-02,12
1240,2021-03,25
1240,2021-04,25
1240,2021-05,31
1240,2021-06,27
1240,2021-07,14
1240,2021-08,18
1240,2021-09,28
1240,2021-10,22
1240,2021-11,30
1240,2021-12,34
1240,2022-01,25
1240,2022-02,25
1240,2022-03,27
1240,2022-04,19
1240,2022-05,34
1240,2022-06,22
1240,2022-07,20
1240,2022-08,16
1240,2022-09,28
1240,2022-10,22
1240,2022-11,19
1240,2022-12,19
1240,2023-01,17
1240,2023-02,14
1240,2023-03,23
1240,2023-04,14
1240,2023-05,25
1240,2023-06,23
1240,2023-07,14
1240,2023-08,12
1240,2023-09,15
1240,2023-10,18
1240,2023-11,23
1240,2023-12,22
1240,2024-01,10
1240,2024-02,20
1240,2024-03,20
1240,2024-04,17
1240,2024-05,16
1240,2024-06,15
1240,2024-07,9
1240,2024-08,15
1240,2024-09,13
1240,2024-10,26
1240,2024-11,14
1240,2024-12,20
1240,2025-01,13
1240,2025-02,10
1240,2025-03,24
1240,2025-04,27
1240,2025-05,17
1240,2025-06,10
1240,2025-07,7
1240,2025-08,16
1240,2025-09,13
1240,2025-10,17
1240,2025-11,12
1240,2025-12,12
1250,2020-01,184
1250,2020-02,208
1250,2020-03,174
1250,2020-04,80
1250,2020-05,96
1250,2020-06,107
1250,2020-07,87
1250,2020-08,107
1250,2020-09,144
1250,2020-10,168
1250,2020-11,183
1250,2020-12,152
1250,2021-01,131
1250,2021-02,209
1250,2021-03,258
1250,2021-04,225
1250,2021-05,241
1250,2021-06,212
1250,2021-07,161
1250,2021-08,182
1250,2021-09,485
1250,2021-10,371
1250,2021-11,332
1250,2021-12,332
1250,2022-01,461
1250,2022-02,396
1250,2022-03,464
1250,2022-04,316
1250,2022-05,333
1250,2022-06,312
1250,2022-07,244
1250,2022-08,300
1250,2022-09,308
1250,2022-10,354
1250,2022-11,368
1250,2022-12,363
1250,2023-01,385
1250,2023-02,332
1250,2023-03,308
1250,2023-04,375
1250,2023-05,291
1250,2023-06,253
1250,2023-07,161
1250,2023-08,198
1250,2023-09,251
1250,2023-10,277
1250,2023-11,223
1250,2023-12,215
1250,2024-01,198
1250,2024-02,225
1250,2024-03,189
1250,2024-04,193
1250,2024-05,202
1250,2024-06,202
1250,2024-07,192
1250,2024-08,139
1250,2024-09,217
1250,2024-10,232
1250,2024-11,174
1250,2024-12,198
1250,2025-01,247
1250,2025-02,292
1250,2025-03,252
1250,2025-04,185
1250,2025-05,194
1250,2025-06,169
1250,2025-07,138
1250,2025-08,148
1250,2025-09,192
1250,2025-10,182
1250,2025-11,161
1250,2025-12,181
1290,2020-01,119
1290,2020-02,113
1290,2020-03,93
1290,2020-04,77
1290,2020-05,73
1290,2020-06,76
1290,2020-07,63
1290,2020-08,59
1290,2020-09,108
1290,2020-10,109
1290,2020-11,102
1290,2020-12,118
1290,2021-01,79
1290,2021-02,110
1290,2021-03,172
1290,2021-04,156
1290,2021-05,180
1290,2021-06,131
1290,2021-07,100
1290,2021-08,108
1290,2021-09,180
1290,2021-10,172
1290,2021-11,196
1290,2021-12,223
1290,2022-01,142
1290,2022-02,178
1290,2022-03,200
1290,2022-04,207
1290,2022-05,205
1290,2022-06,184
1290,2022-07,146
1290,2022-08,163
1290,2022-09,204
1290,2022-10,227
1290,2022-11,160
1290,2022-12,169
1290,2023-01,142
1290,2023-02,182
1290,2023-03,212
1290,2023-04,136
1290,2023-05,170
1290,2023-06,139
1290,2023-07,91
1290,2023-08,144
1290,2023-09,159
1290,2023-10,164
1290,2023-11,170
1290,2023-12,147
1290,2024-01,111
1290,2024-02,159
1290,2024-03,145
1290,2024-04,157
1290,2024-05,147
1290,2024-06,134
1290,2024-07,192
1290,2024-08,172
1290,2024-09,137
1290,2024-10,156
1290,2024-11,188
1290,2024-12,148
1290,2025-01,124
1290,2025-02,147
1290,2025-03,142
1290,2025-04,150
1290,2025-05,123
1290,2025-06,97
1290,2025-07,104
1290,2025-08,105
1290,2025-09,127
1290,2025-10,143
1290,2025-11,133
1290,2025-12,141
1310,2020-01,48
1310,2020-02,73
1310,2020-03,53
1310,2020-04,53
1310,2020-05,34
1310,2020-06,21
1310,2020-07,33
1310,2020-08,28
