ssyk4,year_month,n_ads
2619,2026-03,42
2181,2026-03,38
2611,2026-03,7
5149,2026-03,43
2250,2026-03,44
6129,2026-03,18
5341,2026-04,29
3214,2026-04,10
8321,2026-03,156
3113,2026-01,279
5131,2026-02,422
8191,2026-01,72
8111,2026-03,10
7213,2026-03,16
2654,2026-03,20
5143,2026-03,37
3511,2026-02,189
2228,2026-04,116
2272,2026-04,200
5330,2026-04,159
5321,2026-04,851
2221,2026-04,2111
2241,2026-04,212
2342,2026-04,411
2351,2026-04,353
2224,2026-04,145
2311,2026-04,11
4117,2026-04,116
2273,2026-04,221
5120,2026-04,579
8191,2026-04,39
2260,2026-04,83
1510,2026-04,179
2212,2026-04,84
2211,2026-04,411
5149,2026-02,41
5312,2026-04,231
2314,2026-04,179
0210,2026-04,12
2421,2026-04,341
2512,2026-04,1003
5342,2026-04,389
4322,2026-04,702
5230,2026-04,50
2352,2026-04,81
8329,2026-04,126
5152,2026-04,270
2511,2026-04,337
9120,2026-04,98
2219,2026-04,173
3423,2026-04,69
2661,2026-04,543
2341,2026-04,1787
8332,2026-04,823
1590,2026-04,109
1530,2026-04,86
2516,2026-04,96
2235,2026-04,56
5223,2026-04,844
5411,2026-04,25
1520,2026-04,122
2283,2026-04,26
5222,2026-04,524
2623,2026-04,26
2134,2026-04,27
2615,2026-04,66
2330,2026-04,562
3313,2026-04,228
4111,2026-04,155
2613,2026-04,6
2422,2026-04,540
1230,2026-04,236
9412,2026-04,573
2412,2026-04,217
2515,2026-04,169
5141,2026-04,55
6130,2026-04,3
9111,2026-02,853
5141,2026-02,67
3342,2026-03,15
2281,2026-02,137
9412,2026-02,762
8121,2026-03,17
1530,2026-02,112
3213,2026-02,152
9629,2026-03,33
3122,2026-03,34
2133,2026-03,34
2235,2026-02,78
5222,2026-02,757
3353,2026-03,29
3360,2026-03,13
4225,2026-02,223
4221,2026-03,30
8142,2026-03,54
4226,2026-03,19
8321,2026-02,243
3214,2026-03,14
4116,2026-03,29
2672,2026-03,13
7132,2026-02,60
0210,2026-03,43
2281,2026-01,123
2173,2026-03,23
2163,2026-03,23
1380,2026-03,4
2431,2026-02,262
1112,2026-03,23
2643,2026-03,22
1220,2026-03,30
8199,2026-03,10
8172,2026-01,8
3215,2026-03,56
2283,2026-03,42
2132,2026-03,23
3117,2026-03,37
6111,2026-03,9
3324,2026-02,66
1350,2026-02,37
4115,2026-02,32
7319,2026-03,7
2669,2026-03,16
2143,2026-02,376
7223,2026-02,551
7114,2026-02,245
3411,2026-02,569
9320,2026-03,21
8169,2026-03,13
3449,2026-02,113
7521,2026-03,7
2351,2026-02,303
7321,2026-03,9
8189,2026-03,6
8171,2026-03,4
3313,2026-02,334
5323,2026-02,480
1320,2026-01,61
3522,2026-03,16
2173,2026-02,19
2671,2026-03,19
8212,2026-02,196
5242,2026-01,506
2423,2026-02,428
8172,2026-03,8
2513,2026-03,23
3211,2026-03,13
7213,2026-01,17
7121,2026-01,25
3121,2026-01,81
7134,2026-02,99
3322,2026-01,1488
5169,2026-03,11
5161,2026-03,9
4322,2026-02,818
2213,2026-03,10
1210,2026-02,122
2227,2026-02,90
5343,2026-01,1956
4223,2026-03,18
2219,2026-02,299
7126,2026-03,41
8159,2026-03,4
3154,2026-03,9
8332,2026-02,616
9210,2026-03,18
3341,2026-03,22
9331,2026-03,3
7111,2026-01,175
8143,2026-03,7
7413,2026-02,39
8142,2026-01,35
2341,2026-02,1243
5321,2026-02,1197
1520,2026-02,143
2179,2026-03,25
2164,2026-03,18
2621,2026-03,16
3339,2026-02,304
5223,2026-01,798
0210,2026-01,24
7123,2026-03,6
7613,2026-03,4
7111,2026-02,241
2221,2026-01,2125
3452,2026-03,16
7221,2026-03,7
7112,2026-02,48
2330,2026-01,193
2512,2026-01,1130
8213,2026-01,464
5120,2026-01,608
6130,2026-03,4
3111,2026-01,67
8332,2026-01,427
9622,2026-02,67
7214,2026-02,53
8311,2026-03,9
3114,2026-01,516
3115,2026-01,58
1610,2026-03,4
3155,2026-03,14
2135,2026-02,24
2320,2026-01,98
4222,2026-02,569
2342,2026-01,148
7532,2026-02,3
2114,2026-03,11
3153,2026-03,1
8213,2026-02,611
9120,2026-02,85
8212,2026-01,173
6221,2026-02,5
2514,2026-01,134
2112,2026-03,1
9610,2026-02,93
9610,2026-01,82
2341,2026-01,668
3240,2026-03,16
3512,2026-02,235
7531,2026-03,9
5142,2026-03,16
1360,2026-01,103
7532,2026-03,1
3311,2026-03,5
2142,2026-01,122
7213,2026-02,14
8116,2026-03,3
1320,2026-02,73
2241,2026-02,296
5326,2026-03,17
2359,2026-02,61
7224,2026-03,14
1370,2026-02,139
2233,2026-02,73
8191,2026-02,82
2511,2026-01,257
1230,2026-01,146
2655,2026-03,4
2511,2026-02,378
2144,2026-02,311
2512,2026-02,1472
2272,2026-01,246
3351,2026-03,2
3151,2026-03,9
2516,2026-01,131
