ssyk4,year_month,n_ads,n_vacancies
3449,2026-01,126,413
8192,2026-03,27,85
2623,2026-03,23,26
8341,2026-03,20,26
2314,2026-02,185,213
1350,2026-03,35,35
2228,2026-02,133,196
8331,2026-03,68,281
1290,2026-02,171,172
8141,2026-03,7,9
9520,2026-03,30,236
8343,2026-03,7,12
3515,2026-03,17,17
5227,2026-03,35,35
7214,2026-03,60,62
2121,2026-03,9,10
3332,2026-03,9,9
6122,2026-03,15,18
3116,2026-03,52,60
4115,2026-03,46,49
1240,2026-03,18,18
8132,2026-03,7,19
2242,2026-03,11,15
7119,2026-03,29,75
9413,2026-03,44,74
3424,2026-03,20,27
3321,2026-03,30,39
3323,2026-02,351,390
2612,2026-03,18,31
2421,2026-02,425,493
2622,2026-02,151,161
5120,2026-02,660,1151
1113,2026-03,20,20
2642,2026-03,31,36
2172,2026-03,20,54
5230,2026-03,46,83
2212,2026-03,108,141
3432,2026-03,22,22
3322,2026-02,1669,3224
3113,2026-02,456,602
7233,2026-02,349,506
1120,2026-02,81,81
2224,2026-01,130,142
2271,2026-03,14,18
4321,2026-03,36,45
5341,2026-03,26,160
8161,2026-03,17,52
3119,2026-03,76,110
3213,2026-03,115,141
3111,2026-02,99,105
4212,2026-03,8,8
8173,2026-03,24,41
5113,2026-02,54,139
7522,2026-03,17,24
9411,2026-02,111,162
7523,2026-03,22,28
2619,2026-03,42,50
2181,2026-03,38,42
2611,2026-03,7,11
5149,2026-03,43,60
2250,2026-03,44,53
6129,2026-03,18,26
5341,2026-04,29,35
3214,2026-04,10,11
8321,2026-03,156,447
3113,2026-01,279,326
5131,2026-02,422,875
8191,2026-01,72,107
8111,2026-03,10,17
7213,2026-03,16,24
2654,2026-03,20,23
5143,2026-03,37,89
3511,2026-02,189,219
2228,2026-04,116,149
2272,2026-04,200,235
5330,2026-04,159,1699
5321,2026-04,851,4886
2221,2026-04,2111,3157
2241,2026-04,212,226
2342,2026-04,411,510
2351,2026-04,353,381
2224,2026-04,145,154
2311,2026-04,11,11
4117,2026-04,116,120
2273,2026-04,221,261
5120,2026-04,579,895
8191,2026-04,39,48
2260,2026-04,83,86
1510,2026-04,179,188
2212,2026-04,84,114
2211,2026-04,411,572
5149,2026-02,41,54
5312,2026-04,231,393
2314,2026-04,179,188
0210,2026-04,12,14
2421,2026-04,341,368
2512,2026-04,1003,1188
5342,2026-04,389,840
4322,2026-04,702,1912
5230,2026-04,50,84
2352,2026-04,81,86
8329,2026-04,126,255
5152,2026-04,270,323
2511,2026-04,337,429
9120,2026-04,98,170
2219,2026-04,173,216
3423,2026-04,69,190
2661,2026-04,543,746
2341,2026-04,1787,2055
8332,2026-04,823,1754
1590,2026-04,109,120
1530,2026-04,86,104
2516,2026-04,96,105
2235,2026-04,56,61
5223,2026-04,844,1052
5411,2026-04,25,64
1520,2026-04,122,131
2283,2026-04,26,28
5222,2026-04,524,700
2623,2026-04,26,27
2134,2026-04,27,27
2615,2026-04,66,82
2330,2026-04,562,675
3313,2026-04,228,234
4111,2026-04,155,157
2613,2026-04,6,6
2422,2026-04,540,653
1230,2026-04,236,240
9412,2026-04,573,1204
2412,2026-04,217,222
2515,2026-04,169,174
5141,2026-04,55,85
6130,2026-04,3,3
9111,2026-02,853,2696
5141,2026-02,67,98
3342,2026-03,15,28
2281,2026-02,137,165
9412,2026-02,762,2762
8121,2026-03,17,34
1530,2026-02,112,153
3213,2026-02,152,175
9629,2026-03,33,99
3122,2026-03,34,41
2133,2026-03,34,34
2235,2026-02,78,94
5222,2026-02,757,1823
3353,2026-03,29,63
3360,2026-03,13,25
4225,2026-02,223,292
4221,2026-03,30,62
8142,2026-03,54,85
4226,2026-03,19,38
8321,2026-02,243,748
3214,2026-03,14,16
4116,2026-03,29,30
2672,2026-03,13,15
7132,2026-02,60,76
0210,2026-03,43,52
2281,2026-01,123,148
2173,2026-03,23,23
2163,2026-03,23,23
1380,2026-03,4,4
2431,2026-02,262,298
1112,2026-03,23,28
2643,2026-03,22,227
1220,2026-03,30,30
8199,2026-03,10,33
8172,2026-01,8,45
3215,2026-03,56,59
2283,2026-03,42,61
2132,2026-03,23,25
3117,2026-03,37,39
6111,2026-03,9,26
3324,2026-02,66,69
1350,2026-02,37,37
4115,2026-02,32,34
7319,2026-03,7,7
2669,2026-03,16,34
2143,2026-02,376,440
7223,2026-02,551,843
7114,2026-02,245,545
3411,2026-02,569,1921
9320,2026-03,21,92
8169,2026-03,13,17
3449,2026-02,113,188
7521,2026-03,7,8
2351,2026-02,303,355
7321,2026-03,9,9
8189,2026-03,6,11
8171,2026-03,4,7
3313,2026-02,334,351
5323,2026-02,480,1447
1320,2026-01,61,64
3522,2026-03,16,28
2173,2026-02,19,19
2671,2026-03,19,22
8212,2026-02,196,335
5242,2026-01,506,1416
2423,2026-02,428,468
8172,2026-03,8,24
2513,2026-03,23,23
3211,2026-03,13,13
7213,2026-01,17,30
7121,2026-01,25,31
3121,2026-01,81,90
7134,2026-02,99,229
3322,2026-01,1488,1938
5169,2026-03,11,23
5161,2026-03,9,9
4322,2026-02,818,2566
2213,2026-03,10,20
1210,2026-02,122,122
2227,2026-02,90,140
5343,2026-01,1956,3239
4223,2026-03,18,25
2219,2026-02,299,481
7126,2026-03,41,49
8159,2026-03,4,6
3154,2026-03,9,13
8332,2026-02,616,1570
9210,2026-03,18,334
3341,2026-03,22,22
9331,2026-03,3,14
7111,2026-01,175,452
8143,2026-03,7,8
7413,2026-02,39,65
8142,2026-01,35,72
2341,2026-02,1243,1874
5321,2026-02,1197,9469
1520,2026-02,143,153
2179,2026-03,25,25
2164,2026-03,18,21
2621,2026-03,16,16
3339,2026-02,304,338
5223,2026-01,798,1304
0210,2026-01,24,27
7123,2026-03,6,9
7613,2026-03,4,4
7111,2026-02,241,500
2221,2026-01,2125,3730
3452,2026-03,16,17
7221,2026-03,7,28
7112,2026-02,48,139
2330,2026-01,193,228
2512,2026-01,1130,1307
8213,2026-01,464,974
5120,2026-01,608,1132
6130,2026-03,4,4
3111,2026-01,67,68
8332,2026-01,427,932
9622,2026-02,67,127
7214,2026-02,53,59
8311,2026-03,9,41
3114,2026-01,516,624
3115,2026-01,58,63
1610,2026-03,4,4
3155,2026-03,14,18
2135,2026-02,24,61
2320,2026-01,98,109
4222,2026-02,569,1362
2342,2026-01,148,226
7532,2026-02,3,3
2114,2026-03,11,12
3153,2026-03,1,1
8213,2026-02,611,1336
9120,2026-02,85,128
8212,2026-01,173,321
6221,2026-02,5,7
2514,2026-01,134,187
2112,2026-03,1,1
9610,2026-02,93,297
9610,2026-01,82,244
2341,2026-01,668,1053
3240,2026-03,16,30
3512,2026-02,235,293
7531,2026-03,9,9
5142,2026-03,16,27
1360,2026-01,103,107
7532,2026-03,1,1
3311,2026-03,5,8
2142,2026-01,122,166
7213,2026-02,14,18
8116,2026-03,3,3
1320,2026-02,73,73
2241,2026-02,296,398
5326,2026-03,17,61
2359,2026-02,61,73
7224,2026-03,14,19
1370,2026-02,139,143
2233,2026-02,73,98
8191,2026-02,82,135
2511,2026-01,257,329
1230,2026-01,146,152
2655,2026-03,4,66
2511,2026-02,378,447
2144,2026-02,311,388
2512,2026-02,1472,1728
2272,2026-01,246,305
3351,2026-03,2,2
3151,2026-03,9,12
2516,2026-01,131,142
3215,2026-02,74,98
8151,2026-02,23,253
2651,2026-03,4,4
2211,2026-02,602,800
4113,2026-02,65,106
9111,2026-01,655,1762
0110,2026-02,59,60
7124,2026-03,64,65
2613,2026-03,13,14
2342,2026-02,255,383
2222,2026-02,143,211
3152,2026-03,14,38
5143,2026-02,31,39
7321,2026-02,14,16
7231,2026-01,574,678
2641,2026-03,3,3
7122,2026-03,21,47
1540,2026-03,3,3
8113,2026-02,15,15
7411,2026-02,255,374
7411,2026-01,234,452
1790,2026-03,7,7
7134,2026-01,63,188
2661,2026-02,722,1128
7125,2026-02,174,257
5413,2026-02,132,512
7215,2026-02,11,20
6113,2026-02,266,858
2171,2026-03,5,5
2320,2026-02,150,164
2239,2026-02,30,31
8129,2026-02,60,129
4322,2026-01,607,2125
9310,2026-02,98,318
3121,2026-02,136,152
3334,2026-03,8,9
3511,2026-01,189,217
7211,2026-03,5,7
5325,2026-03,3,13
3333,2026-01,350,441
8193,2026-02,12,47
6112,2026-02,148,251
8219,2026-03,4,5
9119,2026-02,377,445
7131,2026-02,53,110
3230,2026-03,3,6
3152,2026-02,12,75
7612,2026-02,64,76
5241,2026-02,312,570
2132,2026-02,24,26
4420,2026-02,78,259
3451,2026-02,97,124
5221,2026-02,107,108
4117,2026-02,159,246
1360,2026-02,122,125
9210,2026-02,28,711
2273,2026-01,237,316
2515,2026-02,181,198
1510,2026-01,182,193
5142,2026-01,17,18
3514,2026-02,79,81
7412,2026-02,131,186
3112,2026-01,417,476
2422,2026-02,709,1335
2663,2026-02,121,186
3112,2026-02,493,521
3313,2026-01,236,243
9411,2026-01,112,150
5131,2026-01,356,934
2653,2026-03,3,4
9120,2026-01,74,125
4119,2026-01,376,620
2412,2026-01,207,230
2182,2026-01,36,47
2181,2026-01,26,26
1230,2026-02,246,262
3451,2026-01,104,127
4222,2026-01,445,1077
8174,2026-03,11,20
3114,2026-02,651,790
5132,2026-01,94,166
7534,2026-03,2,3
7420,2026-02,189,255
5144,2026-02,12,13
5142,2026-02,26,30
2421,2026-01,320,326
3212,2026-02,88,186
2161,2026-03,10,10
5419,2026-02,75,407
5112,2026-03,4,13
8115,2026-03,2,2
8114,2026-02,32,51
8189,2026-02,4,9
2142,2026-02,170,199
8331,2026-02,71,351
2162,2026-03,3,3
2143,2026-01,243,253
2250,2026-01,39,43
9621,2026-02,76,324
2227,2026-01,64,109
7611,2026-01,15,197
2183,2026-02,114,130
3359,2026-02,177,635
2224,2026-02,218,261
5312,2026-02,198,662
7232,2026-03,2,2
3335,2026-02,81,89
3512,2026-01,171,205
2515,2026-01,135,163
3439,2026-02,13,24
2284,2026-02,74,75
3423,2026-01,85,321
5419,2026-01,45,275
3250,2026-01,71,75
2273,2026-02,314,373
9332,2026-02,54,184
5241,2026-01,254,869
7312,2026-03,2,4
2141,2026-02,174,190
1720,2026-02,105,111
2112,2026-02,11,13
8329,2026-02,140,1256
7119,2026-02,24,45
4226,2026-01,16,84
5152,2026-01,363,769
8211,2026-02,64,165
3354,2026-02,230,246
2516,2026-02,117,121
2231,2026-02,132,177
3412,2026-03,1,1
2223,2026-02,109,141
7323,2026-03,2,3
8192,2026-02,37,63
2146,2026-02,24,26
5151,2026-02,65,73
3333,2026-02,335,479
7311,2026-02,35,78
8342,2026-02,86,154
6121,2026-02,25,30
4226,2026-02,41,86
2134,2026-02,26,29
0210,2026-02,34,67
5230,2026-01,48,256
3513,2026-01,113,121
8329,2026-01,154,1280
2330,2026-02,274,408
2271,2026-01,12,15
3355,2026-02,83,105
4323,2026-02,145,282
8114,2026-01,20,31
2432,2026-02,179,258
5323,2026-01,366,994
5350,2026-02,162,179
3250,2026-02,103,116
1490,2026-03,1,1
7420,2026-01,151,184
4224,2026-02,188,529
8312,2026-03,4,4
1510,2026-02,255,308
2149,2026-01,79,83
4224,2026-01,212,471
2131,2026-02,92,101
6210,2026-02,39,128
3122,2026-02,52,70
3116,2026-02,38,42
2352,2026-02,69,77
2313,2026-01,95,101
4112,2026-02,252,279
2312,2026-01,39,41
1380,2026-02,6,20
2412,2026-02,290,319
6113,2026-01,248,781
5341,2026-02,32,127
7533,2026-03,4,5
5132,2026-02,106,247
0310,2026-02,67,391
4119,2026-02,534,1414
2519,2026-02,103,106
4223,2026-02,21,46
1720,2026-01,84,89
2661,2026-01,562,937
1113,2026-02,32,38
7113,2026-02,131,306
5341,2026-01,43,168
4112,2026-01,186,214
2619,2026-02,48,72
7124,2026-02,10,12
2282,2026-02,34,36
1410,2026-02,165,169
1590,2026-02,127,143
1111,2026-03,2,2
1111,2026-02,2,2
2413,2026-01,38,41
8122,2026-03,1,1
2232,2026-02,63,93
3240,2026-02,48,161
3119,2026-02,55,56
3117,2026-02,53,59
2164,2026-02,17,29
5227,2026-02,28,28
5412,2026-02,67,991
7224,2026-02,12,17
5414,2026-02,21,52
3423,2026-02,117,232
2225,2026-02,102,118
2226,2026-02,109,211
3211,2026-02,15,21
8214,2026-02,42,118
7125,2026-01,131,250
2141,2026-01,155,206
4221,2026-02,42,127
1112,2026-02,12,12
4117,2026-01,156,327
2423,2026-01,322,336
2250,2026-02,75,201
2284,2026-01,97,97
5141,2026-01,60,98
2314,2026-01,157,197
3152,2026-01,20,48
8331,2026-01,45,251
5222,2026-01,735,1976
2653,2026-02,4,17
8181,2026-02,8,16
9413,2026-02,38,77
8163,2026-02,25,151
7133,2026-03,3,5
7523,2026-02,29,59
2615,2026-02,68,103
2231,2026-01,117,140
2413,2026-02,44,44
1240,2026-02,10,10
7611,2026-02,21,218
2671,2026-02,14,18
2411,2026-02,27,30
3314,2026-02,47,114
2133,2026-02,29,32
3441,2026-02,36,49
1240,2026-01,12,12
2233,2026-01,58,68
5349,2026-02,22,25
3513,2026-02,124,128
2312,2026-02,75,77
8142,2026-02,44,111
7114,2026-01,103,221
4321,2026-02,74,108
