ssyk4,pctl_rank_genai,exposure_quartile,n_ads_2122,remote_share,teleworkable,high,remote_high,z_ai,z_rem,emp_2024
1112,62.529999,Q3,256,0.01953125,0.5,0,0,0.4928081275143033,-0.27601609634417906,809
1113,70.57,Q3,559,0.03220035778175313,0.9629629629629628,0,0,0.7645235674079084,-0.004023910089205747,1084
1120,64.889999,Q3,2423,0.03219149814279818,1.0,0,0,0.5725653860207276,-0.004214117056444406,22132
1230,66.779999,Q3,5000,0.0776,0.9012345679012346,0,1,0.6364387837229063,0.9706578240041327,12059
1380,14.3,Q1 (lowest),124,0.06451612903225806,0.0925925925925926,0,1,-1.1371463207939911,0.689761116003938,1101
1540,62.060001,Q3,44,0.022727272727272728,1.0,0,0,0.476924334300955,-0.20740090860668867,818
2111,98.459999,Q4 (highest),752,0.017287234042553192,1.0,1,0,1.7070785928260905,-0.32419271752156587,1973
2112,97.75,Q4 (highest),56,0.0,1.0,1,0,1.6830838581725724,-0.6953311325177313,163
2113,86.639999,Q4 (highest),2372,0.01812816188870152,0.0,1,0,1.3076163913235768,-0.3061388965819418,4291
2114,83.809998,Q4 (highest),446,0.07623318385650224,1.0,1,1,1.2119752382174585,0.9413137440986806,2103
2121,99.410004,Q4 (highest),256,0.04296875,1.0,1,0,1.739184437897021,0.22716194706408363,788
2122,99.650002,Q4 (highest),495,0.13535353535353536,1.0,1,1,1.747295277950845,2.210564423219145,1976
2131,83.099998,Q4 (highest),2815,0.02522202486678508,0.3148148148148147,1,0,1.187980469768492,-0.15384124992515683,1817
2132,85.459999,Q4 (highest),461,0.0455531453362256,0.6296296296296295,1,0,1.2677377620703645,0.2826461492475689,923
2133,85.699997,Q4 (highest),1405,0.028469750889679714,0.6296296296296295,1,0,1.2758486021241886,-0.08411604776083809,1728
2134,60.400002,Q3,1238,0.05654281098546042,0.1666666666666666,0,1,0.42082392355374926,0.518582510168869,1723
2135,45.040001,Q2,720,0.06805555555555555,0.1527777777777777,0,1,-0.09827419950384943,0.7657488157492239,2396
2141,92.080002,Q4 (highest),3831,0.039937353171495694,0.5,1,0,1.4914637326569335,0.1620811011990891,7933
2142,94.919998,Q4 (highest),12152,0.06402238314680711,1.0,1,1,1.5874426712710061,0.6791609202244355,15157
2143,93.029999,Q4 (highest),8458,0.06360841806573658,1.0,1,1,1.523569307364276,0.6702735329377193,42580
2144,90.900002,Q4 (highest),11073,0.05246997200397363,0.4583333333333333,1,1,1.4515851034037217,0.4311430157764883,20188
2145,98.699997,Q4 (highest),2088,0.05986590038314176,0.0,1,1,1.7151894328799144,0.5899256833399,4738
2146,95.150002,Q4 (highest),645,0.05736434108527132,0.25,1,1,1.5952157596123244,0.5362198822530864,671
2149,91.370003,Q4 (highest),3283,0.08498324703015535,0.3575757575757575,1,1,1.4674689980034157,1.1291682365751592,33785
2161,89.949997,Q4 (highest),474,0.046413502109704644,1.0,1,0,1.4194792583327913,0.30111708846515745,6635
2162,90.190002,Q4 (highest),213,0.0892018779342723,1.0,1,1,1.4275903349547554,1.2197377275274874,1313
2163,91.129997,Q4 (highest),591,0.116751269035533,0.0,1,1,1.4593578875860036,1.8111936725481326,3951
2164,72.93,Q3,978,0.1687116564417178,0.75,0,1,0.844280825914333,2.9267275848587198,1410
2171,87.349998,Q4 (highest),355,0.0676056338028169,1.0,1,1,1.3316111259770946,0.7560894772007503,3846
2172,93.260002,Q4 (highest),980,0.1,1.0,1,1,1.5313423619101458,1.4515618526908562,7177
2173,80.260002,Q4 (highest),1544,0.1560880829015544,0.75,1,1,1.0920015311544198,2.6557129700423046,4767
2179,76.949997,Q4 (highest),1100,0.09272727272727273,0.5,1,1,0.9801384275770654,1.2954241810393226,3912
2181,63.709999,Q3,1108,0.046028880866425995,0.0,0,0,0.5326867567675155,0.2928596819735861,2081
2182,47.869999,Q2,1355,0.1099630996309963,0.25,0,1,-0.002633147784076776,1.6654589397780586,4157
2183,78.129997,Q4 (highest),2965,0.1399662731871838,0.8333333333333333,1,1,1.0200170568302775,2.3095949681958055,4602
2211,52.360001,Q3,18854,0.03611965630635409,0.11875,0,0,0.14910848366014398,0.08011923500483581,26704
2212,65.599998,Q3,1913,0.02247778358599059,0.0208333333333333,0,0,0.5965601206742456,-0.21275717347973203,11332
2213,65.370003,Q3,190,0.010526315789473684,0.0208333333333333,0,0,0.5887873364919637,-0.4693423972326169,3198
2219,65.129997,Q3,8762,0.028418169367724264,0.0208333333333333,0,0,0.5806762260745517,-0.08522344783736346,6262
2221,37.23,Q2,113843,0.005999490526426746,0.0,0,0,-0.36221668623793024,-0.5665284912576217,53290
2222,44.560001,Q2,5410,0.012014787430683918,0.0,0,0,-0.11449601479329151,-0.43738650398065515,6214
2223,36.290001,Q2,4121,0.0,0.0,0,0,-0.39398437405097264,-0.6953311325177313,3707
2224,36.049999,Q2,5685,0.025329815303430078,0.0,0,0,-0.4020953492865907,-0.15152710460209964,6945
2225,37.0,Q2,3618,0.011332227750138198,0.0,0,0,-0.3699896393974545,-0.45204032988215337,2928
2226,38.419998,Q2,1615,0.001238390092879257,0.0,0,0,-0.3220001700904184,-0.6687442224841884,3066
2227,36.759998,Q2,2543,0.0015729453401494297,0.0,0,0,-0.37810061463307254,-0.6615616793488979,8348
2228,37.939999,Q2,3385,0.0011816838995568684,0.0,0,0,-0.33822195158441204,-0.6699616437708056,3607
2231,37.709999,Q2,3849,0.0,0.0,0,0,-0.34599490474393635,-0.6953311325177313,3063
2232,36.52,Q2,3332,0.16896758703481393,0.0,0,1,-0.3862114546868966,2.9322221408089035,3680
2233,38.18,Q2,3293,0.0024293956878226543,0.0,0,0,-0.33011101014424243,-0.6431746069129068,3989
2234,37.470001,Q2,423,0.018912529550827423,0.0,0,0,-0.35410574479776036,-0.28929936226551617,859
2235,38.650002,Q2,2598,0.0026943802925327174,0.0,0,0,-0.3142270817490999,-0.6374856710225038,3188
2239,43.139999,Q2,681,0.022026431718061675,0.0,0,0,-0.16248561928212157,-0.22244721507090584,8788
2241,81.209999,Q4 (highest),7785,0.1147077713551702,1.0,1,1,1.1241071058617618,1.7673219641955233,10333
2242,81.440002,Q4 (highest),387,0.11369509043927649,1.0,1,1,1.131880160407632,1.7455807886496553,889
2250,41.02,Q2,1172,0.026450511945392493,0.0,0,0,-0.23413193634837606,-0.12746694701034036,3067
2260,33.919998,Q2,3682,0.004888647474198805,0.0,0,0,-0.47407968842893894,-0.5903771028225804,7239
2271,58.040001,Q3,135,0.0,0.2777777777777777,0,0,0.34106663125187653,-0.6953311325177313,1077
2272,41.959999,Q2,8097,0.016055329134247252,0.0,0,0,-0.2023642485353336,-0.3506403975824264,12016
2273,58.27,Q3,7656,0.020245559038662486,0.2777777777777777,0,0,0.3488395506159526,-0.26068064570042326,8991
2281,54.490002,Q3,2615,0.01338432122370937,0.0,0,0,0.2210928228024922,-0.4079840790481307,2944
2282,71.279999,Q3,1276,0.1841692789968652,0.0,0,1,0.7885183020614268,3.2585861991751996,1456
2283,56.380001,Q3,1381,0.00941346850108617,0.5,0,0,0.2849661867092224,-0.4932340376030923,3159
2284,53.310001,Q3,1714,0.1516919486581097,0.0,0,1,0.18121415975383173,2.5613326723494376,1848
2289,58.509998,Q3,23,0.0,0.2777777777777777,0,0,0.3569503906697767,-0.6953311325177313,1584
2311,89.010002,Q4 (highest),421,0.004750593824228029,0.9714285714285714,1,0,1.3877117057015431,-0.5933409669496273,3949
2312,88.769997,Q4 (highest),3090,0.009708737864077669,0.9714285714285714,1,0,1.3796006290795795,-0.4868949203615578,10449
2313,89.239998,Q4 (highest),3434,0.0221316249271986,0.9714285714285714,1,0,1.3954845236792734,-0.22018882944302937,3103
2314,89.720001,Q4 (highest),3313,0.003018412315122246,0.9714285714285714,1,0,1.411706440355061,-0.6305290502596996,10179
2319,89.480003,Q4 (highest),2319,0.02501078050884002,0.9714285714285714,1,0,1.4035956003012369,-0.15837644022752828,10781
2320,48.349998,Q2,4124,0.013579049466537343,1.0,0,0,0.013588633709916873,-0.40380347206263695,11435
2330,74.110001,Q3,11402,0.008945798982634626,1.0,0,0,0.8841594889629931,-0.5032744016886873,28591
2341,75.769997,Q4 (highest),47529,0.0018935807612194661,1.0,1,0,0.9402597983238535,-0.6546779799858512,114915
2342,61.82,Q3,9261,0.0005398984990821725,1.0,0,0,0.4688133928607854,-0.6837400895136896,17596
2343,61.580002,Q3,15810,0.001265022137887413,1.0,0,0,0.4607025528069613,-0.6681724609780907,62036
2351,60.169998,Q3,9253,0.006916675672754782,0.9,0,0,0.4130508352124308,-0.5468375076897299,14494
2352,85.220001,Q4 (highest),2297,0.04832390074009578,1.0,1,1,1.2596269220165404,0.3421313026505457,4556
2359,71.75,Q3,3123,0.005443483829650976,1.0,0,0,0.8044021966611207,-0.5784653600279908,17279
2411,96.809998,Q4 (highest),1274,0.09183673469387756,0.6666666666666666,1,1,1.6513160689731843,1.2763052824697472,14963
2412,96.57,Q4 (highest),9761,0.11074684970802172,0.6666666666666666,1,1,1.6432052289193604,1.6822852152032841,22424
2413,95.629997,Q4 (highest),2295,0.08453159041394336,1.0,1,1,1.611437405924524,1.1194716523644734,8514
2414,98.230003,Q4 (highest),110,0.08181818181818182,1.0,1,1,1.6993057748483602,1.061217673562022,2393
2415,99.169998,Q4 (highest),441,0.17687074829931973,1.0,1,1,1.7310733274796088,3.101894555606301,1549
2419,87.830002,Q4 (highest),1431,0.06778476589797344,0.9444444444444444,1,1,1.3478330764483308,0.7599352515859233,11153
2421,95.389999,Q4 (highest),10794,0.09634982397628312,1.0,1,1,1.6033265658707,1.373196479689913,48691
2422,93.970001,Q4 (highest),11824,0.12356224627875508,0.9166666666666669,1,1,1.5553370965636637,1.9574180652070206,71786
2423,81.68,Q4 (highest),20260,0.12783810463968412,1.0,1,1,1.1399910004614562,2.0492161684152608,26785
2431,92.790001,Q4 (highest),12991,0.13524747902393966,1.0,1,1,1.5154584673104519,2.2082875073186847,27898
2432,80.970001,Q4 (highest),6865,0.13867443554260742,1.0,1,1,1.1159962658079376,2.2818605964241114,23044
2511,97.279999,Q4 (highest),10537,0.15526240865521496,1.0,1,1,1.6671999635728787,2.6379866275669692,28275
2512,98.940002,Q4 (highest),63463,0.17942738288451537,1.0,1,1,1.7233005095018785,3.1567827641732826,109316
2513,97.989998,Q4 (highest),702,0.21082621082621084,1.0,1,1,1.6911946982263966,3.8308819986912566,4544
2514,97.519997,Q4 (highest),4454,0.11495285136955545,1.0,1,1,1.6753108036267028,1.7725835698325085,6681
2515,82.860001,Q4 (highest),4833,0.12435340368301262,1.0,1,1,1.1798696635101165,1.9744033680209838,7164
2516,96.099998,Q4 (highest),3493,0.1832235900372173,1.0,1,1,1.627321300524218,3.2382832692386274,4277
2519,95.860001,Q4 (highest),4900,0.13489795918367348,1.0,1,1,1.6192104942658423,2.200783690386098,19870
2611,79.309998,Q4 (highest),149,0.09395973154362416,1.0,1,1,1.0598957198789378,1.3218837529131564,3773
2612,87.120003,Q4 (highest),373,0.06970509383378017,0.5,1,1,1.323838341794813,0.8011626373327587,1809
2613,79.550003,Q4 (highest),199,0.005025125628140704,1.0,1,0,1.068006796500902,-0.5874470629092595,1330
2614,77.419998,Q4 (highest),2169,0.103273397879207,1.0,1,1,0.9960223221767597,1.5218382021375179,9254
2615,77.190002,Q4 (highest),1363,0.16801173881144535,1.0,1,1,0.9882495041990293,2.9117011023521626,4828
2619,77.660004,Q4 (highest),1137,0.10642040457343888,1.0,1,1,1.0041334325941718,1.5894010681000266,7665
2621,88.300003,Q4 (highest),351,0.06552706552706553,1.0,1,1,1.3637169710480253,0.711464840695873,2540
2622,81.910004,Q4 (highest),2725,0.035596330275229356,1.0,1,0,1.1477640888027745,0.06888398515284842,7808
2623,97.040001,Q4 (highest),535,0.03551401869158879,0.8333333333333333,1,0,1.6590891235190546,0.06711684353765497,1293
2641,99.879997,Q4 (highest),269,0.17472118959107807,1.0,1,1,1.7550680621331267,3.0557458304861203,1500
