"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young"
"rb_x_high_x_young",2.10869288000278e-05,1.84153987978249e-06,-3.77182053676172e-06,-9.71086734341578e-07,6.3954947796145e-06,1.27625653709165e-05
"q1_x_high_x_young",1.84153987978249e-06,1.3348072956418e-05,6.32191076776794e-06,1.67187144562634e-06,2.51763046719446e-06,5.2707386002756e-06
"q2_x_high_x_young",-3.77182053676172e-06,6.32191076776794e-06,9.04342599918088e-06,3.58778608179946e-06,5.27262750017892e-07,3.30770666111903e-06
"q3_x_high_x_young",-9.71086734341578e-07,1.67187144562634e-06,3.58778608179946e-06,7.19366112587539e-06,7.60580081111027e-07,-6.13764430564387e-07
"interim_x_high_x_young",6.3954947796145e-06,2.51763046719446e-06,5.27262750017892e-07,7.60580081111027e-07,3.54262751699032e-05,5.09778362896947e-05
"post_x_high_x_young",1.27625653709165e-05,5.2707386002756e-06,3.30770666111903e-06,-6.13764430564387e-07,5.09778362896947e-05,0.000115718111105808
